year,month,day,date,river,site,chamber_id,species_id,boat_g,boat_animal_g,dry_mass_g,boat_ashed_g,organic_g,inorganic_g,calcifier,notes
2023,6,2,2023-06-02,YOR,BR,A,clam,1.2703,1.4974,0.2271,1.4749,0.0225,0.2046,yes,
2023,6,2,2023-06-02,YOR,BR,A,worm,1.2444,4.1434,2.899,4.0384,0.105,2.794,no,
2023,6,2,2023-06-02,YOR,BR,A,worm,1.2732,1.3063,0.0331,1.2749,0.0314,0.0017,no,
2023,6,2,2023-06-02,YOR,BR,A,worm,1.2706,1.2708,0.0002,1.2699,0.0009,,no,negative inorganic
2023,6,2,2023-06-02,YOR,BR,A,worm,,,0.085,,,,no,not ashed
2023,6,2,2023-06-02,YOR,BR,A,epi,1.2585,1.2840,0.0255,1.2813,0.0027,0.0228,yes,
2023,6,2,2023-06-02,YOR,BR,B,insect,1.2395,1.2533,0.0138,1.2443,0.009,0.0048,yes,
2023,6,2,2023-06-02,YOR,BR,B,worm,1.2636,1.2685,0.0049,1.2643,0.0042,0.0007,no,
2023,6,2,2023-06-02,YOR,BR,B,insect,1.2591,1.2607,0.0016,1.2593,0.0014,0.0002,yes,
2023,6,2,2023-06-02,YOR,BR,B,clam,1.2548,1.2586,0.0038,1.2582,0.0004,0.0034,yes,
2023,6,2,2023-06-02,YOR,BR,B,worm,,,0.0556,,,,no,not ashed
2023,6,2,2023-06-02,YOR,BR,B,epi,1.2557,1.2602,0.0045,1.2595,0.0007,0.0038,yes,
2023,6,2,2023-06-02,YOR,BR,C,worm,1.2474,1.6683,0.4209,1.6593,0.009,0.4119,no,
2023,6,2,2023-06-02,YOR,BR,C,worm,,,0.0451,,,,no,not ashed
2023,6,2,2023-06-02,YOR,BR,C,epi,1.2557,1.2954,0.0397,1.2913,0.0041,0.0356,yes,
2023,6,2,2023-06-02,YOR,BR,D,worm,1.2633,1.7760,0.5127,1.7589,0.0171,0.4956,no,
2023,6,2,2023-06-02,YOR,BR,D,clam,1.2474,1.2848,0.0374,1.2835,0.0013,0.0361,yes,
2023,6,2,2023-06-02,YOR,BR,D,insect,1.2652,1.2738,0.0086,1.268,0.0058,0.0028,yes,
2023,6,2,2023-06-02,YOR,BR,D,worm,1.2770,1.2783,0.0013,1.2771,0.0012,0.0001,no,
2023,6,2,2023-06-02,YOR,BR,D,insect,1.2759,1.2780,0.0021,1.2765,0.0015,0.0006,yes,
2023,6,2,2023-06-02,YOR,BR,D,worm,,,0.0702,,,,no,not ashed
2023,6,2,2023-06-02,YOR,BR,D,epi,1.2852,1.3584,0.0732,1.3494,0.009,0.0642,yes,
2023,6,2,2023-06-02,YOR,BR,E,worm,1.2559,2.1238,0.8679,2.0498,0.074,0.7939,no,
2023,6,2,2023-06-02,YOR,BR,E,worm,1.2670,1.2679,0.0009,1.2664,0.0015,,no,negative inorganic
2023,6,2,2023-06-02,YOR,BR,E,insect,1.2436,1.2509,0.0073,1.2459,0.005,0.0023,yes,
2023,6,2,2023-06-02,YOR,BR,E,worm,,,0.0746,,,,no,not ashed
2023,6,2,2023-06-02,YOR,BR,E,epi,1.2793,1.2816,0.0023,1.2814,0.0002,0.0021,yes,
2023,6,2,2023-06-02,YOR,BR,F,worm,1.2832,1.3083,0.0251,1.2849,0.0234,0.0017,no,
