id_num,dic_mmol,temp_c,salinity
1,1.5792,28.2,13.71
2,1.5756,28.2,13.71
3,1.5768,28.2,13.71
4,1.5744,28.3,13.71
5,1.575,28.3,13.71
6,1.5707,28.4,13.71
7,1.5682,28.4,13.71
8,1.5692,28.5,13.71
9,1.5674,28.5,13.71
10,1.5627,28.5,13.71
11,1.565,28.5,13.71
12,1.5593,28.5,13.71
13,1.5333,28.5,13.71
14,1.5333,28.5,13.71
15,1.5419,28.5,13.71
16,1.5456,28.5,13.71
17,1.5424,28.5,13.71
18,1.5431,28.5,13.71
19,1.5722,28.5,13.71
20,1.5547,28.5,13.71
21,1.556,28.5,13.71
22,1.5259,28.5,13.71
23,1.5405,28.6,13.71
24,1.5384,28.6,13.71
25,1.54,28.6,13.71
26,1.5371,28.6,13.71
27,1.5324,28.6,13.71
28,1.5322,28.6,13.71
29,1.5821,28.6,13.71
30,1.5273,28.6,13.71
31,1.5126,28.6,13.71
32,1.5112,28.6,13.71
33,1.521,28.6,13.71
34,1.5085,28.6,13.71
35,1.507,28.6,13.71
36,1.5089,28.6,13.71
73,1.453,,19.37
74,1.477,,19.37
75,1.47,,19.37
76,1.494,,19.37
77,1.506,,19.37
78,1.48,,19.37
79,1.539,,19.37
80,1.536,,19.37
81,1.527,,19.37
82,1.525,,19.37
83,1.509,,19.37
84,1.512,,19.37
85,1.443,,19.37
86,1.428,,19.37
87,1.401,,19.37
88,1.343,,19.37
89,1.334,,19.37
90,1.338,,19.37
91,1.47,,19.37
92,1.478,,19.37
93,1.477,,19.37
94,1.247,,19.37
95,1.233,,19.37
96,1.266,,19.37
97,1.53,,19.37
98,1.523,,19.37
99,1.514,,19.37
100,1.488,,19.37
101,1.48,,19.37
102,1.467,,19.37
103,1.426,,19.37
104,1.41,,19.37
105,1.384,,19.37
106,1.331,,19.37
107,1.323,,19.37
108,1.323,,19.37
109,0.451,,0.05
110,0.45,,0.05
111,0.444,,0.05
112,0.463,,0.05
113,0.449,,0.05
114,0.443,,0.05
115,0.446,,0.05
116,0.444,,0.05
117,0.444,,0.05
118,0.45,,0.05
119,0.444,,0.05
120,0.447,,0.05
121,0.478,,0.05
122,0.479,,0.05
123,0.481,,0.05
124,0.481,,0.05
125,0.479,,0.05
126,0.483,,0.05
127,0.457,,0.05
128,0.458,,0.05
129,0.453,,0.05
130,0.457,,0.05
131,0.45,,0.05
132,0.452,,0.05
133,0.452,,0.05
134,0.445,,0.05
135,0.454,,0.05
136,0.449,,0.05
137,0.447,,0.05
138,0.45,,0.05
139,0.473,,0.05
140,0.474,,0.05
141,0.473,,0.05
142,0.473,,0.05
143,0.47,,0.05
144,0.468,,0.05
145,1.6844,27.2,15.3
146,1.6777,27.4,15.3
147,1.619,27.4,15.3
148,1.6,27.5,15.3
149,1.5876,27.5,15.3
150,1.5852,27.6,15.3
151,1.5865,27.6,15.3
152,1.5873,27.6,15.3
153,1.5851,27.6,15.3
154,1.5792,27.7,15.3
155,1.5792,27.7,15.3
156,1.5613,27.8,15.3
157,1.673,27.8,15.3
158,1.6592,27.8,15.3
159,1.6485,27.9,15.3
160,1.6153,27.9,15.3
161,1.5728,27.9,15.3
162,1.5735,27.9,15.3
163,1.6778,27.9,15.3
164,1.6911,27.9,15.3
165,1.6069,27.9,15.3
166,1.5646,27.9,15.3
167,1.5414,27.9,15.3
168,1.5491,27.9,15.3
169,1.5679,27.9,15.3
170,1.5883,27.9,15.3
171,1.5612,27.9,15.3
172,1.5447,27.9,15.3
173,1.6083,27.9,15.3
174,1.5048,27.9,15.3
175,1.6466,27.9,15.3
176,1.6353,27.9,15.3
177,1.6258,27.9,15.3
178,1.5701,27.9,15.3
