datetime,cond_us_cm,spec_cond_us_cm,salinity_ppt
5/23/23 8:00,0,,
5/23/23 8:05,0,,
5/23/23 8:10,0,,
5/23/23 8:15,0,,
5/23/23 8:20,0,,
5/23/23 8:25,0,,
5/23/23 8:30,0,,
5/23/23 8:35,0,,
5/23/23 8:40,0,,
5/23/23 8:45,0,,
5/23/23 8:50,0,,
5/23/23 8:55,0,,
5/23/23 9:00,0,,
5/23/23 9:05,0,,
5/23/23 9:10,0,,
5/23/23 9:15,0,,
5/23/23 9:20,0,,
5/23/23 9:25,0,,
5/23/23 9:30,0,,
5/23/23 9:35,0,,
5/23/23 9:40,0,,
5/23/23 9:45,0,,
5/23/23 9:50,0,,
5/23/23 9:55,0,,
5/23/23 10:00,0,,
5/23/23 10:05,0,,
5/23/23 10:10,0,,
5/23/23 10:15,162.1,,
5/23/23 10:20,162.2,,
5/23/23 10:25,162.4,,
5/23/23 10:30,162.2,,
5/23/23 10:35,162.4,,
5/23/23 10:40,162.4,,
5/23/23 10:45,162.4,,
5/23/23 10:50,162.2,,
5/23/23 10:55,162.1,,
5/23/23 11:00,162.1,,
5/23/23 11:05,162.1,,
5/23/23 11:10,161.9,,
5/23/23 11:15,161.8,,
5/23/23 11:20,161.8,,
5/23/23 11:25,161.8,,
5/23/23 11:30,161.8,,
5/23/23 11:35,161.8,,
5/23/23 11:40,161.8,,
5/23/23 11:45,161.8,,
5/23/23 11:50,161.8,,
5/23/23 11:55,161.9,164.9,0.0812
5/23/23 12:00,161.8,164.8,0.0812
5/23/23 12:05,161.9,164.7,0.0811
5/23/23 12:10,161.9,164.9,0.0812
5/23/23 12:15,161.9,164.8,0.0812
5/23/23 12:20,162.1,164.7,0.0811
5/23/23 12:25,162.2,164.7,0.0811
5/23/23 12:30,162.1,164.4,0.081
5/23/23 12:35,162.4,164.5,0.081
5/23/23 12:40,162.4,164.2,0.0809
5/23/23 12:45,162.4,164.3,0.0809
5/23/23 12:50,162.9,165,0.0813
5/23/23 12:55,163.3,165.2,0.0814
5/23/23 13:00,165.2,167.1,0.0822
5/23/23 13:05,165.2,166.9,0.0821
5/23/23 13:10,163.6,165.2,0.0813
5/23/23 13:15,164.2,165.8,0.0816
5/23/23 13:20,164.1,165.5,0.0815
5/23/23 13:25,164.2,166.1,0.0818
5/23/23 13:30,164.8,167,0.0822
5/23/23 13:35,164.8,167.1,0.0822
5/23/23 13:40,164.9,167.3,0.0823
5/23/23 13:45,164.5,167.9,0.0826
5/23/23 13:50,164.1,167.9,0.0826
5/23/23 13:55,164.1,167.1,0.0822
5/23/23 14:00,163.9,166.9,0.0821
5/23/23 14:05,163.6,167.9,0.0826
5/23/23 14:10,163.6,168.2,0.0827
5/23/23 14:15,163.5,168.1,0.0827
5/23/23 14:20,163.6,168.1,0.0827
5/23/23 14:25,163.6,168.1,0.0827
5/23/23 14:30,163.8,168.3,0.0828
5/23/23 14:35,163.8,168.3,0.0828
5/23/23 14:40,163.8,168.3,0.0828
5/23/23 14:45,163.8,168.4,0.0828
5/23/23 14:50,163.8,168.5,0.0829
5/23/23 14:55,163.8,168.4,0.0829
5/23/23 15:00,163.9,168.5,0.0829
5/23/23 15:05,163.9,168.4,0.0828
5/23/23 15:10,164.1,168.5,0.0829
5/23/23 15:15,164.2,168.6,0.0829
5/23/23 15:20,164.4,168.8,0.083
5/23/23 15:25,164.5,168.8,0.083
5/23/23 15:30,164.5,168.7,0.083
5/23/23 15:35,164.5,168.6,0.0829
5/23/23 15:40,164.5,168.5,0.0829
5/23/23 15:45,164.5,168.4,0.0829
5/23/23 15:50,164.6,168.5,0.0829
5/23/23 15:55,164.8,168.3,0.0828
5/23/23 16:00,164.9,168.1,0.0827
5/23/23 16:05,165.1,167.4,0.0824
5/23/23 16:10,165.2,166.9,0.0822
5/23/23 16:15,165.4,166.7,0.0821
5/23/23 16:20,165.5,166.5,0.0819
5/23/23 16:25,165.7,166.3,0.0819
5/23/23 16:30,166.1,166.3,0.0819
5/23/23 16:35,166.4,166.2,0.0818
5/23/23 16:40,166.4,166.2,0.0818
5/23/23 16:45,166.4,167.3,0.0823
5/23/23 16:50,166.7,168.1,0.0827
