datetime,pressure_kpa,temp_c,pressure_air_kpa,depth_m
5/23/23 8:00,101.981,24.062,102.003,-0.002
5/23/23 8:05,102.063,24.351,102.124,-0.006
5/23/23 8:10,102.286,24.641,102.367,-0.008
5/23/23 8:15,102.04,24.931,102.108,-0.007
5/23/23 8:20,101.948,25.125,102.01,-0.006
5/23/23 8:25,101.983,25.416,102.064,-0.008
5/23/23 8:30,102.064,25.61,102.134,-0.007
5/23/23 8:35,102.239,25.902,102.318,-0.008
5/23/23 8:40,102.319,26,102.384,-0.007
5/23/23 8:45,102.348,25.805,102.407,-0.006
5/23/23 8:50,102.342,25.319,102.389,-0.005
5/23/23 8:55,102.353,24.931,102.405,-0.005
5/23/23 9:00,102.349,24.641,102.406,-0.006
5/23/23 9:05,102.376,24.351,102.422,-0.005
5/23/23 9:10,102.372,24.062,102.441,-0.007
5/23/23 9:15,102.4,23.869,102.445,-0.005
5/23/23 9:20,102.383,23.773,102.441,-0.006
5/23/23 9:25,102.396,23.581,102.437,-0.004
5/23/23 9:30,102.389,23.196,102.418,-0.003
5/23/23 9:35,102.386,23.004,102.41,-0.002
5/23/23 9:40,102.369,22.908,102.422,-0.005
5/23/23 9:45,102.364,24.641,102.441,-0.008
5/23/23 9:50,102.362,24.448,102.468,-0.011
5/23/23 9:55,102.363,24.545,102.459,-0.01
5/23/23 10:00,102.36,25.513,102.483,-0.013
5/23/23 10:05,102.354,25.028,102.481,-0.013
5/23/23 10:10,102.353,24.931,102.479,-0.013
5/23/23 10:15,108.819,23.581,102.477,0.647
5/23/23 10:20,108.739,23.484,102.473,0.639
5/23/23 10:25,108.659,23.388,102.483,0.63
5/23/23 10:30,108.581,23.388,102.488,0.621
5/23/23 10:35,108.489,23.484,102.481,0.613
5/23/23 10:40,108.395,23.484,102.507,0.6
5/23/23 10:45,108.302,23.484,102.485,0.593
5/23/23 10:50,108.241,23.581,102.494,0.586
5/23/23 10:55,108.194,23.581,102.476,0.583
5/23/23 11:00,108.147,23.581,102.473,0.579
5/23/23 11:05,108.1,23.581,102.478,0.573
5/23/23 11:10,107.991,23.581,102.475,0.562
5/23/23 11:15,107.991,23.581,102.468,0.563
5/23/23 11:20,107.977,23.677,102.48,0.561
5/23/23 11:25,107.93,23.677,102.464,0.557
5/23/23 11:30,107.977,23.677,102.475,0.561
5/23/23 11:35,107.93,23.677,102.474,0.556
5/23/23 11:40,107.947,23.773,102.497,0.556
5/23/23 11:45,107.979,23.773,102.502,0.558
5/23/23 11:50,108.058,23.869,102.543,0.562
5/23/23 11:55,108.043,23.869,102.543,0.561
5/23/23 12:00,108.107,23.966,102.496,0.572
5/23/23 12:05,108.201,23.966,102.483,0.583
5/23/23 12:10,108.248,23.966,102.481,0.588
5/23/23 12:15,108.326,23.966,102.489,0.595
5/23/23 12:20,108.437,24.062,102.471,0.608
5/23/23 12:25,108.484,24.062,102.456,0.615
5/23/23 12:30,108.579,24.158,102.445,0.625
5/23/23 12:35,108.689,24.158,102.441,0.637
5/23/23 12:40,108.814,24.158,102.418,0.652
5/23/23 12:45,108.894,24.255,102.414,0.661
5/23/23 12:50,108.988,24.255,102.414,0.67
5/23/23 12:55,109.128,24.255,102.398,0.686
5/23/23 13:00,109.332,24.255,102.402,0.707
5/23/23 13:05,109.41,24.255,102.386,0.716
5/23/23 13:10,109.568,24.351,102.421,0.729
5/23/23 13:15,109.755,24.351,102.406,0.749
5/23/23 13:20,109.882,24.448,102.378,0.765
5/23/23 13:25,110.053,24.351,102.398,0.781
5/23/23 13:30,110.192,24.255,102.382,0.796
5/23/23 13:35,110.348,24.255,102.41,0.809
5/23/23 13:40,110.456,24.158,102.41,0.82
5/23/23 13:45,110.655,23.966,102.375,0.844
5/23/23 13:50,110.794,23.869,102.402,0.856
5/23/23 13:55,110.982,23.869,102.367,0.878
5/23/23 14:00,111.109,23.966,102.398,0.888
5/23/23 14:05,111.293,23.773,102.367,0.91
5/23/23 14:10,111.383,23.581,102.355,0.921
5/23/23 14:15,111.553,23.484,102.445,0.929
5/23/23 14:20,111.678,23.484,102.468,0.939
5/23/23 14:25,111.834,23.484,102.456,0.956
5/23/23 14:30,111.975,23.484,102.478,0.968
5/23/23 14:35,112.1,23.484,102.398,0.989
5/23/23 14:40,112.209,23.484,102.416,0.999
5/23/23 14:45,112.319,23.484,102.411,1.01
5/23/23 14:50,112.444,23.484,102.37,1.027
5/23/23 14:55,112.553,23.484,102.367,1.039
5/23/23 15:00,112.694,23.484,102.351,1.055
5/23/23 15:05,112.819,23.484,102.349,1.068
5/23/23 15:10,112.944,23.484,102.358,1.079
5/23/23 15:15,113.022,23.484,102.348,1.088
5/23/23 15:20,113.163,23.484,102.34,1.104
5/23/23 15:25,113.274,23.581,102.318,1.117
5/23/23 15:30,113.353,23.581,102.314,1.126
5/23/23 15:35,113.415,23.581,102.31,1.132
5/23/23 15:40,113.54,23.581,102.307,1.145
5/23/23 15:45,113.542,23.677,102.303,1.146
5/23/23 15:50,113.636,23.677,102.315,1.154
5/23/23 15:55,113.777,23.677,102.319,1.168
5/23/23 16:00,113.857,23.773,102.315,1.177
5/23/23 16:05,113.955,23.966,102.311,1.187
5/23/23 16:10,114.035,24.062,102.331,1.193
5/23/23 16:15,114.068,24.158,102.338,1.196
5/23/23 16:20,114.181,24.351,102.333,1.208
5/23/23 16:25,114.248,24.545,102.328,1.216
5/23/23 16:30,114.296,24.641,102.339,1.219
5/23/23 16:35,114.347,24.835,102.34,1.224
5/23/23 16:40,114.411,24.931,102.357,1.229
5/23/23 16:45,114.47,24.738,102.364,1.234
5/23/23 16:50,114.529,24.545,102.373,1.24
5/23/23 16:55,114.603,24.351,102.379,1.247
5/23/23 17:00,114.664,24.255,102.395,1.251
5/23/23 17:05,114.664,24.255,102.388,1.252
5/23/23 17:10,114.695,24.255,102.372,1.257
5/23/23 17:15,114.758,24.255,102.357,1.265
5/23/23 17:20,114.774,24.255,102.378,1.264
5/23/23 17:25,114.805,24.255,102.352,1.27
5/23/23 17:30,114.85,24.158,102.361,1.274
5/23/23 17:35,114.865,24.158,102.366,1.275
5/23/23 17:40,114.879,24.062,102.355,1.277
5/23/23 17:45,114.877,23.966,102.334,1.279
5/23/23 17:50,114.893,23.966,102.316,1.282
5/23/23 17:55,114.893,23.966,102.307,1.283
5/23/23 18:00,114.906,23.869,102.311,1.284
5/23/23 18:05,114.891,23.869,102.314,1.282
5/23/23 18:10,114.889,23.773,102.276,1.286
5/23/23 18:15,114.842,23.773,102.291,1.28
5/23/23 18:20,114.824,23.677,102.268,1.28
5/23/23 18:25,114.809,23.677,102.262,1.279
5/23/23 18:30,114.746,23.677,102.242,1.275
5/23/23 18:35,114.697,23.581,102.242,1.27
5/23/23 18:40,114.666,23.581,102.214,1.27
5/23/23 18:45,114.588,23.581,102.202,1.263
5/23/23 18:50,114.525,23.581,102.209,1.256
5/23/23 18:55,114.476,23.484,102.201,1.252
5/23/23 19:00,114.414,23.484,102.208,1.245
5/23/23 19:05,114.353,23.581,102.18,1.241
5/23/23 19:10,114.275,23.581,102.191,1.232
5/23/23 19:15,114.181,23.581,102.178,1.224
5/23/23 19:20,114.103,23.581,102.169,1.217
5/23/23 19:25,113.994,23.581,102.129,1.21
5/23/23 19:30,102.127,22.429,102.158,-0.003
5/23/23 19:35,102.127,20.805,102.146,-0.002
5/23/23 19:40,102.156,19.948,102.153,0
5/23/23 19:45,102.159,19.377,102.157,0
5/23/23 19:50,102.155,19.187,102.173,-0.002
5/23/23 19:55,102.155,19.187,102.184,-0.003
5/23/23 20:00,102.153,19.092,102.179,-0.003
5/23/23 20:05,102.151,18.996,102.159,-0.001
5/23/23 20:10,102.149,18.901,102.17,-0.002
5/23/23 20:15,102.128,18.711,102.15,-0.002
5/23/23 20:20,102.128,18.711,102.145,-0.002
5/23/23 20:25,102.113,18.711,102.145,-0.003
5/23/23 20:30,102.126,18.616,102.145,-0.002
5/23/23 20:35,102.126,18.616,102.145,-0.002
5/23/23 20:40,102.126,18.616,102.156,-0.003
5/23/23 20:45,102.095,18.616,102.124,-0.003
5/23/23 20:50,101.986,18.616,102,-0.001
5/23/23 20:55,101.719,18.521,101.765,-0.005
