MiniDOT Logger Concatenated Data File
Sensor:             7450-137738
Concatenation Date: 2023May25 15:39:25 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842180,           2023-05-23 11:43:00,           2023-05-23 07:43:00,      3.550000,     22.989000,          8.555537,                    99.749269,      0.954000
                1684842480,           2023-05-23 11:48:00,           2023-05-23 07:48:00,      3.550000,     23.240000,          8.522551,                    99.838046,      0.954000
                1684842780,           2023-05-23 11:53:00,           2023-05-23 07:53:00,      3.550000,     23.299000,          8.523552,                    99.961120,      0.954000
                1684843080,           2023-05-23 11:58:00,           2023-05-23 07:58:00,      3.550000,     23.349000,          8.526552,                   100.090723,      0.953000
                1684843380,           2023-05-23 12:03:00,           2023-05-23 08:03:00,      3.550000,     23.416000,          8.510558,                   100.029286,      0.954000
                1684843680,           2023-05-23 12:08:00,           2023-05-23 08:08:00,      3.550000,     23.458000,          8.537551,                   100.426000,      0.954000
                1684843980,           2023-05-23 12:13:00,           2023-05-23 08:13:00,      3.550000,     23.567000,          8.507561,                   100.278771,      0.953000
                1684844280,           2023-05-23 12:18:00,           2023-05-23 08:18:00,      3.550000,     23.659000,          8.475572,                   100.074608,      0.953000
                1684844580,           2023-05-23 12:23:00,           2023-05-23 08:23:00,      3.550000,     23.776000,          8.466577,                   100.188134,      0.954000
                1684844880,           2023-05-23 12:28:00,           2023-05-23 08:28:00,      3.540000,     23.911000,          8.452583,                   100.275796,      0.954000
                1684845180,           2023-05-23 12:33:00,           2023-05-23 08:33:00,      3.540000,     24.011000,          8.449586,                   100.427857,      0.953000
                1684845480,           2023-05-23 12:38:00,           2023-05-23 08:38:00,      3.540000,     24.171000,          8.430594,                   100.501806,      0.953000
                1684845780,           2023-05-23 12:43:00,           2023-05-23 08:43:00,      3.540000,     24.313000,          8.417600,                   100.612624,      0.953000
                1684846080,           2023-05-23 12:48:00,           2023-05-23 08:48:00,      3.550000,     24.431000,          8.415603,                   100.809624,      0.954000
                1684846380,           2023-05-23 12:53:00,           2023-05-23 08:53:00,      3.550000,     24.523000,          8.397610,                   100.765999,      0.954000
                1684846680,           2023-05-23 12:58:00,           2023-05-23 08:58:00,      3.550000,     24.574000,          8.383614,                   100.693236,      0.953000
                1684846980,           2023-05-23 13:03:00,           2023-05-23 09:03:00,      3.550000,     24.641000,          8.369619,                   100.649997,      0.953000
                1684847280,           2023-05-23 13:08:00,           2023-05-23 09:08:00,      3.550000,     24.666000,          8.376618,                   100.780791,      0.954000
                1684847580,           2023-05-23 13:13:00,           2023-05-23 09:13:00,      3.550000,     24.666000,          8.378617,                   100.804846,      0.954000
                1684847880,           2023-05-23 13:18:00,           2023-05-23 09:18:00,      3.550000,     24.649000,          8.380616,                   100.797172,      0.954000
                1684848180,           2023-05-23 13:23:00,           2023-05-23 09:23:00,      3.550000,     24.590000,          8.390613,                   100.807177,      0.954000
                1684848480,           2023-05-23 13:28:00,           2023-05-23 09:28:00,      3.550000,     24.582000,          8.396611,                   100.864286,      0.954000
                1684848780,           2023-05-23 13:33:00,           2023-05-23 09:33:00,      3.550000,     24.548000,          8.407607,                   100.932747,      0.954000
                1684849080,           2023-05-23 13:38:00,           2023-05-23 09:38:00,      3.550000,     24.473000,          8.398608,                   100.684534,      0.953000
                1684849380,           2023-05-23 13:43:00,           2023-05-23 09:43:00,      3.550000,     24.414000,          8.425600,                   100.897510,      0.954000
                1684849680,           2023-05-23 13:48:00,           2023-05-23 09:48:00,      3.550000,     24.422000,          8.409604,                   100.720931,      0.953000
                1684849980,           2023-05-23 13:53:00,           2023-05-23 09:53:00,      3.550000,     24.439000,          8.428599,                   100.980309,      0.954000
                1684850280,           2023-05-23 13:58:00,           2023-05-23 09:58:00,      3.550000,     24.498000,          8.425601,                   101.055002,      0.953000
                1684850580,           2023-05-23 14:03:00,           2023-05-23 10:03:00,      3.550000,     24.599000,          8.427602,                   101.268467,      0.954000
