MiniDOT Logger Concatenated Data File
Sensor:             7450-458163
Concatenation Date: 2023May25 15:10:55 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842240,           2023-05-23 11:44:00,           2023-05-23 07:44:00,      3.550000,     22.974000,          8.627516,                   100.559852,      0.979000
                1684842540,           2023-05-23 11:49:00,           2023-05-23 07:49:00,      3.550000,     23.326000,          8.584535,                   100.727637,      0.979000
                1684842840,           2023-05-23 11:54:00,           2023-05-23 07:54:00,      3.550000,     23.493000,          8.572542,                   100.904080,      0.978000
                1684843140,           2023-05-23 11:59:00,           2023-05-23 07:59:00,      3.550000,     23.644000,          8.568545,                   101.143877,      0.979000
                1684843440,           2023-05-23 12:04:00,           2023-05-23 08:04:00,      3.550000,     23.854000,          8.544556,                   101.258788,      0.979000
                1684843740,           2023-05-23 12:09:00,           2023-05-23 08:09:00,      3.550000,     24.038000,          8.540560,                   101.560353,      0.979000
                1684844040,           2023-05-23 12:14:00,           2023-05-23 08:14:00,      3.550000,     24.248000,          8.514571,                   101.648634,      0.979000
                1684844340,           2023-05-23 12:19:00,           2023-05-23 08:19:00,      3.550000,     24.474000,          8.462590,                   101.453446,      0.979000
                1684844640,           2023-05-23 12:24:00,           2023-05-23 08:24:00,      3.550000,     24.659000,          8.446598,                   101.609567,      0.979000
                1684844940,           2023-05-23 12:29:00,           2023-05-23 08:29:00,      3.550000,     24.869000,          8.423608,                   101.727108,      0.980000
                1684845240,           2023-05-23 12:34:00,           2023-05-23 08:34:00,      3.550000,     25.054000,          8.412614,                   101.941363,      0.979000
                1684845540,           2023-05-23 12:39:00,           2023-05-23 08:39:00,      3.550000,     25.256000,          8.394623,                   102.101757,      0.980000
                1684845840,           2023-05-23 12:44:00,           2023-05-23 08:44:00,      3.550000,     25.374000,          8.375630,                   102.091455,      0.979000
                1684846140,           2023-05-23 12:49:00,           2023-05-23 08:49:00,      3.550000,     25.222000,          8.399621,                   102.098793,      0.979000
                1684846440,           2023-05-23 12:54:00,           2023-05-23 08:54:00,      3.550000,     25.004000,          8.423610,                   101.980671,      0.979000
                1684846740,           2023-05-23 12:59:00,           2023-05-23 08:59:00,      3.550000,     24.718000,          8.466593,                   101.961357,      0.979000
