MiniDOT Logger Concatenated Data File
Sensor:             7450-471033
Concatenation Date: 2023May25 11:47:47 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842120,           2023-05-23 11:42:00,           2023-05-23 07:42:00,      3.550000,     22.786000,          8.497550,                    98.691829,      0.958000
                1684842420,           2023-05-23 11:47:00,           2023-05-23 07:47:00,      3.550000,     23.137000,          8.459568,                    98.907348,      0.958000
                1684842720,           2023-05-23 11:52:00,           2023-05-23 07:52:00,      3.550000,     23.321000,          8.435578,                    98.970488,      0.958000
                1684843020,           2023-05-23 11:57:00,           2023-05-23 07:57:00,      3.550000,     23.488000,          8.431582,                    99.235555,      0.958000
                1684843320,           2023-05-23 12:02:00,           2023-05-23 08:02:00,      3.550000,     23.656000,          8.395595,                    99.124699,      0.958000
                1684843620,           2023-05-23 12:07:00,           2023-05-23 08:07:00,      3.550000,     23.840000,          8.386601,                    99.360855,      0.957000
                1684843920,           2023-05-23 12:12:00,           2023-05-23 08:12:00,      3.550000,     24.008000,          8.362611,                    99.388538,      0.957000
                1684844220,           2023-05-23 12:17:00,           2023-05-23 08:17:00,      3.540000,     24.217000,          8.304631,                    99.085093,      0.957000
                1684844520,           2023-05-23 12:22:00,           2023-05-23 08:22:00,      3.550000,     24.402000,          8.286639,                    99.211320,      0.957000
                1684844820,           2023-05-23 12:27:00,           2023-05-23 08:27:00,      3.550000,     24.570000,          8.261649,                    99.220988,      0.957000
                1684845120,           2023-05-23 12:32:00,           2023-05-23 08:32:00,      3.550000,     24.755000,          8.255654,                    99.489104,      0.956000
                1684845420,           2023-05-23 12:37:00,           2023-05-23 08:37:00,      3.550000,     24.914000,          8.243660,                    99.636668,      0.956000
                1684845720,           2023-05-23 12:42:00,           2023-05-23 08:42:00,      3.540000,     25.091000,          8.225668,                    99.743901,      0.957000
                1684846020,           2023-05-23 12:47:00,           2023-05-23 08:47:00,      3.540000,     25.234000,          8.202677,                    99.726878,      0.956000
                1684846320,           2023-05-23 12:52:00,           2023-05-23 08:52:00,      3.540000,     25.124000,          8.241664,                    99.998548,      0.956000
                1684846620,           2023-05-23 12:57:00,           2023-05-23 08:57:00,      3.540000,     24.948000,          8.279650,                   100.134424,      0.957000
                1684846920,           2023-05-23 13:02:00,           2023-05-23 09:02:00,      3.550000,     24.797000,          8.307640,                   100.193327,      0.957000
                1684847220,           2023-05-23 13:07:00,           2023-05-23 09:07:00,      3.550000,     24.637000,          8.344627,                   100.342008,      0.958000
                1684847520,           2023-05-23 13:12:00,           2023-05-23 09:12:00,      3.550000,     24.477000,          8.358620,                   100.212581,      0.958000
                1684847820,           2023-05-23 13:17:00,           2023-05-23 09:17:00,      3.550000,     24.335000,          8.379611,                   100.199553,      0.958000
                1684848120,           2023-05-23 13:22:00,           2023-05-23 09:22:00,      3.540000,     24.268000,          8.386608,                   100.158274,      0.958000
                1684848420,           2023-05-23 13:27:00,           2023-05-23 09:27:00,      3.550000,     24.335000,          8.373613,                   100.127828,      0.958000
                1684848720,           2023-05-23 13:32:00,           2023-05-23 09:32:00,      3.540000,     24.259000,          8.393606,                   100.225053,      0.958000
                1684849020,           2023-05-23 13:37:00,           2023-05-23 09:37:00,      3.540000,     24.192000,          8.403602,                   100.219254,      0.958000
                1684849320,           2023-05-23 13:42:00,           2023-05-23 09:42:00,      3.540000,     24.234000,          8.394605,                   100.190330,      0.958000
                1684849620,           2023-05-23 13:47:00,           2023-05-23 09:47:00,      3.550000,     24.553000,          8.324631,                    99.945887,      0.957000
                1684849920,           2023-05-23 13:52:00,           2023-05-23 09:52:00,      3.540000,     24.973000,          8.252658,                    99.853986,      0.956000
