MiniDOT Logger Concatenated Data File
Sensor:             7450-516531
Concatenation Date: 2023May25 15:17:32 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842300,           2023-05-23 11:45:00,           2023-05-23 07:45:00,      3.500000,     23.202000,          8.629520,                   101.018542,      0.930000
                1684842600,           2023-05-23 11:50:00,           2023-05-23 07:50:00,      3.510000,     23.428000,          8.606531,                   101.180188,      0.929000
                1684842900,           2023-05-23 11:55:00,           2023-05-23 07:55:00,      3.510000,     23.587000,          8.609533,                   101.518880,      0.930000
                1684843200,           2023-05-23 12:00:00,           2023-05-23 08:00:00,      3.510000,     23.738000,          8.579544,                   101.452582,      0.929000
                1684843500,           2023-05-23 12:05:00,           2023-05-23 08:05:00,      3.510000,     23.897000,          8.576548,                   101.719771,      0.929000
                1684843800,           2023-05-23 12:10:00,           2023-05-23 08:10:00,      3.500000,     24.081000,          8.586548,                   102.189234,      0.930000
                1684844100,           2023-05-23 12:15:00,           2023-05-23 08:15:00,      3.500000,     24.249000,          8.540564,                   101.960838,      0.930000
                1684844400,           2023-05-23 12:20:00,           2023-05-23 08:20:00,      3.510000,     24.451000,          8.499579,                   101.853390,      0.930000
                1684844700,           2023-05-23 12:25:00,           2023-05-23 08:25:00,      3.510000,     24.635000,          8.490585,                   102.093340,      0.930000
                1684845000,           2023-05-23 12:30:00,           2023-05-23 08:30:00,      3.500000,     24.854000,          8.454599,                   102.073103,      0.929000
                1684845300,           2023-05-23 12:35:00,           2023-05-23 08:35:00,      3.500000,     25.064000,          8.444605,                   102.347858,      0.929000
                1684845600,           2023-05-23 12:40:00,           2023-05-23 08:40:00,      3.500000,     25.249000,          8.436611,                   102.599262,      0.930000
                1684845900,           2023-05-23 12:45:00,           2023-05-23 08:45:00,      3.500000,     25.350000,          8.420617,                   102.594667,      0.930000
                1684846200,           2023-05-23 12:50:00,           2023-05-23 08:50:00,      3.500000,     25.173000,          8.439609,                   102.492551,      0.929000
