MiniDOT Logger Concatenated Data File
Sensor:             7450-233512
Concatenation Date: 2023May25 15:21:00 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842060,           2023-05-23 11:41:00,           2023-05-23 07:41:00,      3.540000,     22.418000,          8.627506,                    99.500034,      0.952000
                1684842360,           2023-05-23 11:46:00,           2023-05-23 07:46:00,      3.530000,     23.063000,          8.539543,                    99.702579,      0.951000
                1684842660,           2023-05-23 11:51:00,           2023-05-23 07:51:00,      3.530000,     23.532000,          8.486567,                    99.965463,      0.952000
                1684842960,           2023-05-23 11:56:00,           2023-05-23 07:56:00,      3.530000,     23.968000,          8.442587,                   100.264054,      0.952000
                1684843260,           2023-05-23 12:01:00,           2023-05-23 08:01:00,      3.530000,     24.371000,          8.384611,                   100.326463,      0.952000
                1684843560,           2023-05-23 12:06:00,           2023-05-23 08:06:00,      3.530000,     24.749000,          8.368622,                   100.839296,      0.953000
                1684843860,           2023-05-23 12:11:00,           2023-05-23 08:11:00,      3.530000,     25.077000,          8.320641,                   100.869548,      0.952000
                1684844160,           2023-05-23 12:16:00,           2023-05-23 08:16:00,      3.530000,     25.414000,          8.256664,                   100.715146,      0.952000
                1684844460,           2023-05-23 12:21:00,           2023-05-23 08:21:00,      3.530000,     25.709000,          8.235675,                   101.002229,      0.953000
                1684844760,           2023-05-23 12:26:00,           2023-05-23 08:26:00,      3.530000,     26.005000,          8.207688,                   101.202791,      0.952000
                1684845060,           2023-05-23 12:31:00,           2023-05-23 08:31:00,      3.530000,     26.275000,          8.167704,                   101.204005,      0.952000
                1684845360,           2023-05-23 12:36:00,           2023-05-23 08:36:00,      3.530000,     26.554000,          8.139716,                   101.366795,      0.952000
                1684845660,           2023-05-23 12:41:00,           2023-05-23 08:41:00,      3.530000,     26.732000,          8.115725,                   101.392516,      0.952000
                1684845960,           2023-05-23 12:46:00,           2023-05-23 08:46:00,      3.530000,     26.766000,          8.105729,                   101.329558,      0.952000
                1684846260,           2023-05-23 12:51:00,           2023-05-23 08:51:00,      3.530000,     26.512000,          8.111723,                   100.941702,      0.951000
                1684846560,           2023-05-23 12:56:00,           2023-05-23 08:56:00,      3.530000,     26.182000,          8.142709,                   100.724524,      0.951000
                1684846860,           2023-05-23 13:01:00,           2023-05-23 09:01:00,      3.530000,     25.895000,          8.179694,                   100.656140,      0.951000
                1684847160,           2023-05-23 13:06:00,           2023-05-23 09:06:00,      3.530000,     25.608000,          8.221678,                   100.644853,      0.951000
                1684847460,           2023-05-23 13:11:00,           2023-05-23 09:11:00,      3.530000,     25.364000,          8.246666,                   100.501084,      0.951000
                1684847760,           2023-05-23 13:16:00,           2023-05-23 09:16:00,      3.530000,     25.128000,          8.275654,                   100.418350,      0.951000
                1684848060,           2023-05-23 13:21:00,           2023-05-23 09:21:00,      3.530000,     24.901000,          8.314640,                   100.470465,      0.951000
                1684848360,           2023-05-23 13:26:00,           2023-05-23 09:26:00,      3.530000,     24.674000,          8.347626,                   100.446859,      0.951000
                1684848660,           2023-05-23 13:31:00,           2023-05-23 09:31:00,      3.530000,     24.413000,          8.392609,                   100.500577,      0.952000
                1684848960,           2023-05-23 13:36:00,           2023-05-23 09:36:00,      3.530000,     24.220000,          8.408601,                   100.331203,      0.951000
                1684849260,           2023-05-23 13:41:00,           2023-05-23 09:41:00,      3.530000,     24.010000,          8.449586,                   100.425980,      0.951000
                1684849560,           2023-05-23 13:46:00,           2023-05-23 09:46:00,      3.530000,     23.993000,          8.458583,                   100.500979,      0.952000
                1684849860,           2023-05-23 13:51:00,           2023-05-23 09:51:00,      3.530000,     23.968000,          8.465581,                   100.537123,      0.952000
                1684850160,           2023-05-23 13:56:00,           2023-05-23 09:56:00,      3.530000,     23.935000,          8.461581,                   100.427626,      0.951000
                1684850460,           2023-05-23 14:01:00,           2023-05-23 10:01:00,      3.530000,     23.985000,          8.457583,                   100.474074,      0.951000
                1684850760,           2023-05-23 14:06:00,           2023-05-23 10:06:00,      3.530000,     24.052000,          8.459584,                   100.623724,      0.952000
                1684851060,           2023-05-23 14:11:00,           2023-05-23 10:11:00,      3.530000,     24.086000,          8.452586,                   100.604334,      0.952000
                1684851360,           2023-05-23 14:16:00,           2023-05-23 10:16:00,      3.530000,     24.136000,          8.445589,                   100.614876,      0.952000
                1684851660,           2023-05-23 14:21:00,           2023-05-23 10:21:00,      3.530000,     24.136000,          8.440591,                   100.555326,      0.952000
                1684851960,           2023-05-23 14:26:00,           2023-05-23 10:26:00,      3.530000,     24.128000,          8.438591,                   100.516504,      0.952000
                1684852260,           2023-05-23 14:31:00,           2023-05-23 10:31:00,      3.530000,     24.128000,          8.431593,                   100.433147,      0.952000
                1684852560,           2023-05-23 14:36:00,           2023-05-23 10:36:00,      3.530000,     24.069000,          8.442589,                   100.453458,      0.952000
                1684852860,           2023-05-23 14:41:00,           2023-05-23 10:41:00,      3.530000,     24.086000,          8.434591,                   100.390156,      0.951000
                1684853160,           2023-05-23 14:46:00,           2023-05-23 10:46:00,      3.530000,     24.027000,          8.444588,                   100.398458,      0.951000
                1684853460,           2023-05-23 14:51:00,           2023-05-23 10:51:00,      3.530000,     23.985000,          8.456583,                   100.462197,      0.952000
                1684853760,           2023-05-23 14:56:00,           2023-05-23 10:56:00,      3.530000,     23.893000,          8.475576,                   100.514704,      0.952000
                1684854060,           2023-05-23 15:01:00,           2023-05-23 11:01:00,      3.530000,     23.800000,          8.489571,                   100.505438,      0.952000
                1684854360,           2023-05-23 15:06:00,           2023-05-23 11:06:00,      3.530000,     23.775000,          8.480573,                   100.351872,      0.951000
                1684854660,           2023-05-23 15:11:00,           2023-05-23 11:11:00,      3.530000,     23.717000,          8.495568,                   100.419991,      0.951000
                1684854960,           2023-05-23 15:16:00,           2023-05-23 11:16:00,      3.530000,     23.649000,          8.505564,                   100.409865,      0.951000
                1684855260,           2023-05-23 15:21:00,           2023-05-23 11:21:00,      3.530000,     23.591000,          8.516559,                   100.430143,      0.951000
                1684855560,           2023-05-23 15:26:00,           2023-05-23 11:26:00,      3.530000,     23.574000,          8.516559,                   100.398041,      0.951000
                1684855860,           2023-05-23 15:31:00,           2023-05-23 11:31:00,      3.530000,     23.817000,          8.484572,                   100.478272,      0.952000
                1684856160,           2023-05-23 15:36:00,           2023-05-23 11:36:00,      3.530000,     23.851000,          8.711508,                   103.231485,      0.954000
                1684856460,           2023-05-23 15:41:00,           2023-05-23 11:41:00,      3.530000,     23.968000,          8.809482,                   104.621296,      0.953000
                1684856760,           2023-05-23 15:46:00,           2023-05-23 11:46:00,      3.530000,     24.044000,          8.958441,                   106.541535,      0.954000
                1684857060,           2023-05-23 15:51:00,           2023-05-23 11:51:00,      3.530000,     24.086000,          9.005428,                   107.184369,      0.954000
                1684857360,           2023-05-23 15:56:00,           2023-05-23 11:56:00,      3.530000,     24.094000,          8.969439,                   106.771955,      0.954000
                1684857660,           2023-05-23 16:01:00,           2023-05-23 12:01:00,      3.530000,     24.128000,          9.058414,                   107.899543,      0.954000
                1684857960,           2023-05-23 16:06:00,           2023-05-23 12:06:00,      3.530000,     24.195000,          9.114399,                   108.702121,      0.954000
                1684858260,           2023-05-23 16:11:00,           2023-05-23 12:11:00,      3.530000,     24.144000,          9.048417,                   107.812635,      0.953000
                1684858560,           2023-05-23 16:16:00,           2023-05-23 12:16:00,      3.530000,     24.178000,          9.084408,                   108.310103,      0.953000
                1684858860,           2023-05-23 16:21:00,           2023-05-23 12:21:00,      3.530000,     24.254000,          9.137394,                   109.096200,      0.953000
                1684859160,           2023-05-23 16:26:00,           2023-05-23 12:26:00,      3.530000,     24.329000,          9.210375,                   110.121147,      0.954000
                1684859460,           2023-05-23 16:31:00,           2023-05-23 12:31:00,      3.530000,     24.371000,          9.271358,                   110.936881,      0.954000
                1684859760,           2023-05-23 16:36:00,           2023-05-23 12:36:00,      3.530000,     24.346000,          9.251363,                   110.646192,      0.953000
                1684860060,           2023-05-23 16:41:00,           2023-05-23 12:41:00,      3.530000,     24.371000,          9.312346,                   111.427328,      0.953000
                1684860360,           2023-05-23 16:46:00,           2023-05-23 12:46:00,      3.530000,     24.430000,          9.348337,                   111.980671,      0.954000
                1684860660,           2023-05-23 16:51:00,           2023-05-23 12:51:00,      3.530000,     24.455000,          9.383328,                   112.452003,      0.954000
                1684860960,           2023-05-23 16:56:00,           2023-05-23 12:56:00,      3.530000,     24.472000,          9.413319,                   112.847038,      0.954000
                1684861260,           2023-05-23 17:01:00,           2023-05-23 13:01:00,      3.530000,     24.497000,          9.401323,                   112.755530,      0.954000
                1684861560,           2023-05-23 17:06:00,           2023-05-23 13:06:00,      3.530000,     24.489000,          9.320346,                   111.767732,      0.954000
                1684861860,           2023-05-23 17:11:00,           2023-05-23 13:11:00,      3.530000,     24.422000,          8.986440,                   107.629631,      0.954000
                1684862160,           2023-05-23 17:16:00,           2023-05-23 13:16:00,      3.530000,     24.363000,          8.805491,                   105.346854,      0.953000
                1684862460,           2023-05-23 17:21:00,           2023-05-23 13:21:00,      3.530000,     24.346000,          8.682525,                   103.842898,      0.953000
                1684862760,           2023-05-23 17:26:00,           2023-05-23 13:26:00,      3.530000,     24.346000,          8.588552,                   102.718980,      0.953000
                1684863060,           2023-05-23 17:31:00,           2023-05-23 13:31:00,      3.530000,     24.363000,          8.534568,                   102.105596,      0.953000
                1684863360,           2023-05-23 17:36:00,           2023-05-23 13:36:00,      3.530000,     24.321000,          8.462588,                   101.165396,      0.953000
                1684863660,           2023-05-23 17:41:00,           2023-05-23 13:41:00,      3.530000,     24.312000,          8.419600,                   100.634650,      0.953000
                1684863960,           2023-05-23 17:46:00,           2023-05-23 13:46:00,      3.530000,     24.270000,          8.386608,                   100.162004,      0.953000
                1684864260,           2023-05-23 17:51:00,           2023-05-23 13:51:00,      3.530000,     24.245000,          8.364614,                    99.852836,      0.953000
                1684864560,           2023-05-23 17:56:00,           2023-05-23 13:56:00,      3.530000,     24.186000,          8.337621,                    99.421259,      0.953000
                1684864860,           2023-05-23 18:01:00,           2023-05-23 14:01:00,      3.530000,     24.119000,          8.317625,                    99.058986,      0.952000
                1684865160,           2023-05-23 18:06:00,           2023-05-23 14:06:00,      3.530000,     24.044000,          8.279635,                    98.468585,      0.953000
                1684865460,           2023-05-23 18:11:00,           2023-05-23 14:11:00,      3.530000,     23.968000,          8.098685,                    96.179882,      0.953000
                1684865760,           2023-05-23 18:16:00,           2023-05-23 14:16:00,      3.530000,     23.901000,          7.978719,                    94.636470,      0.952000
                1684866060,           2023-05-23 18:21:00,           2023-05-23 14:21:00,      3.530000,     23.859000,          7.804768,                    92.500456,      0.952000
                1684866360,           2023-05-23 18:26:00,           2023-05-23 14:26:00,      3.530000,     23.809000,          7.718791,                    91.395832,      0.953000
                1684866660,           2023-05-23 18:31:00,           2023-05-23 14:31:00,      3.530000,     23.767000,          7.675803,                    90.815287,      0.952000
                1684866960,           2023-05-23 18:36:00,           2023-05-23 14:36:00,      3.530000,     23.725000,          7.601824,                    89.869177,      0.953000
                1684867260,           2023-05-23 18:41:00,           2023-05-23 14:41:00,      3.530000,     23.691000,          7.447867,                    87.992925,      0.952000
                1684867560,           2023-05-23 18:46:00,           2023-05-23 14:46:00,      3.530000,     23.675000,          7.352894,                    86.844771,      0.953000
                1684867860,           2023-05-23 18:51:00,           2023-05-23 14:51:00,      3.530000,     23.675000,          7.378887,                    87.151769,      0.952000
                1684868160,           2023-05-23 18:56:00,           2023-05-23 14:56:00,      3.530000,     23.641000,          7.444867,                    87.874927,      0.952000
                1684868460,           2023-05-23 19:01:00,           2023-05-23 15:01:00,      3.530000,     23.624000,          7.472859,                    88.177154,      0.952000
                1684868760,           2023-05-23 19:06:00,           2023-05-23 15:06:00,      3.530000,     23.616000,          7.438869,                    87.762884,      0.953000
                1684869060,           2023-05-23 19:11:00,           2023-05-23 15:11:00,      3.530000,     23.591000,          7.419874,                    87.497655,      0.952000
                1684869360,           2023-05-23 19:16:00,           2023-05-23 15:16:00,      3.530000,     23.566000,          7.404878,                    87.279775,      0.952000
                1684869660,           2023-05-23 19:21:00,           2023-05-23 15:21:00,      3.530000,     23.557000,          7.423872,                    87.488846,      0.953000
                1684869960,           2023-05-23 19:26:00,           2023-05-23 15:26:00,      3.530000,     23.566000,          7.432870,                    87.609710,      0.951000
                1684870260,           2023-05-23 19:31:00,           2023-05-23 15:31:00,      3.530000,     23.566000,          7.492852,                    88.316715,      0.953000
                1684870560,           2023-05-23 19:36:00,           2023-05-23 15:36:00,      3.530000,     23.557000,          7.505848,                    88.454923,      0.952000
                1684870860,           2023-05-23 19:41:00,           2023-05-23 15:41:00,      3.530000,     23.566000,          7.522844,                    88.670218,      0.952000
                1684871160,           2023-05-23 19:46:00,           2023-05-23 15:46:00,      3.530000,     23.557000,          7.541838,                    88.879054,      0.952000
                1684871460,           2023-05-23 19:51:00,           2023-05-23 15:51:00,      3.530000,     23.557000,          7.598822,                    89.550595,      0.952000
                1684871760,           2023-05-23 19:56:00,           2023-05-23 15:56:00,      3.530000,     23.557000,          7.702792,                    90.775863,      0.952000
                1684872060,           2023-05-23 20:01:00,           2023-05-23 16:01:00,      3.530000,     23.574000,          7.834754,                    92.360541,      0.952000
                1684872360,           2023-05-23 20:06:00,           2023-05-23 16:06:00,      3.530000,     23.591000,          7.954720,                    93.804748,      0.952000
                1684872660,           2023-05-23 20:11:00,           2023-05-23 16:11:00,      3.530000,     23.616000,          8.069688,                    95.205214,      0.953000
                1684872960,           2023-05-23 20:16:00,           2023-05-23 16:16:00,      3.530000,     23.649000,          8.149665,                    96.208418,      0.953000
                1684873260,           2023-05-23 20:21:00,           2023-05-23 16:21:00,      3.530000,     23.708000,          8.208650,                    97.012152,      0.953000
                1684873560,           2023-05-23 20:26:00,           2023-05-23 16:26:00,      3.530000,     23.792000,          8.225646,                    97.366313,      0.953000
                1684873860,           2023-05-23 20:31:00,           2023-05-23 16:31:00,      3.530000,     23.876000,          8.251640,                    97.827830,      0.953000
                1684874160,           2023-05-23 20:36:00,           2023-05-23 16:36:00,      3.530000,     23.977000,          8.275635,                    98.297871,      0.954000
                1684874460,           2023-05-23 20:41:00,           2023-05-23 16:41:00,      3.530000,     24.069000,          8.268639,                    98.383724,      0.953000
                1684874760,           2023-05-23 20:46:00,           2023-05-23 16:46:00,      3.530000,     24.170000,          8.207658,                    97.842339,      0.953000
                1684875060,           2023-05-23 20:51:00,           2023-05-23 16:51:00,      3.530000,     24.270000,          7.988722,                    95.410010,      0.953000
                1684875360,           2023-05-23 20:56:00,           2023-05-23 16:56:00,      3.530000,     24.354000,          7.816772,                    93.502409,      0.952000
                1684875660,           2023-05-23 21:01:00,           2023-05-23 17:01:00,      3.530000,     24.380000,          7.785781,                    93.176729,      0.953000
                1684875960,           2023-05-23 21:06:00,           2023-05-23 17:06:00,      3.530000,     24.354000,          7.812773,                    93.454576,      0.953000
