MiniDOT Logger Concatenated Data File
Sensor:             7450-325834
Concatenation Date: 2023May25 15:14:04 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684841880,           2023-05-23 11:38:00,           2023-05-23 07:38:00,      3.540000,     22.687000,          8.634509,                   100.093617,      0.974000
                1684842180,           2023-05-23 11:43:00,           2023-05-23 07:43:00,      3.530000,     23.114000,          8.590530,                   100.394802,      0.973000
                1684842480,           2023-05-23 11:48:00,           2023-05-23 07:48:00,      3.530000,     23.206000,          8.588532,                   100.546333,      0.974000
                1684842780,           2023-05-23 11:53:00,           2023-05-23 07:53:00,      3.530000,     23.223000,          8.581534,                   100.496706,      0.973000
                1684843080,           2023-05-23 11:58:00,           2023-05-23 07:58:00,      3.530000,     23.240000,          8.594531,                   100.681253,      0.973000
                1684843380,           2023-05-23 12:03:00,           2023-05-23 08:03:00,      3.540000,     23.290000,          8.597531,                   100.811580,      0.974000
                1684843680,           2023-05-23 12:08:00,           2023-05-23 08:08:00,      3.540000,     23.374000,          8.592534,                   100.912843,      0.973000
                1684843980,           2023-05-23 12:13:00,           2023-05-23 08:13:00,      3.540000,     23.491000,          8.591536,                   101.123849,      0.973000
                1684844280,           2023-05-23 12:18:00,           2023-05-23 08:18:00,      3.540000,     23.600000,          8.546551,                   100.800868,      0.973000
                1684844580,           2023-05-23 12:23:00,           2023-05-23 08:23:00,      3.540000,     23.751000,          8.526559,                   100.850633,      0.973000
                1684844880,           2023-05-23 12:28:00,           2023-05-23 08:28:00,      3.540000,     23.886000,          8.496570,                   100.750475,      0.972000
                1684845180,           2023-05-23 12:33:00,           2023-05-23 08:33:00,      3.530000,     24.053000,          8.494574,                   101.041805,      0.972000
                1684845480,           2023-05-23 12:38:00,           2023-05-23 08:38:00,      3.530000,     24.196000,          8.494576,                   101.311740,      0.973000
                1684845780,           2023-05-23 12:43:00,           2023-05-23 08:43:00,      3.540000,     24.381000,          8.461589,                   101.266371,      0.973000
