MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023May25 15:43:21 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842180,           2023-05-23 11:43:00,           2023-05-23 07:43:00,      3.550000,     23.359000,          8.392591,                    98.536779,      0.967000
                1684842480,           2023-05-23 11:48:00,           2023-05-23 07:48:00,      3.550000,     23.954000,          8.322621,                    98.813468,      0.967000
                1684842780,           2023-05-23 11:53:00,           2023-05-23 07:53:00,      3.550000,     24.416000,          8.256648,                    98.877967,      0.967000
                1684843080,           2023-05-23 11:58:00,           2023-05-23 07:58:00,      3.550000,     24.802000,          8.216666,                    99.105299,      0.967000
                1684843380,           2023-05-23 12:03:00,           2023-05-23 08:03:00,      3.540000,     25.181000,          8.171685,                    99.253411,      0.967000
                1684843680,           2023-05-23 12:08:00,           2023-05-23 08:08:00,      3.550000,     25.509000,          8.135700,                    99.412321,      0.966000
                1684843980,           2023-05-23 12:13:00,           2023-05-23 08:13:00,      3.550000,     25.830000,          8.112712,                    99.713847,      0.967000
                1684844280,           2023-05-23 12:18:00,           2023-05-23 08:18:00,      3.540000,     26.125000,          8.051734,                    99.496306,      0.967000
                1684844580,           2023-05-23 12:23:00,           2023-05-23 08:23:00,      3.540000,     26.379000,          8.011749,                    99.458501,      0.967000
                1684844880,           2023-05-23 12:28:00,           2023-05-23 08:28:00,      3.550000,     26.641000,          7.988760,                    99.642964,      0.967000
                1684845180,           2023-05-23 12:33:00,           2023-05-23 08:33:00,      3.540000,     26.896000,          7.970769,                    99.875371,      0.967000
                1684845480,           2023-05-23 12:38:00,           2023-05-23 08:38:00,      3.540000,     27.133000,          7.956776,                   100.124338,      0.968000
                1684845780,           2023-05-23 12:43:00,           2023-05-23 08:43:00,      3.540000,     27.329000,          7.941783,                   100.286260,      0.968000
                1684846080,           2023-05-23 12:48:00,           2023-05-23 08:48:00,      3.540000,     27.176000,          7.972772,                   100.402813,      0.968000
                1684846380,           2023-05-23 12:53:00,           2023-05-23 08:53:00,      3.550000,     26.785000,          8.022752,                   100.326530,      0.967000
                1684846680,           2023-05-23 12:58:00,           2023-05-23 08:58:00,      3.540000,     26.387000,          8.081730,                   100.341750,      0.968000
                1684846980,           2023-05-23 13:03:00,           2023-05-23 09:03:00,      3.540000,     26.007000,          8.134709,                   100.306581,      0.967000
                1684847280,           2023-05-23 13:08:00,           2023-05-23 09:08:00,      3.550000,     25.695000,          8.174692,                   100.228735,      0.967000
                1684847580,           2023-05-23 13:13:00,           2023-05-23 09:13:00,      3.550000,     25.391000,          8.226673,                   100.307035,      0.968000
                1684847880,           2023-05-23 13:18:00,           2023-05-23 09:18:00,      3.540000,     25.113000,          8.260658,                   100.208739,      0.967000
                1684848180,           2023-05-23 13:23:00,           2023-05-23 09:23:00,      3.550000,     24.869000,          8.307641,                   100.326640,      0.968000
                1684848480,           2023-05-23 13:28:00,           2023-05-23 09:28:00,      3.550000,     24.634000,          8.336629,                   100.240268,      0.968000
                1684848780,           2023-05-23 13:33:00,           2023-05-23 09:33:00,      3.550000,     24.340000,          8.373613,                   100.137140,      0.967000
                1684849080,           2023-05-23 13:38:00,           2023-05-23 09:38:00,      3.540000,     24.114000,          8.409599,                   100.145006,      0.967000
                1684849380,           2023-05-23 13:43:00,           2023-05-23 09:43:00,      3.550000,     23.946000,          8.429590,                   100.068528,      0.967000
                1684849680,           2023-05-23 13:48:00,           2023-05-23 09:48:00,      3.550000,     23.895000,          8.430589,                    99.984930,      0.967000
