MiniDOT Logger Concatenated Data File
Sensor:             7450-269898
Concatenation Date: 2023May25 15:46:03 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842060,           2023-05-23 11:41:00,           2023-05-23 07:41:00,      3.540000,     22.295000,          8.483546,                    97.609547,      0.976000
                1684842360,           2023-05-23 11:46:00,           2023-05-23 07:46:00,      3.540000,     22.629000,          8.472555,                    98.107655,      0.977000
                1684842660,           2023-05-23 11:51:00,           2023-05-23 07:51:00,      3.540000,     22.855000,          8.456564,                    98.344768,      0.977000
                1684842960,           2023-05-23 11:56:00,           2023-05-23 07:56:00,      3.530000,     23.114000,          8.441572,                    98.653987,      0.977000
                1684843260,           2023-05-23 12:01:00,           2023-05-23 08:01:00,      3.540000,     23.374000,          8.406587,                    98.729040,      0.977000
                1684843560,           2023-05-23 12:06:00,           2023-05-23 08:06:00,      3.540000,     23.659000,          8.386598,                    99.024049,      0.977000
                1684843860,           2023-05-23 12:11:00,           2023-05-23 08:11:00,      3.530000,     23.943000,          8.363609,                    99.279687,      0.977000
                1684844160,           2023-05-23 12:16:00,           2023-05-23 08:16:00,      3.530000,     24.237000,          8.311629,                    99.205544,      0.977000
                1684844460,           2023-05-23 12:21:00,           2023-05-23 08:21:00,      3.540000,     24.514000,          8.274644,                    99.273921,      0.977000
                1684844760,           2023-05-23 12:26:00,           2023-05-23 08:26:00,      3.530000,     24.774000,          8.267651,                    99.668676,      0.978000
                1684845060,           2023-05-23 12:31:00,           2023-05-23 08:31:00,      3.530000,     24.993000,          8.234664,                    99.672984,      0.977000
                1684845360,           2023-05-23 12:36:00,           2023-05-23 08:36:00,      3.530000,     25.228000,          8.213674,                    99.849575,      0.977000
                1684845660,           2023-05-23 12:41:00,           2023-05-23 08:41:00,      3.540000,     25.489000,          8.179687,                    99.913253,      0.977000
                1684845960,           2023-05-23 12:46:00,           2023-05-23 08:46:00,      3.530000,     25.607000,          8.162694,                    99.920989,      0.978000
                1684846260,           2023-05-23 12:51:00,           2023-05-23 08:51:00,      3.530000,     25.321000,          8.186683,                    99.691449,      0.977000
                1684846560,           2023-05-23 12:56:00,           2023-05-23 08:56:00,      3.530000,     24.925000,          8.241661,                    99.632715,      0.977000
                1684846860,           2023-05-23 13:01:00,           2023-05-23 09:01:00,      3.540000,     24.581000,          8.291641,                    99.601486,      0.977000
                1684847160,           2023-05-23 13:06:00,           2023-05-23 09:06:00,      3.530000,     24.279000,          8.331624,                    99.521995,      0.977000
                1684847460,           2023-05-23 13:11:00,           2023-05-23 09:11:00,      3.530000,     23.994000,          8.375607,                    99.516953,      0.977000
                1684847760,           2023-05-23 13:16:00,           2023-05-23 09:16:00,      3.540000,     23.709000,          8.422588,                    99.542409,      0.977000
                1684848060,           2023-05-23 13:21:00,           2023-05-23 09:21:00,      3.540000,     23.474000,          8.447577,                    99.397601,      0.977000
                1684848360,           2023-05-23 13:26:00,           2023-05-23 09:26:00,      3.530000,     23.248000,          8.482563,                    99.384624,      0.977000
                1684848660,           2023-05-23 13:31:00,           2023-05-23 09:31:00,      3.530000,     22.956000,          8.523546,                    99.314073,      0.976000
                1684848960,           2023-05-23 13:36:00,           2023-05-23 09:36:00,      3.540000,     22.721000,          8.564530,                    99.346729,      0.976000
                1684849260,           2023-05-23 13:41:00,           2023-05-23 09:41:00,      3.540000,     22.629000,          8.578524,                    99.334725,      0.976000
                1684849560,           2023-05-23 13:46:00,           2023-05-23 09:46:00,      3.530000,     23.223000,          8.467567,                    99.162057,      0.976000
                1684849860,           2023-05-23 13:51:00,           2023-05-23 09:51:00,      3.530000,     23.851000,          8.359609,                    99.061473,      0.977000
                1684850160,           2023-05-23 13:56:00,           2023-05-23 09:56:00,      3.530000,     24.212000,          8.304631,                    99.075862,      0.977000
                1684850460,           2023-05-23 14:01:00,           2023-05-23 10:01:00,      3.530000,     24.799000,          8.221664,                    99.160093,      0.977000
                1684850760,           2023-05-23 14:06:00,           2023-05-23 10:06:00,      3.530000,     25.826000,          8.062726,                    99.092249,      0.977000
                1684851060,           2023-05-23 14:11:00,           2023-05-23 10:11:00,      3.530000,     26.130000,          8.012745,                    99.023493,      0.977000
                1684851360,           2023-05-23 14:16:00,           2023-05-23 10:16:00,      3.530000,     26.375000,          7.992754,                    99.215527,      0.977000
                1684851660,           2023-05-23 14:21:00,           2023-05-23 10:21:00,      3.530000,     26.257000,          8.027743,                    99.437381,      0.977000
                1684851960,           2023-05-23 14:26:00,           2023-05-23 10:26:00,      3.530000,     26.231000,          8.041738,                    99.563861,      0.977000
                1684852260,           2023-05-23 14:31:00,           2023-05-23 10:31:00,      3.530000,     26.105000,          8.066729,                    99.645453,      0.977000
                1684852560,           2023-05-23 14:36:00,           2023-05-23 10:36:00,      3.530000,     25.860000,          8.106714,                    99.694561,      0.977000
                1684852860,           2023-05-23 14:41:00,           2023-05-23 10:41:00,      3.530000,     25.801000,          8.109712,                    99.624347,      0.977000
                1684853160,           2023-05-23 14:46:00,           2023-05-23 10:46:00,      3.530000,     25.607000,          8.139701,                    99.639522,      0.977000
                1684853460,           2023-05-23 14:51:00,           2023-05-23 10:51:00,      3.530000,     25.287000,          8.185682,                    99.617122,      0.977000
                1684853760,           2023-05-23 14:56:00,           2023-05-23 10:56:00,      3.530000,     24.925000,          8.240661,                    99.620629,      0.977000
                1684854060,           2023-05-23 15:01:00,           2023-05-23 11:01:00,      3.530000,     24.531000,          8.315633,                    99.797139,      0.978000
                1684854360,           2023-05-23 15:06:00,           2023-05-23 11:06:00,      3.530000,     24.229000,          8.345619,                    99.596401,      0.977000
                1684854660,           2023-05-23 15:11:00,           2023-05-23 11:11:00,      3.530000,     23.935000,          8.394600,                    99.632653,      0.977000
                1684854960,           2023-05-23 15:16:00,           2023-05-23 11:16:00,      3.530000,     23.717000,          8.423588,                    99.569174,      0.977000
                1684855260,           2023-05-23 15:21:00,           2023-05-23 11:21:00,      3.540000,     23.550000,          8.455576,                    99.634152,      0.977000
                1684855560,           2023-05-23 15:26:00,           2023-05-23 11:26:00,      3.540000,     23.474000,          8.454575,                    99.479943,      0.977000
                1684855860,           2023-05-23 15:31:00,           2023-05-23 11:31:00,      3.530000,     23.558000,          8.437581,                    99.437080,      0.977000
                1684856160,           2023-05-23 15:36:00,           2023-05-23 11:36:00,      3.530000,     23.700000,          8.416590,                    99.454714,      0.977000
                1684856460,           2023-05-23 15:41:00,           2023-05-23 11:41:00,      3.530000,     23.952000,          8.359611,                    99.248926,      0.977000
                1684856760,           2023-05-23 15:46:00,           2023-05-23 11:46:00,      3.530000,     24.245000,          8.312629,                    99.232261,      0.977000
                1684857060,           2023-05-23 15:51:00,           2023-05-23 11:51:00,      3.530000,     24.657000,          8.241656,                    99.140520,      0.977000
