MiniDOT Logger Concatenated Data File
Sensor:             7450-498906
Concatenation Date: 2023May25 14:53:26 EDT

DO concentration compensated for salinity: 0.05 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684839600,           2023-05-23 11:00:00,           2023-05-23 07:00:00,      3.450000,     21.072000,          8.677467,                    97.505684,      0.971000
                1684839900,           2023-05-23 11:05:00,           2023-05-23 07:05:00,      3.450000,     21.181000,          8.686466,                    97.814680,      0.971000
                1684840200,           2023-05-23 11:10:00,           2023-05-23 07:10:00,      3.450000,     20.864000,          8.725449,                    97.646635,      0.970000
                1684840500,           2023-05-23 11:15:00,           2023-05-23 07:15:00,      3.450000,     20.613000,          8.773430,                    97.700859,      0.970000
                1684840800,           2023-05-23 11:20:00,           2023-05-23 07:20:00,      3.450000,     20.705000,          8.756437,                    97.688163,      0.970000
                1684841100,           2023-05-23 11:25:00,           2023-05-23 07:25:00,      3.450000,     21.164000,          8.694463,                    97.872278,      0.971000
                1684841400,           2023-05-23 11:30:00,           2023-05-23 07:30:00,      3.450000,     21.682000,          8.604499,                    97.839257,      0.971000
                1684841700,           2023-05-23 11:35:00,           2023-05-23 07:35:00,      3.450000,     22.216000,          8.513536,                    97.806283,      0.971000
                1684842000,           2023-05-23 11:40:00,           2023-05-23 07:40:00,      3.450000,     22.508000,          8.460556,                    97.742676,      0.971000
                1684842300,           2023-05-23 11:45:00,           2023-05-23 07:45:00,      3.450000,     22.884000,          8.418575,                    97.956955,      0.972000
                1684842600,           2023-05-23 11:50:00,           2023-05-23 07:50:00,      3.450000,     23.276000,          8.352601,                    97.913725,      0.972000
                1684842900,           2023-05-23 11:55:00,           2023-05-23 07:55:00,      3.450000,     23.619000,          8.298622,                    97.911676,      0.972000
                1684843200,           2023-05-23 12:00:00,           2023-05-23 08:00:00,      3.440000,     23.920000,          8.258639,                    97.991471,      0.973000
                1684843500,           2023-05-23 12:05:00,           2023-05-23 08:05:00,      3.440000,     24.289000,          8.211659,                    98.107253,      0.973000
                1684843800,           2023-05-23 12:10:00,           2023-05-23 08:10:00,      3.450000,     24.590000,          8.185671,                    98.344950,      0.973000
                1684844100,           2023-05-23 12:15:00,           2023-05-23 08:15:00,      3.440000,     24.892000,          8.122694,                    98.134781,      0.973000
                1684844400,           2023-05-23 12:20:00,           2023-05-23 08:20:00,      3.440000,     25.211000,          8.075712,                    98.141803,      0.974000
                1684844700,           2023-05-23 12:25:00,           2023-05-23 08:25:00,      3.440000,     25.430000,          8.055722,                    98.292832,      0.974000
                1684845000,           2023-05-23 12:30:00,           2023-05-23 08:30:00,      3.440000,     25.699000,          8.023735,                    98.385047,      0.973000
                1684845300,           2023-05-23 12:35:00,           2023-05-23 08:35:00,      3.440000,     25.918000,          8.016740,                    98.692175,      0.974000
                1684845600,           2023-05-23 12:40:00,           2023-05-23 08:40:00,      3.440000,     25.985000,          8.018741,                    98.837108,      0.974000
                1684845900,           2023-05-23 12:45:00,           2023-05-23 08:45:00,      3.450000,     25.674000,          8.048727,                    98.646494,      0.972000
                1684846200,           2023-05-23 12:50:00,           2023-05-23 08:50:00,      3.440000,     25.094000,          8.137693,                    98.682568,      0.973000
                1684846500,           2023-05-23 12:55:00,           2023-05-23 08:55:00,      3.450000,     24.557000,          8.200666,                    98.464863,      0.972000
                1684846800,           2023-05-23 13:00:00,           2023-05-23 09:00:00,      3.440000,     24.088000,          8.270638,                    98.442428,      0.972000
