datetime,ph
5/22/23 19:54,3.69
5/22/23 19:59,3.68
5/22/23 20:04,3.68
5/22/23 20:09,
5/22/23 20:09,
5/22/23 20:09,3.68
5/22/23 20:14,3.68
5/22/23 20:19,3.68
5/22/23 20:24,3.68
5/22/23 20:29,3.68
5/22/23 20:34,3.68
5/22/23 20:39,3.68
5/22/23 20:44,3.68
5/22/23 20:49,3.68
5/22/23 20:54,3.68
5/22/23 20:59,3.68
5/22/23 21:04,3.68
5/22/23 21:09,3.68
5/22/23 21:14,3.68
5/22/23 21:19,3.68
5/22/23 21:24,3.68
5/22/23 21:29,3.68
5/22/23 21:34,3.68
5/22/23 21:39,3.68
5/22/23 21:44,3.68
5/22/23 21:49,3.68
5/22/23 21:54,3.68
5/22/23 21:59,3.68
5/22/23 22:04,3.68
5/22/23 22:09,3.68
5/22/23 22:14,3.68
5/22/23 22:19,3.68
5/22/23 22:24,3.68
5/22/23 22:29,3.68
5/22/23 22:34,3.68
5/22/23 22:39,3.68
5/22/23 22:44,3.68
5/22/23 22:49,3.68
5/22/23 22:54,3.68
5/22/23 22:59,3.67
5/22/23 23:04,3.67
5/22/23 23:09,3.67
5/22/23 23:14,3.67
5/22/23 23:19,3.67
5/22/23 23:24,3.67
5/22/23 23:29,3.67
5/22/23 23:34,3.67
5/22/23 23:39,3.67
5/22/23 23:44,3.67
5/22/23 23:49,3.67
5/22/23 23:54,3.67
5/22/23 23:59,3.67
5/23/23 0:04,3.67
5/23/23 0:09,3.67
5/23/23 0:14,3.67
5/23/23 0:19,3.67
5/23/23 0:24,3.67
5/23/23 0:29,3.67
5/23/23 0:34,3.67
5/23/23 0:39,3.67
5/23/23 0:44,3.67
5/23/23 0:49,3.67
5/23/23 0:54,3.67
5/23/23 0:59,3.67
5/23/23 1:04,3.67
5/23/23 1:09,3.67
5/23/23 1:14,3.67
5/23/23 1:19,3.67
5/23/23 1:24,3.67
5/23/23 1:29,3.67
5/23/23 1:34,3.67
5/23/23 1:39,3.67
5/23/23 1:44,3.67
5/23/23 1:49,3.67
5/23/23 1:54,3.67
5/23/23 1:59,3.67
5/23/23 2:04,3.67
5/23/23 2:09,3.67
5/23/23 2:14,3.67
5/23/23 2:19,3.67
5/23/23 2:24,3.67
5/23/23 2:29,3.67
5/23/23 2:34,3.67
5/23/23 2:39,3.67
5/23/23 2:44,3.67
5/23/23 2:49,3.67
5/23/23 2:54,3.67
5/23/23 2:59,3.67
5/23/23 3:04,3.67
5/23/23 3:09,3.67
5/23/23 3:14,3.67
5/23/23 3:19,3.67
5/23/23 3:24,3.67
5/23/23 3:29,3.67
5/23/23 3:34,3.67
5/23/23 3:39,3.67
5/23/23 3:44,3.67
5/23/23 3:49,3.67
5/23/23 3:54,3.67
5/23/23 3:59,3.67
5/23/23 4:04,3.67
5/23/23 4:09,3.67
5/23/23 4:14,3.67
5/23/23 4:19,3.67
5/23/23 4:24,3.67
5/23/23 4:29,3.67
5/23/23 4:34,3.67
5/23/23 4:39,3.67
5/23/23 4:44,3.67
5/23/23 4:49,3.67
5/23/23 4:54,3.67
5/23/23 4:59,3.67
5/23/23 5:04,3.67
5/23/23 5:09,3.67
5/23/23 5:14,3.67
5/23/23 5:19,3.67
5/23/23 5:24,3.67
5/23/23 5:29,3.67
5/23/23 5:34,3.67
5/23/23 5:39,3.67
5/23/23 5:44,3.67
5/23/23 5:49,3.67
5/23/23 5:54,3.67
5/23/23 5:59,3.67
5/23/23 6:04,3.67
5/23/23 6:09,3.67
5/23/23 6:14,3.67
5/23/23 6:19,3.67
5/23/23 6:24,3.67
5/23/23 6:29,3.67
5/23/23 6:34,3.67
5/23/23 6:39,3.67
5/23/23 6:44,3.67
5/23/23 6:49,3.67
5/23/23 6:54,3.67
5/23/23 6:59,3.67
5/23/23 7:04,3.67
5/23/23 7:09,3.67
5/23/23 7:14,3.67
5/23/23 7:19,3.67
5/23/23 7:24,3.67
5/23/23 7:29,3.67
5/23/23 7:34,3.66
5/23/23 7:39,3.66
5/23/23 7:44,3.66
5/23/23 7:49,3.66
5/23/23 7:54,3.66
5/23/23 7:59,3.66
5/23/23 8:04,3.66
5/23/23 8:09,3.66
5/23/23 8:14,3.66
5/23/23 8:19,3.66
5/23/23 8:24,3.66
5/23/23 8:29,3.66
5/23/23 8:34,3.66
5/23/23 8:39,3.67
5/23/23 8:44,3.67
5/23/23 8:49,3.67
5/23/23 8:54,3.67
5/23/23 8:59,3.67
5/23/23 9:04,3.67
5/23/23 9:09,3.67
5/23/23 9:14,3.67
5/23/23 9:19,3.67
5/23/23 9:24,3.67
5/23/23 9:29,3.67
5/23/23 9:34,3.67
5/23/23 9:39,3.67
5/23/23 9:44,3.67
5/23/23 9:49,3.67
5/23/23 9:54,3.68
5/23/23 9:59,3.67
5/23/23 10:04,3.68
5/23/23 10:09,3.69
5/23/23 10:14,3.69
5/23/23 10:19,3.69
5/23/23 10:24,3.69
5/23/23 10:29,3.69
5/23/23 10:34,3.69
5/23/23 10:39,3.69
5/23/23 10:44,3.7
5/23/23 10:49,3.71
5/23/23 10:54,3.71
5/23/23 10:59,3.71
5/23/23 11:04,3.72
5/23/23 11:09,3.72
5/23/23 11:14,3.72
5/23/23 11:19,3.72
5/23/23 11:24,3.73
5/23/23 11:29,3.73
5/23/23 11:34,3.8
5/23/23 11:39,3.81
5/23/23 11:44,3.81
5/23/23 11:49,7.28
5/23/23 11:54,7.35
5/23/23 11:59,7.39
5/23/23 12:04,7.4
5/23/23 12:09,7.41
5/23/23 12:14,7.42
5/23/23 12:19,7.43
5/23/23 12:24,7.44
5/23/23 12:29,7.45
5/23/23 12:34,7.45
5/23/23 12:39,7.44
5/23/23 12:44,7.45
5/23/23 12:49,7.45
5/23/23 12:54,7.44
5/23/23 12:59,7.45
5/23/23 13:04,7.46
5/23/23 13:09,7.49
5/23/23 13:14,7.5
5/23/23 13:19,7.49
5/23/23 13:24,7.5
5/23/23 13:29,7.48
5/23/23 13:34,7.49
5/23/23 13:39,7.5
5/23/23 13:44,7.5
5/23/23 13:49,7.5
5/23/23 13:54,7.49
5/23/23 13:59,7.48
5/23/23 14:04,7.47
5/23/23 14:09,7.47
5/23/23 14:14,7.45
5/23/23 14:19,7.44
5/23/23 14:24,7.45
5/23/23 14:29,7.45
5/23/23 14:34,7.46
5/23/23 14:39,7.47
5/23/23 14:44,7.46
5/23/23 14:49,7.46
5/23/23 14:54,7.47
5/23/23 14:59,7.48
5/23/23 15:04,7.49
5/23/23 15:09,7.49
5/23/23 15:14,7.49
5/23/23 15:19,7.51
5/23/23 15:24,7.51
5/23/23 15:29,7.51
5/23/23 15:34,7.5
5/23/23 15:39,7.5
5/23/23 15:44,7.49
5/23/23 15:49,7.49
5/23/23 15:54,7.5
5/23/23 15:59,7.49
5/23/23 16:04,7.49
5/23/23 16:09,7.5
5/23/23 16:14,7.5
5/23/23 16:19,7.51
5/23/23 16:24,7.53
5/23/23 16:29,7.52
5/23/23 16:34,7.51
5/23/23 16:39,7.51
5/23/23 16:44,7.51
5/23/23 16:49,7.52
5/23/23 16:54,7.51
5/23/23 16:59,7.5
5/23/23 17:04,7.51
5/23/23 17:09,7.52
5/23/23 17:14,7.5
5/23/23 17:19,7.5
5/23/23 17:24,7.5
5/23/23 17:29,7.49
5/23/23 17:34,7.34
5/23/23 17:39,7.34
5/23/23 17:44,7.32
5/23/23 17:49,7.31
5/23/23 17:54,7.3
5/23/23 17:59,7.29
5/23/23 18:04,7.28
5/23/23 18:09,7.27
5/23/23 18:14,7.27
5/23/23 18:19,7.27
5/23/23 18:24,7.26
5/23/23 18:29,7.26
5/23/23 18:34,7.26
5/23/23 18:39,7.25
5/23/23 18:44,7.24
5/23/23 18:49,7.24
5/23/23 18:54,7.23
5/23/23 18:59,7.23
5/23/23 19:04,7.23
5/23/23 19:09,7.25
5/23/23 19:14,7.23
5/23/23 19:19,7.15
5/23/23 19:24,7.05
5/23/23 19:29,6.86
5/23/23 19:34,6.7
5/23/23 19:39,6.66
5/23/23 19:44,6.68
5/23/23 19:49,6.7
5/23/23 19:54,6.71
5/23/23 19:59,6.73
5/23/23 20:04,6.73
5/23/23 20:09,6.73
5/23/23 20:14,6.74
5/23/23 20:19,6.73
5/23/23 20:24,6.74
5/23/23 20:29,6.74
5/23/23 20:34,6.74
5/23/23 20:39,6.74
5/23/23 20:44,6.74
5/23/23 20:49,6.74
5/23/23 20:54,6.75
5/23/23 20:59,6.75
5/23/23 21:04,6.75
5/23/23 21:09,6.75
5/23/23 21:14,6.75
5/23/23 21:19,6.75
5/23/23 21:24,6.75
5/23/23 21:29,6.75
5/23/23 21:34,6.75
5/23/23 21:39,6.75
5/23/23 21:44,6.75
5/23/23 21:49,6.75
5/23/23 21:54,6.75
5/23/23 21:59,6.76
5/23/23 22:04,6.76
5/23/23 22:09,6.76
5/23/23 22:14,6.76
5/23/23 22:19,6.76
5/23/23 22:24,6.76
5/23/23 22:29,6.76
5/23/23 22:34,6.76
5/23/23 22:39,6.76
5/23/23 22:44,6.76
5/23/23 22:49,6.76
5/23/23 22:54,6.76
5/23/23 22:59,6.76
5/23/23 23:04,6.76
5/23/23 23:09,6.76
5/23/23 23:14,6.75
5/23/23 23:19,6.75
5/23/23 23:24,6.75
5/23/23 23:29,6.75
5/23/23 23:34,6.75
5/23/23 23:39,6.75
5/23/23 23:44,6.74
5/23/23 23:49,6.74
5/23/23 23:54,6.74
5/23/23 23:59,6.74
5/24/23 0:04,6.74
5/24/23 0:09,6.74
5/24/23 0:14,6.74
5/24/23 0:19,6.73
5/24/23 0:24,6.73
5/24/23 0:29,6.73
5/24/23 0:34,6.73
5/24/23 0:39,6.73
5/24/23 0:44,6.73
5/24/23 0:49,6.73
5/24/23 0:54,6.73
5/24/23 0:59,6.73
5/24/23 1:04,6.73
5/24/23 1:09,6.73
5/24/23 1:14,6.72
5/24/23 1:19,6.72
5/24/23 1:24,6.72
5/24/23 1:29,6.72
5/24/23 1:34,6.72
5/24/23 1:39,6.72
5/24/23 1:44,6.72
5/24/23 1:49,6.72
5/24/23 1:54,6.72
5/24/23 1:59,6.72
5/24/23 2:04,6.72
5/24/23 2:09,6.72
5/24/23 2:14,6.72
5/24/23 2:19,6.72
5/24/23 2:24,6.72
5/24/23 2:29,6.72
5/24/23 2:34,6.72
5/24/23 2:39,6.72
5/24/23 2:44,6.72
5/24/23 2:49,6.72
5/24/23 2:54,6.72
5/24/23 2:59,6.72
5/24/23 3:04,6.72
5/24/23 3:09,6.72
5/24/23 3:14,6.72
5/24/23 3:19,6.72
5/24/23 3:24,6.72
5/24/23 3:29,6.72
5/24/23 3:34,6.72
5/24/23 3:39,6.72
5/24/23 3:44,6.71
5/24/23 3:49,6.71
5/24/23 3:54,6.71
5/24/23 3:59,6.71
5/24/23 4:04,6.71
5/24/23 4:09,6.71
5/24/23 4:14,6.71
5/24/23 4:19,6.71
5/24/23 4:24,6.71
5/24/23 4:29,6.71
5/24/23 4:34,6.71
5/24/23 4:39,6.71
5/24/23 4:44,6.71
5/24/23 4:49,6.71
5/24/23 4:54,6.71
5/24/23 4:59,6.71
5/24/23 5:04,6.71
5/24/23 5:09,6.71
5/24/23 5:14,6.71
5/24/23 5:19,6.71
5/24/23 5:24,6.71
5/24/23 5:29,6.71
5/24/23 5:34,6.7
5/24/23 5:39,6.7
5/24/23 5:44,6.7
5/24/23 5:49,6.7
5/24/23 5:54,6.7
5/24/23 5:59,6.7
5/24/23 6:04,6.7
5/24/23 6:09,6.7
5/24/23 6:14,6.7
5/24/23 6:19,6.7
5/24/23 6:24,6.7
5/24/23 6:29,6.7
5/24/23 6:34,6.7
5/24/23 6:39,6.7
5/24/23 6:44,6.7
5/24/23 6:49,6.7
5/24/23 6:54,6.7
5/24/23 6:59,6.7
5/24/23 7:04,6.7
5/24/23 7:09,6.7
5/24/23 7:14,6.7
5/24/23 7:19,6.7
5/24/23 7:24,6.7
5/24/23 7:29,6.7
5/24/23 7:34,6.7
5/24/23 7:39,6.7
5/24/23 7:44,6.7
5/24/23 7:49,6.7
5/24/23 7:54,6.7
5/24/23 7:59,6.7
5/24/23 8:04,6.69
5/24/23 8:09,6.7
5/24/23 8:14,3.61
5/24/23 8:19,3.61
5/24/23 8:20,
5/24/23 8:21,
5/24/23 8:22,
