datetime,ph
5/18/23 11:04,
5/18/23 12:00,3.79
5/18/23 12:05,3.79
5/18/23 12:10,3.78
5/18/23 12:15,3.79
5/18/23 12:20,3.79
5/18/23 12:25,3.79
5/18/23 12:30,3.78
5/18/23 12:35,3.78
5/18/23 12:40,3.78
5/18/23 12:45,3.78
5/18/23 12:50,3.78
5/18/23 12:55,3.78
5/18/23 13:00,3.78
5/18/23 13:05,3.78
5/18/23 13:10,3.78
5/18/23 13:15,3.78
5/18/23 13:20,3.78
5/18/23 13:25,3.78
5/18/23 13:30,3.77
5/18/23 13:35,3.77
5/18/23 13:40,3.77
5/18/23 13:45,3.77
5/18/23 13:50,3.78
5/18/23 13:55,3.78
5/18/23 14:00,3.78
5/18/23 14:05,3.79
5/18/23 14:10,3.8
5/18/23 14:15,3.81
5/18/23 14:20,3.81
5/18/23 14:25,3.81
5/18/23 14:30,3.83
5/18/23 14:35,3.86
5/18/23 14:40,3.87
5/18/23 14:45,3.88
5/18/23 14:50,3.87
5/18/23 14:55,3.86
5/18/23 15:00,3.84
5/18/23 15:05,3.82
5/18/23 15:10,8.57
5/18/23 15:15,8.57
5/18/23 15:20,8.58
5/18/23 15:25,8.58
5/18/23 15:30,8.59
5/18/23 15:35,8.6
5/18/23 15:40,8.6
5/18/23 15:45,8.6
5/18/23 15:50,8.61
5/18/23 15:55,8.51
5/18/23 16:00,8.4
5/18/23 16:05,8.28
5/18/23 16:10,8.27
5/18/23 16:15,8.28
5/18/23 16:20,8.33
5/18/23 16:25,8.27
5/18/23 16:30,8.2
5/18/23 16:35,8.16
5/18/23 16:40,8.15
5/18/23 16:45,8.14
5/18/23 16:50,8.1
5/18/23 16:55,8.07
5/18/23 17:00,3.69
5/18/23 17:01,
5/18/23 17:02,
5/18/23 17:03,
