datetime,ph
5/18/23 12:00,3.73
5/18/23 12:05,3.73
5/18/23 12:10,3.73
5/18/23 12:15,3.73
5/18/23 12:20,3.73
5/18/23 12:25,3.73
5/18/23 12:30,3.73
5/18/23 12:35,3.73
5/18/23 12:40,3.72
5/18/23 12:45,3.73
5/18/23 12:50,3.73
5/18/23 12:55,3.73
5/18/23 13:00,3.73
5/18/23 13:05,3.73
5/18/23 13:10,3.73
5/18/23 13:15,3.73
5/18/23 13:20,3.73
5/18/23 13:25,3.73
5/18/23 13:30,3.73
5/18/23 13:35,3.73
5/18/23 13:40,3.73
5/18/23 13:45,3.73
5/18/23 13:50,3.72
5/18/23 13:55,3.73
5/18/23 14:00,3.73
5/18/23 14:05,3.72
5/18/23 14:10,3.73
5/18/23 14:15,3.73
5/18/23 14:20,3.74
5/18/23 14:25,3.74
5/18/23 14:30,3.9
5/18/23 14:35,8.46
5/18/23 14:40,8.49
5/18/23 14:45,8.48
5/18/23 14:50,8.5
5/18/23 14:55,8.51
5/18/23 15:00,8.51
5/18/23 15:05,8.51
5/18/23 15:10,8.52
5/18/23 15:15,8.52
5/18/23 15:20,8.52
5/18/23 15:25,8.52
5/18/23 15:30,8.52
5/18/23 15:35,8.52
5/18/23 15:40,8.52
5/18/23 15:45,8.47
5/18/23 15:50,8.53
5/18/23 15:55,8.53
5/18/23 16:00,8.49
5/18/23 16:05,7.37
5/18/23 16:10,7.32
5/18/23 16:15,7.32
5/18/23 16:20,7.31
5/18/23 16:25,7.28
5/18/23 16:30,7.28
5/18/23 16:35,7.28
5/18/23 16:40,7.29
5/18/23 16:45,7.29
5/18/23 16:50,7.26
5/18/23 16:55,7.26
5/18/23 17:00,3.61
5/18/23 17:01,
5/18/23 17:01,
5/18/23 17:02,
