datetime,cond_us_cm,salinity_ppt
6/2/23 12:05,30193.8,18.7044
6/2/23 12:10,30035.7,18.5967
6/2/23 12:15,29874.4,18.4869
6/2/23 12:20,29740.4,18.3957
6/2/23 12:25,29613.1,18.3092
6/2/23 12:30,29518.8,18.245
6/2/23 12:35,29373.2,18.1461
6/2/23 12:40,29290,18.0896
6/2/23 12:45,29154.1,17.9974
6/2/23 12:50,28992.1,17.8875
6/2/23 12:55,28834,17.7803
6/2/23 13:00,28745.5,17.7204
6/2/23 13:05,28583.7,17.6109
6/2/23 13:10,29327.3,18.1149
6/2/23 13:15,29212.6,18.0371
6/2/23 13:20,29106.1,17.9648
6/2/23 13:25,28988.7,17.8852
6/2/23 13:30,28877.7,17.8099
6/2/23 13:35,28730.4,17.7102
6/2/23 13:40,28657.4,17.6607
6/2/23 13:45,28532.9,17.5765
6/2/23 13:50,28504.5,17.5573
6/2/23 13:55,28402.1,17.488
6/2/23 14:00,28125.1,17.3008
6/2/23 14:05,28024.6,17.2329
6/2/23 14:10,27893.1,17.1442
6/2/23 14:15,27746.2,17.0451
6/2/23 14:20,27642.1,16.9749
6/2/23 14:25,27607.3,16.9514
6/2/23 14:30,27451.6,16.8466
6/2/23 14:35,27310.2,16.7513
6/2/23 14:40,27157,16.6483
6/2/23 14:45,27030.9,16.5635
6/2/23 14:50,26918.6,16.488
6/2/23 14:55,26624.1,16.2903
6/2/23 15:00,26713.4,16.3502
6/2/23 15:05,26600.3,16.2744
6/2/23 15:10,26513.2,16.2159
6/2/23 15:15,26726.8,16.3592
6/2/23 15:20,26656,16.3117
6/2/23 15:25,26568.3,16.2529
6/2/23 15:30,26542.4,16.2355
6/2/23 15:35,26487.6,16.1988
6/2/23 15:40,26460.6,16.1807
6/2/23 15:45,26400.8,16.1405
6/2/23 15:50,26369.9,16.1198
6/2/23 15:55,26332.1,16.0945
6/2/23 16:00,26278.4,16.0585
6/2/23 16:05,26271.6,16.054
6/2/23 16:10,26256,16.0436
6/2/23 16:15,27615.3,16.9568
6/2/23 16:20,28768.2,17.7357
6/2/23 16:25,28716.5,17.7008
6/2/23 16:30,28696.7,17.6874
6/2/23 16:35,28688.5,17.6818
6/2/23 16:40,28643.1,17.651
