MiniDOT Logger Concatenated Data File
Sensor:             7450-471033
Concatenation Date: 2023Jun04 12:43:03 EDT

DO concentration compensated for salinity: 19.37 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1685702820,           2023-06-02 10:47:00,           2023-06-02 06:47:00,      3.530000,     20.721000,          7.793724,                    97.406496,      0.951000
                1685703120,           2023-06-02 10:52:00,           2023-06-02 06:52:00,      3.530000,     20.805000,          7.790710,                    97.522555,      0.951000
                1685703420,           2023-06-02 10:57:00,           2023-06-02 06:57:00,      3.530000,     20.880000,          7.785849,                    97.598920,      0.952000
                1685703720,           2023-06-02 11:02:00,           2023-06-02 07:02:00,      3.530000,     20.922000,          7.763806,                    97.399238,      0.951000
                1685704020,           2023-06-02 11:07:00,           2023-06-02 07:07:00,      3.530000,     20.897000,          7.773462,                    97.474703,      0.951000
                1685704320,           2023-06-02 11:12:00,           2023-06-02 07:12:00,      3.530000,     20.863000,          7.783951,                    97.544034,      0.952000
                1685704620,           2023-06-02 11:17:00,           2023-06-02 07:17:00,      3.530000,     20.863000,          7.773238,                    97.409783,      0.951000
                1685704920,           2023-06-02 11:22:00,           2023-06-02 07:22:00,      3.530000,     20.830000,          7.775699,                    97.380323,      0.951000
                1685705220,           2023-06-02 11:27:00,           2023-06-02 07:27:00,      3.530000,     20.771000,          7.784236,                    97.379338,      0.951000
                1685705520,           2023-06-02 11:32:00,           2023-06-02 07:32:00,      3.530000,     20.721000,          7.797295,                    97.451122,      0.951000
                1685705820,           2023-06-02 11:37:00,           2023-06-02 07:37:00,      3.530000,     20.671000,          7.808567,                    97.500305,      0.952000
                1685706120,           2023-06-02 11:42:00,           2023-06-02 07:42:00,      3.530000,     20.680000,          7.801486,                    97.428377,      0.951000
                1685706420,           2023-06-02 11:47:00,           2023-06-02 07:47:00,      3.530000,     20.738000,          7.801871,                    97.539467,      0.952000
                1685706720,           2023-06-02 11:52:00,           2023-06-02 07:52:00,      3.530000,     20.805000,          7.808564,                    97.746051,      0.952000
                1685707020,           2023-06-02 11:57:00,           2023-06-02 07:57:00,      3.530000,     20.797000,          7.805833,                    97.697191,      0.951000
                1685707320,           2023-06-02 12:02:00,           2023-06-02 08:02:00,      3.530000,     20.788000,          7.803988,                    97.657597,      0.951000
                1685707620,           2023-06-02 12:07:00,           2023-06-02 08:07:00,      3.530000,     20.763000,          7.805608,                    97.632021,      0.950000
                1685707920,           2023-06-02 12:12:00,           2023-06-02 08:12:00,      3.530000,     20.755000,          7.826086,                    97.873457,      0.952000
                1685708220,           2023-06-02 12:17:00,           2023-06-02 08:17:00,      3.530000,     20.738000,          7.817939,                    97.740350,      0.951000
                1685708520,           2023-06-02 12:22:00,           2023-06-02 08:22:00,      3.530000,     20.746000,          7.831382,                    97.923134,      0.952000
                1685708820,           2023-06-02 12:27:00,           2023-06-02 08:27:00,      3.530000,     20.738000,          7.829544,                    97.885431,      0.951000
                1685709120,           2023-06-02 12:32:00,           2023-06-02 08:32:00,      3.530000,     20.763000,          7.832388,                    97.966989,      0.951000
                1685709420,           2023-06-02 12:37:00,           2023-06-02 08:37:00,      3.530000,     20.805000,          7.829989,                    98.014246,      0.951000
                1685709720,           2023-06-02 12:42:00,           2023-06-02 08:42:00,      3.520000,     20.914000,          7.820000,                    98.089499,      0.951000
                1685710020,           2023-06-02 12:47:00,           2023-06-02 08:47:00,      3.530000,     21.089000,          7.807764,                    98.257243,      0.952000
                1685710320,           2023-06-02 12:52:00,           2023-06-02 08:52:00,      3.530000,     21.315000,          7.771740,                    98.217107,      0.951000
                1685710620,           2023-06-02 12:57:00,           2023-06-02 08:57:00,      3.530000,     21.599000,          7.738752,                    98.317680,      0.951000
                1685710920,           2023-06-02 13:02:00,           2023-06-02 09:02:00,      3.520000,     22.000000,          7.694868,                    98.487497,      0.951000
                1685711220,           2023-06-02 13:07:00,           2023-06-02 09:07:00,      3.530000,     22.409000,          7.642046,                    98.549166,      0.950000
                1685711520,           2023-06-02 13:12:00,           2023-06-02 09:12:00,      3.520000,     22.827000,          7.591905,                    98.652639,      0.950000
                1685711820,           2023-06-02 13:17:00,           2023-06-02 09:17:00,      3.520000,     23.262000,          7.536444,                    98.707956,      0.949000
                1685712120,           2023-06-02 13:22:00,           2023-06-02 09:22:00,      3.520000,     23.656000,          7.480674,                    98.676171,      0.949000
                1685712420,           2023-06-02 13:27:00,           2023-06-02 09:27:00,      3.520000,     24.041000,          7.424796,                    98.617622,      0.948000
                1685712720,           2023-06-02 13:32:00,           2023-06-02 09:32:00,      3.520000,     24.326000,          7.397828,                    98.760476,      0.949000
                1685713020,           2023-06-02 13:37:00,           2023-06-02 09:37:00,      3.530000,     24.410000,          7.380412,                    98.675412,      0.949000
                1685713320,           2023-06-02 13:42:00,           2023-06-02 09:42:00,      3.520000,     24.368000,          7.390911,                    98.741953,      0.949000
                1685713620,           2023-06-02 13:47:00,           2023-06-02 09:47:00,      3.520000,     24.335000,          7.383555,                    98.585745,      0.949000
                1685713920,           2023-06-02 13:52:00,           2023-06-02 09:52:00,      3.520000,     24.284000,          7.396686,                    98.671377,      0.949000
                1685714220,           2023-06-02 13:57:00,           2023-06-02 09:57:00,      3.520000,     24.268000,          7.411812,                    98.844958,      0.950000
                1685714520,           2023-06-02 14:02:00,           2023-06-02 10:02:00,      3.520000,     24.310000,          7.391467,                    98.647441,      0.949000
                1685714820,           2023-06-02 14:07:00,           2023-06-02 10:07:00,      3.530000,     24.436000,          7.379669,                    98.711106,      0.950000
                1685715120,           2023-06-02 14:12:00,           2023-06-02 10:12:00,      3.530000,     24.410000,          7.371459,                    98.555704,      0.949000
                1685715420,           2023-06-02 14:17:00,           2023-06-02 10:17:00,      3.530000,     24.427000,          7.367081,                    98.526962,      0.949000
                1685715720,           2023-06-02 14:22:00,           2023-06-02 10:22:00,      3.520000,     24.813000,          7.320956,                    98.582717,      0.949000
                1685716020,           2023-06-02 14:27:00,           2023-06-02 10:27:00,      3.520000,     25.478000,          7.250376,                    98.782134,      0.948000
                1685716320,           2023-06-02 14:32:00,           2023-06-02 10:32:00,      3.520000,     26.186000,          7.182597,                    99.074605,      0.949000
                1685716620,           2023-06-02 14:37:00,           2023-06-02 10:37:00,      3.520000,     26.999000,          7.094617,                    99.244316,      0.948000
                1685716920,           2023-06-02 14:42:00,           2023-06-02 10:42:00,      3.520000,     27.858000,          6.999514,                    99.360909,      0.947000
                1685717220,           2023-06-02 14:47:00,           2023-06-02 10:47:00,      3.520000,     28.669000,          6.890498,                    99.163120,      0.945000
                1685717520,           2023-06-02 14:52:00,           2023-06-02 10:52:00,      3.520000,     29.433000,          6.817008,                    99.368042,      0.945000
                1685717820,           2023-06-02 14:57:00,           2023-06-02 10:57:00,      3.520000,     30.105000,          6.747437,                    99.456967,      0.945000
                1685718120,           2023-06-02 15:02:00,           2023-06-02 11:02:00,      3.510000,     30.668000,          6.668253,                    99.205945,      0.943000
                1685718420,           2023-06-02 15:07:00,           2023-06-02 11:07:00,      3.520000,     31.207000,          6.627562,                    99.474884,      0.944000
                1685718720,           2023-06-02 15:12:00,           2023-06-02 11:12:00,      3.510000,     31.809000,          6.550188,                    99.281745,      0.943000
                1685719020,           2023-06-02 15:17:00,           2023-06-02 11:17:00,      3.520000,     32.203000,          6.503323,                    99.202350,      0.941000
                1685719320,           2023-06-02 15:22:00,           2023-06-02 11:22:00,      3.510000,     31.897000,          6.573090,                    99.771176,      0.944000
                1685719620,           2023-06-02 15:27:00,           2023-06-02 11:27:00,      3.520000,     31.731000,          6.597549,                    99.873048,      0.944000
                1685719920,           2023-06-02 15:32:00,           2023-06-02 11:32:00,      3.520000,     31.678000,          6.615312,                   100.055765,      0.945000
                1685720220,           2023-06-02 15:37:00,           2023-06-02 11:37:00,      3.520000,     31.739000,          6.619190,                   100.213667,      0.945000
