MiniDOT Logger Concatenated Data File
Sensor:             7450-562111
Concatenation Date: 2023Jun04 12:45:45 EDT

DO concentration compensated for salinity: 19.37 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1685703000,           2023-06-02 10:50:00,           2023-06-02 06:50:00,      3.480000,     20.700000,          7.815008,                    97.633958,      0.946000
                1685703300,           2023-06-02 10:55:00,           2023-06-02 06:55:00,      3.480000,     20.843000,          7.793640,                    97.628812,      0.946000
                1685703600,           2023-06-02 11:00:00,           2023-06-02 07:00:00,      3.480000,     20.893000,          7.786828,                    97.634977,      0.945000
                1685703900,           2023-06-02 11:05:00,           2023-06-02 07:05:00,      3.480000,     20.893000,          7.779686,                    97.545424,      0.945000
                1685704200,           2023-06-02 11:10:00,           2023-06-02 07:10:00,      3.470000,     20.859000,          7.791960,                    97.637066,      0.946000
                1685704500,           2023-06-02 11:15:00,           2023-06-02 07:15:00,      3.480000,     20.851000,          7.787443,                    97.565831,      0.945000
                1685704800,           2023-06-02 11:20:00,           2023-06-02 07:20:00,      3.480000,     20.826000,          7.800669,                    97.685707,      0.946000
                1685705100,           2023-06-02 11:25:00,           2023-06-02 07:25:00,      3.480000,     20.734000,          7.813449,                    97.676875,      0.946000
                1685705400,           2023-06-02 11:30:00,           2023-06-02 07:30:00,      3.480000,     20.650000,          7.819139,                    97.593744,      0.945000
                1685705700,           2023-06-02 11:35:00,           2023-06-02 07:35:00,      3.480000,     20.541000,          7.836262,                    97.606926,      0.945000
                1685706000,           2023-06-02 11:40:00,           2023-06-02 07:40:00,      3.480000,     20.500000,          7.835988,                    97.528095,      0.946000
                1685706300,           2023-06-02 11:45:00,           2023-06-02 07:45:00,      3.480000,     20.525000,          7.831693,                    97.520594,      0.945000
