MiniDOT Logger Concatenated Data File
Sensor:             7450-516531
Concatenation Date: 2023Jun04 12:49:13 EDT

DO concentration compensated for salinity: 19.37 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1685703060,           2023-06-02 10:51:00,           2023-06-02 06:51:00,      3.510000,     21.052000,          7.891452,                    99.241767,      0.922000
                1685703360,           2023-06-02 10:56:00,           2023-06-02 06:56:00,      3.510000,     21.102000,          7.893571,                    99.361228,      0.922000
                1685703660,           2023-06-02 11:01:00,           2023-06-02 07:01:00,      3.500000,     21.077000,          7.894298,                    99.323958,      0.922000
                1685703960,           2023-06-02 11:06:00,           2023-06-02 07:06:00,      3.500000,     21.027000,          7.910036,                    99.428977,      0.922000
                1685704260,           2023-06-02 11:11:00,           2023-06-02 07:11:00,      3.500000,     20.985000,          7.917791,                    99.448270,      0.922000
                1685704560,           2023-06-02 11:16:00,           2023-06-02 07:16:00,      3.500000,     20.926000,          7.920074,                    99.367102,      0.922000
                1685704860,           2023-06-02 11:21:00,           2023-06-02 07:21:00,      3.500000,     20.901000,          7.927048,                    99.408029,      0.922000
                1685705160,           2023-06-02 11:26:00,           2023-06-02 07:26:00,      3.500000,     20.801000,          7.959406,                    99.626775,      0.923000
                1685705460,           2023-06-02 11:31:00,           2023-06-02 07:31:00,      3.510000,     20.726000,          7.961576,                    99.513672,      0.922000
                1685705760,           2023-06-02 11:36:00,           2023-06-02 07:36:00,      3.510000,     20.634000,          7.976127,                    99.523207,      0.922000
                1685706060,           2023-06-02 11:41:00,           2023-06-02 07:41:00,      3.510000,     20.634000,          7.963631,                    99.367284,      0.922000
                1685706360,           2023-06-02 11:46:00,           2023-06-02 07:46:00,      3.500000,     20.751000,          7.946570,                    99.372772,      0.922000
                1685706660,           2023-06-02 11:51:00,           2023-06-02 07:51:00,      3.500000,     21.060000,          7.923650,                    99.661589,      0.922000
                1685706960,           2023-06-02 11:56:00,           2023-06-02 07:56:00,      3.510000,     21.236000,          7.906966,                    99.779062,      0.923000
                1685707260,           2023-06-02 12:01:00,           2023-06-02 08:01:00,      3.510000,     21.194000,          7.913830,                    99.787487,      0.923000
                1685707560,           2023-06-02 12:06:00,           2023-06-02 08:06:00,      3.500000,     21.102000,          7.926610,                    99.777106,      0.922000
                1685707860,           2023-06-02 12:11:00,           2023-06-02 08:11:00,      3.500000,     21.044000,          7.938722,                    99.821295,      0.923000
                1685708160,           2023-06-02 12:16:00,           2023-06-02 08:16:00,      3.500000,     20.977000,          7.947201,                    99.802720,      0.922000
                1685708460,           2023-06-02 12:21:00,           2023-06-02 08:21:00,      3.500000,     20.960000,          7.950658,                    99.814360,      0.922000
                1685708760,           2023-06-02 12:26:00,           2023-06-02 08:26:00,      3.500000,     21.018000,          7.941226,                    99.804236,      0.922000
                1685709060,           2023-06-02 12:31:00,           2023-06-02 08:31:00,      3.510000,     21.244000,          7.907019,                    99.794617,      0.921000
                1685709360,           2023-06-02 12:36:00,           2023-06-02 08:36:00,      3.500000,     21.629000,          7.858652,                    99.896507,      0.921000
                1685709660,           2023-06-02 12:41:00,           2023-06-02 08:41:00,      3.500000,     22.181000,          7.772883,                    99.817969,      0.920000
                1685709960,           2023-06-02 12:46:00,           2023-06-02 08:46:00,      3.500000,     22.934000,          7.661428,                    99.749986,      0.920000
                1685710260,           2023-06-02 12:51:00,           2023-06-02 08:51:00,      3.500000,     23.671000,          7.573826,                    99.931873,      0.920000
                1685710560,           2023-06-02 12:56:00,           2023-06-02 08:56:00,      3.500000,     24.493000,          7.461484,                    99.906645,      0.920000
                1685710860,           2023-06-02 13:01:00,           2023-06-02 09:01:00,      3.500000,     25.443000,          7.346060,                   100.024383,      0.920000
                1685711160,           2023-06-02 13:06:00,           2023-06-02 09:06:00,      3.490000,     26.278000,          7.241384,                   100.045033,      0.920000
                1685711460,           2023-06-02 13:11:00,           2023-06-02 09:11:00,      3.500000,     27.082000,          7.161452,                   100.322062,      0.921000
                1685711760,           2023-06-02 13:16:00,           2023-06-02 09:16:00,      3.500000,     27.719000,          7.094840,                   100.476404,      0.920000
                1685712060,           2023-06-02 13:21:00,           2023-06-02 09:21:00,      3.490000,     28.196000,          7.044358,                   100.571972,      0.920000
                1685712360,           2023-06-02 13:26:00,           2023-06-02 09:26:00,      3.500000,     28.777000,          6.981769,                   100.659139,      0.920000
                1685712660,           2023-06-02 13:31:00,           2023-06-02 09:31:00,      3.490000,     29.155000,          6.953127,                   100.883063,      0.920000
                1685712960,           2023-06-02 13:36:00,           2023-06-02 09:36:00,      3.490000,     29.137000,          6.965617,                   101.033867,      0.920000
                1685713260,           2023-06-02 13:41:00,           2023-06-02 09:41:00,      3.490000,     28.615000,          7.044720,                   101.290541,      0.920000
                1685713560,           2023-06-02 13:46:00,           2023-06-02 09:46:00,      3.490000,     28.444000,          7.068989,                   101.347160,      0.920000
                1685713860,           2023-06-02 13:51:00,           2023-06-02 09:51:00,      3.490000,     28.478000,          7.069164,                   101.407782,      0.919000
