MiniDOT Logger Concatenated Data File
Sensor:             7450-233512
Concatenation Date: 2023Jun04 12:41:43 EDT

DO concentration compensated for salinity: 19.37 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1685703120,           2023-06-02 10:52:00,           2023-06-02 06:52:00,      3.530000,     21.205000,          7.740658,                    97.623953,      0.948000
                1685703420,           2023-06-02 10:57:00,           2023-06-02 06:57:00,      3.530000,     21.213000,          7.755892,                    97.830673,      0.949000
                1685703720,           2023-06-02 11:02:00,           2023-06-02 07:02:00,      3.530000,     21.146000,          7.766170,                    97.837911,      0.949000
                1685704020,           2023-06-02 11:07:00,           2023-06-02 07:07:00,      3.530000,     21.037000,          7.776169,                    97.764562,      0.948000
                1685704320,           2023-06-02 11:12:00,           2023-06-02 07:12:00,      3.530000,     21.004000,          7.784881,                    97.813687,      0.948000
                1685704620,           2023-06-02 11:17:00,           2023-06-02 07:17:00,      3.530000,     20.945000,          7.790742,                    97.779274,      0.948000
                1685704920,           2023-06-02 11:22:00,           2023-06-02 07:22:00,      3.530000,     20.861000,          7.811614,                    97.887010,      0.949000
                1685705220,           2023-06-02 11:27:00,           2023-06-02 07:27:00,      3.530000,     20.719000,          7.842807,                    98.016247,      0.949000
                1685705520,           2023-06-02 11:32:00,           2023-06-02 07:32:00,      3.530000,     20.619000,          7.859991,                    98.046416,      0.949000
                1685705820,           2023-06-02 11:37:00,           2023-06-02 07:37:00,      3.530000,     20.527000,          7.877224,                    98.091246,      0.949000
                1685706120,           2023-06-02 11:42:00,           2023-06-02 07:42:00,      3.530000,     20.468000,          7.876827,                    97.977223,      0.949000
                1685706420,           2023-06-02 11:47:00,           2023-06-02 07:47:00,      3.530000,     20.468000,          7.883966,                    98.066031,      0.949000
                1685706720,           2023-06-02 11:52:00,           2023-06-02 07:52:00,      3.530000,     20.476000,          7.879558,                    98.025990,      0.948000
                1685707020,           2023-06-02 11:57:00,           2023-06-02 07:57:00,      3.530000,     20.443000,          7.905216,                    98.283973,      0.949000
                1685707320,           2023-06-02 12:02:00,           2023-06-02 08:02:00,      3.530000,     20.451000,          7.895453,                    98.177416,      0.948000
                1685707620,           2023-06-02 12:07:00,           2023-06-02 08:07:00,      3.530000,     20.443000,          7.907894,                    98.317259,      0.949000
                1685707920,           2023-06-02 12:12:00,           2023-06-02 08:12:00,      3.530000,     20.418000,          7.906832,                    98.257676,      0.949000
                1685708220,           2023-06-02 12:17:00,           2023-06-02 08:17:00,      3.530000,     20.468000,          7.904493,                    98.321353,      0.949000
                1685708520,           2023-06-02 12:22:00,           2023-06-02 08:22:00,      3.530000,     20.535000,          7.904053,                    98.440178,      0.949000
                1685708820,           2023-06-02 12:27:00,           2023-06-02 08:27:00,      3.530000,     20.744000,          7.878680,                    98.510844,      0.949000
                1685709120,           2023-06-02 12:32:00,           2023-06-02 08:32:00,      3.530000,     21.196000,          7.821863,                    98.631538,      0.949000
                1685709420,           2023-06-02 12:37:00,           2023-06-02 08:37:00,      3.530000,     21.640000,          7.764030,                    98.713825,      0.949000
                1685709720,           2023-06-02 12:42:00,           2023-06-02 08:42:00,      3.520000,     21.949000,          7.728498,                    98.824970,      0.949000
                1685710020,           2023-06-02 12:47:00,           2023-06-02 08:47:00,      3.520000,     22.092000,          7.708860,                    98.833890,      0.949000
                1685710320,           2023-06-02 12:52:00,           2023-06-02 08:52:00,      3.520000,     22.175000,          7.698665,                    98.853962,      0.949000
                1685710620,           2023-06-02 12:57:00,           2023-06-02 08:57:00,      3.530000,     22.284000,          7.679693,                    98.807962,      0.949000
                1685710920,           2023-06-02 13:02:00,           2023-06-02 09:02:00,      3.530000,     22.401000,          7.669707,                    98.891377,      0.949000
                1685711220,           2023-06-02 13:07:00,           2023-06-02 09:07:00,      3.530000,     22.577000,          7.639524,                    98.819877,      0.949000
                1685711520,           2023-06-02 13:12:00,           2023-06-02 09:12:00,      3.520000,     22.728000,          7.628845,                    98.954047,      0.949000
                1685711820,           2023-06-02 13:17:00,           2023-06-02 09:17:00,      3.520000,     22.895000,          7.607528,                    98.978031,      0.949000
                1685712120,           2023-06-02 13:22:00,           2023-06-02 09:22:00,      3.520000,     23.063000,          7.589786,                    99.048944,      0.949000
                1685712420,           2023-06-02 13:27:00,           2023-06-02 09:27:00,      3.530000,     23.432000,          7.551793,                    99.213191,      0.950000
                1685712720,           2023-06-02 13:32:00,           2023-06-02 09:32:00,      3.520000,     23.918000,          7.490298,                    99.268845,      0.949000
                1685713020,           2023-06-02 13:37:00,           2023-06-02 09:37:00,      3.520000,     24.489000,          7.419376,                    99.335775,      0.949000
                1685713320,           2023-06-02 13:42:00,           2023-06-02 09:42:00,      3.520000,     25.018000,          7.364234,                    99.525201,      0.949000
                1685713620,           2023-06-02 13:47:00,           2023-06-02 09:47:00,      3.520000,     25.414000,          7.330661,                    99.763968,      0.950000
                1685713920,           2023-06-02 13:52:00,           2023-06-02 09:52:00,      3.520000,     25.625000,          7.305868,                    99.794703,      0.950000
                1685714220,           2023-06-02 13:57:00,           2023-06-02 09:57:00,      3.520000,     25.794000,          7.288894,                    99.857233,      0.950000
                1685714520,           2023-06-02 14:02:00,           2023-06-02 10:02:00,      3.520000,     25.895000,          7.280496,                    99.918011,      0.950000
                1685714820,           2023-06-02 14:07:00,           2023-06-02 10:07:00,      3.520000,     25.828000,          7.265780,                    99.599631,      0.949000
                1685715120,           2023-06-02 14:12:00,           2023-06-02 10:12:00,      3.520000,     25.828000,          7.270261,                    99.661067,      0.949000
                1685715420,           2023-06-02 14:17:00,           2023-06-02 10:17:00,      3.520000,     27.004000,          7.132324,                    99.780352,      0.950000
                1685715720,           2023-06-02 14:22:00,           2023-06-02 10:22:00,      3.510000,     28.383000,          6.981561,                    99.990790,      0.951000
                1685716020,           2023-06-02 14:27:00,           2023-06-02 10:27:00,      3.510000,     30.559000,          6.725310,                    99.875694,      0.950000
                1685716320,           2023-06-02 14:32:00,           2023-06-02 10:32:00,      3.510000,     32.187000,          6.544674,                    99.807312,      0.949000
                1685716620,           2023-06-02 14:37:00,           2023-06-02 10:37:00,      3.510000,     32.643000,          6.485443,                    99.634056,      0.948000
                1685716920,           2023-06-02 14:42:00,           2023-06-02 10:42:00,      3.510000,     33.153000,          6.432696,                    99.636017,      0.948000
                1685717220,           2023-06-02 14:47:00,           2023-06-02 10:47:00,      3.510000,     33.675000,          6.361914,                    99.364704,      0.946000
                1685717520,           2023-06-02 14:52:00,           2023-06-02 10:52:00,      3.510000,     34.082000,          6.321243,                    99.370628,      0.945000
                1685717820,           2023-06-02 14:57:00,           2023-06-02 10:57:00,      3.510000,     34.865000,          6.221628,                    99.023843,      0.943000
                1685718120,           2023-06-02 15:02:00,           2023-06-02 11:02:00,      3.510000,     35.599000,          6.130699,                    98.709153,      0.941000
                1685718420,           2023-06-02 15:07:00,           2023-06-02 11:07:00,      3.510000,     35.905000,          6.103005,                    98.735199,      0.940000
                1685718720,           2023-06-02 15:12:00,           2023-06-02 11:12:00,      3.500000,     36.328000,          6.044139,                    98.430859,      0.939000
                1685719020,           2023-06-02 15:17:00,           2023-06-02 11:17:00,      3.510000,     36.112000,          6.088456,                    98.818979,      0.938000
                1685719320,           2023-06-02 15:22:00,           2023-06-02 11:22:00,      3.520000,     25.794000,          9.582583,                   131.280580,      0.947000
                1685719620,           2023-06-02 15:27:00,           2023-06-02 11:27:00,      3.530000,     23.440000,          9.992479,                   131.297146,      0.949000
                1685719920,           2023-06-02 15:32:00,           2023-06-02 11:32:00,      3.520000,     22.887000,         10.094419,                   131.314706,      0.950000
                1685720220,           2023-06-02 15:37:00,           2023-06-02 11:37:00,      3.530000,     22.418000,         10.155799,                   130.987241,      0.951000
                1685720520,           2023-06-02 15:42:00,           2023-06-02 11:42:00,      3.530000,     22.234000,         10.148897,                   130.457266,      0.951000
                1685720820,           2023-06-02 15:47:00,           2023-06-02 11:47:00,      3.530000,     22.159000,         10.111625,                   129.799167,      0.952000
                1685721120,           2023-06-02 15:52:00,           2023-06-02 11:52:00,      3.520000,     22.150000,         10.099931,                   129.627609,      0.951000
                1685721420,           2023-06-02 15:57:00,           2023-06-02 11:57:00,      3.520000,     22.125000,         10.052356,                   128.957703,      0.952000
                1685721720,           2023-06-02 16:02:00,           2023-06-02 12:02:00,      3.520000,     22.125000,         10.025545,                   128.613755,      0.952000
                1685722020,           2023-06-02 16:07:00,           2023-06-02 12:07:00,      3.520000,     22.142000,         10.019430,                   128.575502,      0.952000
                1685722320,           2023-06-02 16:12:00,           2023-06-02 12:12:00,      3.520000,     22.167000,         10.010700,                   128.522532,      0.952000
                1685722620,           2023-06-02 16:17:00,           2023-06-02 12:17:00,      3.530000,     22.226000,          9.995994,                   128.472927,      0.952000
