MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023Jun04 12:44:16 EDT

DO concentration compensated for salinity: 19.37 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1685702940,           2023-06-02 10:49:00,           2023-06-02 06:49:00,      3.530000,     20.992000,          7.723195,                    97.016840,      0.965000
                1685703240,           2023-06-02 10:54:00,           2023-06-02 06:54:00,      3.530000,     21.134000,          7.690189,                    96.859008,      0.964000
                1685703540,           2023-06-02 10:59:00,           2023-06-02 06:59:00,      3.530000,     21.159000,          7.704639,                    97.086311,      0.965000
                1685703840,           2023-06-02 11:04:00,           2023-06-02 07:04:00,      3.530000,     21.134000,          7.702691,                    97.016466,      0.964000
                1685704140,           2023-06-02 11:09:00,           2023-06-02 07:09:00,      3.530000,     21.051000,          7.711973,                    96.982845,      0.964000
                1685704440,           2023-06-02 11:14:00,           2023-06-02 07:14:00,      3.530000,     20.992000,          7.722302,                    97.005624,      0.965000
                1685704740,           2023-06-02 11:19:00,           2023-06-02 07:19:00,      3.530000,     20.917000,          7.735204,                    97.031322,      0.965000
                1685705040,           2023-06-02 11:24:00,           2023-06-02 07:24:00,      3.530000,     20.808000,          7.753236,                    97.058925,      0.964000
                1685705340,           2023-06-02 11:29:00,           2023-06-02 07:29:00,      3.530000,     20.616000,          7.782317,                    97.072023,      0.964000
                1685705640,           2023-06-02 11:34:00,           2023-06-02 07:34:00,      3.530000,     20.373000,          7.817289,                    97.062391,      0.964000
                1685705940,           2023-06-02 11:39:00,           2023-06-02 07:39:00,      3.540000,     20.156000,          7.846169,                    97.021649,      0.965000
                1685706240,           2023-06-02 11:44:00,           2023-06-02 07:44:00,      3.540000,     20.147000,          7.843431,                    96.971250,      0.965000
                1685706540,           2023-06-02 11:49:00,           2023-06-02 07:49:00,      3.540000,     20.122000,          7.853077,                    97.044474,      0.964000
                1685706840,           2023-06-02 11:54:00,           2023-06-02 07:54:00,      3.540000,     20.055000,          7.865113,                    97.069699,      0.964000
                1685707140,           2023-06-02 11:59:00,           2023-06-02 07:59:00,      3.530000,     19.963000,          7.890359,                    97.211169,      0.964000
                1685707440,           2023-06-02 12:04:00,           2023-06-02 08:04:00,      3.530000,     19.905000,          7.894424,                    97.153976,      0.964000
                1685707740,           2023-06-02 12:09:00,           2023-06-02 08:09:00,      3.530000,     19.871000,          7.906680,                    97.241833,      0.964000
                1685708040,           2023-06-02 12:14:00,           2023-06-02 08:14:00,      3.530000,     19.854000,          7.913700,                    97.296654,      0.965000
                1685708340,           2023-06-02 12:19:00,           2023-06-02 08:19:00,      3.530000,     19.913000,          7.907859,                    97.334137,      0.965000
                1685708640,           2023-06-02 12:24:00,           2023-06-02 08:24:00,      3.530000,     20.014000,          7.894275,                    97.353752,      0.964000
                1685708940,           2023-06-02 12:29:00,           2023-06-02 08:29:00,      3.530000,     20.097000,          7.885026,                    97.393077,      0.964000
                1685709240,           2023-06-02 12:34:00,           2023-06-02 08:34:00,      3.530000,     20.198000,          7.868758,                    97.378469,      0.964000
                1685709540,           2023-06-02 12:39:00,           2023-06-02 08:39:00,      3.530000,     20.348000,          7.851031,                    97.435303,      0.965000
                1685709840,           2023-06-02 12:44:00,           2023-06-02 08:44:00,      3.530000,     20.549000,          7.828283,                    97.522240,      0.964000
                1685710140,           2023-06-02 12:49:00,           2023-06-02 08:49:00,      3.530000,     20.758000,          7.791292,                    97.443806,      0.964000
                1685710440,           2023-06-02 12:54:00,           2023-06-02 08:54:00,      3.530000,     20.967000,          7.765888,                    97.507495,      0.964000
                1685710740,           2023-06-02 12:59:00,           2023-06-02 08:59:00,      3.530000,     21.368000,          7.706887,                    97.493650,      0.964000
                1685711040,           2023-06-02 13:04:00,           2023-06-02 09:04:00,      3.530000,     21.803000,          7.641788,                    97.453139,      0.964000
