MiniDOT Logger Concatenated Data File
Sensor:             7450-269898
Concatenation Date: 2023Jun04 12:32:50 EDT

DO concentration compensated for salinity: 19.37 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1685702880,           2023-06-02 10:48:00,           2023-06-02 06:48:00,      3.530000,     20.648000,          7.759322,                    96.843498,      0.970000
                1685703180,           2023-06-02 10:53:00,           2023-06-02 06:53:00,      3.530000,     20.706000,          7.750778,                    96.842446,      0.970000
                1685703480,           2023-06-02 10:58:00,           2023-06-02 06:58:00,      3.530000,     20.706000,          7.749886,                    96.831293,      0.970000
                1685703780,           2023-06-02 11:03:00,           2023-06-02 07:03:00,      3.530000,     20.673000,          7.766628,                    96.980282,      0.971000
                1685704080,           2023-06-02 11:08:00,           2023-06-02 07:08:00,      3.530000,     20.648000,          7.765570,                    96.921481,      0.971000
                1685704380,           2023-06-02 11:13:00,           2023-06-02 07:13:00,      3.530000,     20.640000,          7.765517,                    96.906232,      0.970000
                1685704680,           2023-06-02 11:18:00,           2023-06-02 07:18:00,      3.530000,     20.631000,          7.760102,                    96.822258,      0.970000
                1685704980,           2023-06-02 11:23:00,           2023-06-02 07:23:00,      3.530000,     20.623000,          7.775223,                    96.996314,      0.971000
                1685705280,           2023-06-02 11:28:00,           2023-06-02 07:28:00,      3.530000,     20.606000,          7.772432,                    96.930480,      0.970000
                1685705580,           2023-06-02 11:33:00,           2023-06-02 07:33:00,      3.530000,     20.548000,          7.788113,                    97.019987,      0.971000
                1685705880,           2023-06-02 11:38:00,           2023-06-02 07:38:00,      3.530000,     20.514000,          7.783425,                    96.899460,      0.971000
                1685706180,           2023-06-02 11:43:00,           2023-06-02 07:43:00,      3.530000,     20.481000,          7.776065,                    96.747612,      0.970000
                1685706480,           2023-06-02 11:48:00,           2023-06-02 07:48:00,      3.530000,     20.472000,          7.787608,                    96.874767,      0.970000
                1685706780,           2023-06-02 11:53:00,           2023-06-02 07:53:00,      3.530000,     20.447000,          7.799935,                    96.982357,      0.970000
                1685707080,           2023-06-02 11:58:00,           2023-06-02 07:58:00,      3.530000,     20.414000,          7.812209,                    97.074468,      0.970000
                1685707380,           2023-06-02 12:03:00,           2023-06-02 08:03:00,      3.530000,     20.414000,          7.813101,                    97.085557,      0.970000
                1685707680,           2023-06-02 12:08:00,           2023-06-02 08:08:00,      3.530000,     20.405000,          7.821073,                    97.168094,      0.971000
                1685707980,           2023-06-02 12:13:00,           2023-06-02 08:13:00,      3.530000,     20.389000,          7.820073,                    97.126318,      0.970000
                1685708280,           2023-06-02 12:18:00,           2023-06-02 08:18:00,      3.530000,     20.405000,          7.828212,                    97.256791,      0.971000
                1685708580,           2023-06-02 12:23:00,           2023-06-02 08:23:00,      3.530000,     20.489000,          7.813602,                    97.229309,      0.970000
                1685708880,           2023-06-02 12:28:00,           2023-06-02 08:28:00,      3.530000,     20.723000,          7.791060,                    97.376853,      0.971000
                1685709180,           2023-06-02 12:33:00,           2023-06-02 08:33:00,      3.530000,     21.191000,          7.734316,                    97.518491,      0.971000
                1685709480,           2023-06-02 12:38:00,           2023-06-02 08:38:00,      3.530000,     21.635000,          7.684491,                    97.693488,      0.971000
                1685709780,           2023-06-02 12:43:00,           2023-06-02 08:43:00,      3.520000,     21.902000,          7.657607,                    97.833608,      0.972000
                1685710080,           2023-06-02 12:48:00,           2023-06-02 08:48:00,      3.520000,     22.011000,          7.627917,                    97.650374,      0.971000
                1685710380,           2023-06-02 12:53:00,           2023-06-02 08:53:00,      3.520000,     22.069000,          7.617560,                    97.622010,      0.971000
                1685710680,           2023-06-02 12:58:00,           2023-06-02 08:58:00,      3.530000,     22.220000,          7.604211,                    97.721906,      0.972000
                1685710980,           2023-06-02 13:03:00,           2023-06-02 09:03:00,      3.530000,     22.462000,          7.563711,                    97.633684,      0.971000
