MiniDOT Logger Concatenated Data File
Sensor:             7450-249209
Concatenation Date: 2023Jun04 13:20:55 EDT

DO concentration compensated for salinity: 19.37 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1684842000,           2023-05-23 11:40:00,           2023-05-23 07:40:00,      3.550000,     22.526000,          7.778668,                   100.526005,      0.975000
                1684842300,           2023-05-23 11:45:00,           2023-05-23 07:45:00,      3.550000,     22.953000,          7.737562,                   100.776030,      0.974000
                1684842600,           2023-05-23 11:50:00,           2023-05-23 07:50:00,      3.550000,     23.145000,          7.717303,                   100.862898,      0.974000
                1684842900,           2023-05-23 11:55:00,           2023-05-23 07:55:00,      3.550000,     23.329000,          7.726503,                   101.319887,      0.975000
                1684843200,           2023-05-23 12:00:00,           2023-05-23 08:00:00,      3.550000,     23.513000,          7.688282,                   101.153973,      0.974000
                1684843500,           2023-05-23 12:05:00,           2023-05-23 08:05:00,      3.550000,     23.656000,          7.690956,                   101.449963,      0.974000
                1684843800,           2023-05-23 12:10:00,           2023-05-23 08:10:00,      3.550000,     23.840000,          7.685825,                   101.717847,      0.974000
                1684844100,           2023-05-23 12:15:00,           2023-05-23 08:15:00,      3.550000,     24.016000,          7.653787,                   101.613683,      0.974000
                1684844400,           2023-05-23 12:20:00,           2023-05-23 08:20:00,      3.540000,     24.217000,          7.616517,                   101.482602,      0.974000
                1684844700,           2023-05-23 12:25:00,           2023-05-23 08:25:00,      3.550000,     24.402000,          7.603308,                   101.641034,      0.974000
                1684845000,           2023-05-23 12:30:00,           2023-05-23 08:30:00,      3.550000,     24.595000,          7.587452,                   101.777476,      0.974000
                1684845300,           2023-05-23 12:35:00,           2023-05-23 08:35:00,      3.550000,     24.788000,          7.580543,                   102.033128,      0.974000
                1684845600,           2023-05-23 12:40:00,           2023-05-23 08:40:00,      3.540000,     24.998000,          7.552230,                   102.029907,      0.973000
                1684845900,           2023-05-23 12:45:00,           2023-05-23 08:45:00,      3.540000,     25.208000,          7.539133,                   102.230474,      0.974000
                1684846200,           2023-05-23 12:50:00,           2023-05-23 08:50:00,      3.540000,     25.301000,          7.517278,                   102.100924,      0.974000
                1684846500,           2023-05-23 12:55:00,           2023-05-23 08:55:00,      3.540000,     25.309000,          7.502989,                   101.921171,      0.974000
                1684846800,           2023-05-23 13:00:00,           2023-05-23 09:00:00,      3.540000,     25.225000,          7.507875,                   101.837066,      0.974000
                1684847100,           2023-05-23 13:05:00,           2023-05-23 09:05:00,      3.540000,     25.141000,          7.515447,                   101.789194,      0.974000
                1684847400,           2023-05-23 13:10:00,           2023-05-23 09:10:00,      3.540000,     25.040000,          7.521125,                   101.684979,      0.974000
                1684847700,           2023-05-23 13:15:00,           2023-05-23 09:15:00,      3.550000,     24.922000,          7.539241,                   101.717875,      0.974000
                1684848000,           2023-05-23 13:20:00,           2023-05-23 09:20:00,      3.550000,     24.796000,          7.551931,                   101.662397,      0.974000
                1684848300,           2023-05-23 13:25:00,           2023-05-23 09:25:00,      3.550000,     24.704000,          7.559445,                   101.597938,      0.974000
                1684848600,           2023-05-23 13:30:00,           2023-05-23 09:30:00,      3.550000,     24.586000,          7.569489,                   101.520303,      0.973000
                1684848900,           2023-05-23 13:35:00,           2023-05-23 09:35:00,      3.550000,     24.486000,          7.589486,                   101.607911,      0.974000
                1684849200,           2023-05-23 13:40:00,           2023-05-23 09:40:00,      3.550000,     24.377000,          7.611215,                   101.701490,      0.975000
                1684849500,           2023-05-23 13:45:00,           2023-05-23 09:45:00,      3.550000,     24.284000,          7.618712,                   101.633190,      0.974000
                1684849800,           2023-05-23 13:50:00,           2023-05-23 09:50:00,      3.540000,     24.217000,          7.627259,                   101.625736,      0.975000
                1684850100,           2023-05-23 13:55:00,           2023-05-23 09:55:00,      3.540000,     24.100000,          7.628340,                   101.428055,      0.973000
                1684850400,           2023-05-23 14:00:00,           2023-05-23 10:00:00,      3.540000,     24.041000,          7.639618,                   101.470934,      0.974000
                1684850700,           2023-05-23 14:05:00,           2023-05-23 10:05:00,      3.550000,     23.983000,          7.660746,                   101.646033,      0.975000
                1684851000,           2023-05-23 14:10:00,           2023-05-23 10:10:00,      3.550000,     23.932000,          7.664910,                   101.608450,      0.975000
                1684851300,           2023-05-23 14:15:00,           2023-05-23 10:15:00,      3.550000,     23.874000,          7.662765,                   101.474499,      0.974000
                1684851600,           2023-05-23 14:20:00,           2023-05-23 10:20:00,      3.550000,     23.840000,          7.670611,                   101.516496,      0.974000
                1684851900,           2023-05-23 14:25:00,           2023-05-23 10:25:00,      3.550000,     23.798000,          7.669458,                   101.424789,      0.974000
                1684852200,           2023-05-23 14:30:00,           2023-05-23 10:30:00,      3.550000,     23.740000,          7.678945,                   101.444567,      0.974000
                1684852500,           2023-05-23 14:35:00,           2023-05-23 10:35:00,      3.550000,     23.689000,          7.692949,                   101.536479,      0.974000
                1684852800,           2023-05-23 14:40:00,           2023-05-23 10:40:00,      3.550000,     23.639000,          7.692640,                   101.441165,      0.974000
                1684853100,           2023-05-23 14:45:00,           2023-05-23 10:45:00,      3.550000,     23.631000,          7.694380,                   101.449512,      0.974000
                1684853400,           2023-05-23 14:50:00,           2023-05-23 10:50:00,      3.550000,     23.606000,          7.694226,                   101.401853,      0.974000
                1684853700,           2023-05-23 14:55:00,           2023-05-23 10:55:00,      3.550000,     23.547000,          7.706387,                   101.454306,      0.974000
                1684854000,           2023-05-23 15:00:00,           2023-05-23 11:00:00,      3.550000,     23.547000,          7.704598,                   101.430747,      0.973000
                1684854300,           2023-05-23 15:05:00,           2023-05-23 11:05:00,      3.550000,     23.572000,          7.702963,                   101.454892,      0.974000
                1684854600,           2023-05-23 15:10:00,           2023-05-23 11:10:00,      3.550000,     23.513000,          7.716913,                   101.530667,      0.973000
