datetime,ph
6/2/23 8:00,3.65
6/2/23 8:05,3.65
6/2/23 8:10,3.65
6/2/23 8:15,3.65
6/2/23 8:20,3.65
6/2/23 8:25,3.65
6/2/23 8:30,3.65
6/2/23 8:35,3.65
6/2/23 8:40,3.66
6/2/23 8:45,3.66
6/2/23 8:50,3.66
6/2/23 8:55,3.66
6/2/23 9:00,3.66
6/2/23 9:05,3.66
6/2/23 9:10,3.66
6/2/23 9:15,3.66
6/2/23 9:20,3.66
6/2/23 9:25,3.66
6/2/23 9:30,3.66
6/2/23 9:35,3.66
6/2/23 9:40,3.66
6/2/23 9:45,3.67
6/2/23 9:50,3.67
6/2/23 9:55,3.67
6/2/23 10:00,3.67
6/2/23 10:05,3.67
6/2/23 10:10,3.68
6/2/23 10:15,3.68
6/2/23 10:20,3.68
6/2/23 10:25,3.69
6/2/23 10:30,3.7
6/2/23 10:35,3.7
6/2/23 10:40,3.71
6/2/23 10:45,3.72
6/2/23 10:50,3.73
6/2/23 10:55,3.73
6/2/23 11:00,3.74
6/2/23 11:05,3.74
6/2/23 11:10,3.75
6/2/23 11:15,3.76
6/2/23 11:20,3.75
6/2/23 11:25,3.75
6/2/23 11:30,3.75
6/2/23 11:35,3.76
6/2/23 11:40,3.76
6/2/23 11:45,3.76
6/2/23 11:50,3.77
6/2/23 11:55,3.77
6/2/23 12:00,3.77
6/2/23 12:05,3.77
6/2/23 12:10,3.78
6/2/23 12:15,3.78
6/2/23 12:20,3.78
6/2/23 12:25,3.78
6/2/23 12:30,3.76
6/2/23 12:35,3.74
6/2/23 12:40,3.73
6/2/23 12:45,3.73
6/2/23 12:50,3.74
6/2/23 12:55,8.48
6/2/23 13:00,8.47
6/2/23 13:05,8.5
6/2/23 13:10,8.55
6/2/23 13:15,8.58
6/2/23 13:20,8.57
6/2/23 13:25,8.59
6/2/23 13:30,8.61
6/2/23 13:35,8.57
6/2/23 13:40,8.55
6/2/23 13:45,8.56
6/2/23 13:50,8.55
6/2/23 13:55,8.55
6/2/23 14:00,8.54
6/2/23 14:05,8.54
6/2/23 14:10,8.54
6/2/23 14:15,8.56
6/2/23 14:20,8.56
6/2/23 14:25,8.56
6/2/23 14:30,8.57
6/2/23 14:35,8.57
6/2/23 14:40,8.58
6/2/23 14:45,8.58
6/2/23 14:50,8.59
6/2/23 14:55,8.59
6/2/23 15:00,8.58
6/2/23 15:05,8.58
6/2/23 15:10,8.57
6/2/23 15:15,8.57
6/2/23 15:20,8.57
6/2/23 15:25,8.56
6/2/23 15:30,8.56
6/2/23 15:35,8.55
6/2/23 15:40,8.56
6/2/23 15:45,8.56
6/2/23 15:50,8.55
6/2/23 15:55,8.55
6/2/23 16:00,8.55
6/2/23 16:05,8.54
6/2/23 16:10,8.54
6/2/23 16:15,8.54
