datetime,ph
6/2/23 8:00,3.52
6/2/23 8:05,3.52
6/2/23 8:10,3.52
6/2/23 8:15,3.52
6/2/23 8:20,3.52
6/2/23 8:25,3.52
6/2/23 8:30,3.52
6/2/23 8:35,3.52
6/2/23 8:40,3.53
6/2/23 8:45,3.53
6/2/23 8:50,3.53
6/2/23 8:55,3.53
6/2/23 9:00,3.53
6/2/23 9:05,3.53
6/2/23 9:10,3.54
6/2/23 9:15,3.54
6/2/23 9:20,3.54
6/2/23 9:25,3.54
6/2/23 9:30,3.54
6/2/23 9:35,3.55
6/2/23 9:40,3.55
6/2/23 9:45,3.56
6/2/23 9:50,3.56
6/2/23 9:55,3.56
6/2/23 10:00,3.56
6/2/23 10:05,3.55
6/2/23 10:10,3.55
6/2/23 10:15,3.55
6/2/23 10:20,3.55
6/2/23 10:25,3.56
6/2/23 10:30,3.56
6/2/23 10:35,3.56
6/2/23 10:40,3.56
6/2/23 10:45,3.56
6/2/23 10:50,3.57
6/2/23 10:55,3.57
6/2/23 11:00,3.57
6/2/23 11:05,3.57
6/2/23 11:10,3.57
6/2/23 11:15,3.56
6/2/23 11:20,8.47
6/2/23 11:25,8.48
6/2/23 11:30,8.49
6/2/23 11:35,8.52
6/2/23 11:40,8.52
6/2/23 11:45,8.52
6/2/23 11:50,8.53
6/2/23 11:55,8.53
6/2/23 12:00,8.53
6/2/23 12:05,8.53
6/2/23 12:10,8.53
6/2/23 12:15,8.53
6/2/23 12:20,8.53
6/2/23 12:25,8.53
6/2/23 12:30,8.53
6/2/23 12:35,8.52
6/2/23 12:40,8.52
6/2/23 12:45,8.52
6/2/23 12:50,8.51
6/2/23 12:55,8.51
6/2/23 13:00,8.51
6/2/23 13:05,8.51
6/2/23 13:10,8.51
6/2/23 13:15,8.52
6/2/23 13:20,8.52
6/2/23 13:25,8.52
6/2/23 13:30,8.53
6/2/23 13:35,8.53
6/2/23 13:40,8.53
6/2/23 13:45,8.53
6/2/23 13:50,8.53
6/2/23 13:55,8.53
6/2/23 14:00,8.52
6/2/23 14:05,8.52
6/2/23 14:10,8.52
6/2/23 14:15,8.52
6/2/23 14:20,8.53
6/2/23 14:25,8.53
6/2/23 14:30,8.53
6/2/23 14:35,8.53
6/2/23 14:40,8.53
6/2/23 14:45,8.53
6/2/23 14:50,8.53
6/2/23 14:55,8.53
6/2/23 15:00,8.53
6/2/23 15:05,8.53
6/2/23 15:10,8.53
6/2/23 15:15,8.53
6/2/23 15:20,8.53
6/2/23 15:25,8.52
6/2/23 15:30,8.52
6/2/23 15:35,8.52
6/2/23 15:40,8.52
6/2/23 15:45,8.53
6/2/23 15:50,8.52
6/2/23 15:55,8.52
6/2/23 16:00,8.52
6/2/23 16:05,8.51
6/2/23 16:10,8.51
6/2/23 16:15,8.51
6/2/23 16:20,8.51
6/2/23 16:25,9.04
6/2/23 16:30,9.03
6/2/23 16:35,8.66
6/2/23 16:40,7.9
6/2/23 16:45,7.82
6/2/23 16:50,7.88
6/2/23 16:55,8.21
6/2/23 17:00,7.96
6/2/23 17:05,7.91
6/2/23 17:10,7.91
6/2/23 17:15,7.93
6/2/23 17:20,7.94
6/2/23 17:25,7.95
6/2/23 17:30,7.97
6/2/23 17:35,7.98
6/2/23 17:40,8.02
6/2/23 17:45,8.27
6/2/23 17:50,8.29
6/2/23 17:55,8.19
6/2/23 18:00,8.11
6/2/23 18:05,8.07
6/2/23 18:10,8.01
6/2/23 18:15,7.91
6/2/23 18:20,7.82
6/2/23 18:25,7.71
6/2/23 18:30,7.69
6/2/23 18:35,7.68
6/2/23 18:40,7.69
6/2/23 18:45,7.68
6/2/23 18:50,7.68
6/2/23 18:55,7.68
6/2/23 19:00,7.71
6/2/23 19:05,7.78
6/2/23 19:10,7.75
6/2/23 19:15,7.68
6/2/23 19:20,7.7
6/2/23 19:25,7.73
6/2/23 19:30,7.73
6/2/23 19:35,7.75
6/2/23 19:40,7.75
6/2/23 19:45,7.75
6/2/23 19:50,7.75
6/2/23 19:55,7.75
6/2/23 20:00,7.75
6/2/23 20:05,7.76
6/2/23 20:10,7.76
6/2/23 20:15,7.79
6/2/23 20:20,7.8
6/2/23 20:25,7.82
6/2/23 20:30,7.83
6/2/23 20:35,7.84
6/2/23 20:40,7.85
6/2/23 20:45,7.86
6/2/23 20:50,7.86
6/2/23 20:55,7.87
6/2/23 21:00,7.88
6/2/23 21:05,7.88
6/2/23 21:10,7.89
6/2/23 21:15,7.88
6/2/23 21:20,7.87
6/2/23 21:25,7.87
6/2/23 21:30,7.86
6/2/23 21:35,7.86
6/2/23 21:40,7.86
6/2/23 21:45,7.86
6/2/23 21:50,7.87
6/2/23 21:55,7.88
6/2/23 22:00,7.89
6/2/23 22:05,7.89
6/2/23 22:10,7.89
6/2/23 22:15,7.89
6/2/23 22:20,7.89
6/2/23 22:25,7.88
6/2/23 22:30,7.89
6/2/23 22:35,7.89
6/2/23 22:40,7.89
6/2/23 22:45,7.9
6/2/23 22:50,7.9
6/2/23 22:55,7.9
6/2/23 23:00,7.9
6/2/23 23:05,7.9
6/2/23 23:10,7.9
6/2/23 23:15,7.9
6/2/23 23:20,7.9
6/2/23 23:25,7.89
6/2/23 23:30,7.89
6/2/23 23:35,7.89
6/2/23 23:40,7.89
6/2/23 23:45,7.88
6/2/23 23:50,7.89
6/2/23 23:55,7.9
6/3/23 0:00,7.9
6/3/23 0:05,7.87
6/3/23 0:10,7.87
6/3/23 0:15,7.87
6/3/23 0:20,7.87
6/3/23 0:25,7.86
6/3/23 0:30,7.86
6/3/23 0:35,7.86
6/3/23 0:40,7.86
6/3/23 0:45,7.87
6/3/23 0:50,7.88
6/3/23 0:55,7.88
6/3/23 1:00,7.88
6/3/23 1:05,7.88
6/3/23 1:10,7.88
6/3/23 1:15,7.88
6/3/23 1:20,7.88
6/3/23 1:25,7.88
6/3/23 1:30,7.88
6/3/23 1:35,7.88
6/3/23 1:40,7.88
6/3/23 1:45,7.88
6/3/23 1:50,7.88
6/3/23 1:55,7.88
6/3/23 2:00,7.88
6/3/23 2:05,7.88
6/3/23 2:10,7.88
6/3/23 2:15,7.89
6/3/23 2:20,7.89
6/3/23 2:25,7.89
6/3/23 2:30,7.89
6/3/23 2:35,7.89
6/3/23 2:40,7.89
6/3/23 2:45,7.89
6/3/23 2:50,7.89
6/3/23 2:55,7.88
6/3/23 3:00,7.88
6/3/23 3:05,7.88
6/3/23 3:10,7.88
6/3/23 3:15,7.88
6/3/23 3:20,7.88
6/3/23 3:25,7.88
6/3/23 3:30,7.88
6/3/23 3:35,7.88
6/3/23 3:40,7.88
6/3/23 3:45,7.88
6/3/23 3:50,7.88
6/3/23 3:55,7.88
6/3/23 4:00,7.88
6/3/23 4:05,7.88
6/3/23 4:10,7.88
6/3/23 4:15,7.88
6/3/23 4:20,7.88
6/3/23 4:25,7.88
6/3/23 4:30,7.88
6/3/23 4:35,7.88
6/3/23 4:40,7.88
6/3/23 4:45,7.88
6/3/23 4:50,7.88
6/3/23 4:55,7.88
6/3/23 5:00,7.88
6/3/23 5:05,7.88
6/3/23 5:10,7.88
6/3/23 5:15,7.88
6/3/23 5:20,7.88
6/3/23 5:25,7.88
6/3/23 5:30,7.89
6/3/23 5:35,7.89
6/3/23 5:40,7.89
6/3/23 5:45,7.89
6/3/23 5:50,7.89
6/3/23 5:55,7.89
6/3/23 6:00,7.89
6/3/23 6:05,7.89
6/3/23 6:10,7.89
6/3/23 6:15,7.89
6/3/23 6:20,7.89
6/3/23 6:25,7.89
6/3/23 6:30,7.9
6/3/23 6:35,7.9
6/3/23 6:40,7.9
6/3/23 6:45,7.9
6/3/23 6:50,7.9
6/3/23 6:55,7.91
6/3/23 7:00,7.91
6/3/23 7:05,7.91
6/3/23 7:10,7.92
6/3/23 7:15,7.92
6/3/23 7:20,7.93
6/3/23 7:25,7.93
6/3/23 7:30,7.94
6/3/23 7:35,7.95
6/3/23 7:40,7.96
6/3/23 7:45,7.96
6/3/23 7:50,7.97
6/3/23 7:55,7.98
6/3/23 8:00,7.98
6/3/23 8:05,7.97
6/3/23 8:10,7.96
6/3/23 8:15,7.94
6/3/23 8:20,7.92
6/3/23 8:25,7.89
6/3/23 8:30,7.86
6/3/23 8:35,7.82
6/3/23 8:40,7.78
6/3/23 8:45,7.74
6/3/23 8:50,7.7
6/3/23 8:55,7.65
6/3/23 9:00,7.61
6/3/23 9:05,7.57
6/3/23 9:10,7.53
6/3/23 9:15,7.5
6/3/23 9:20,7.46
6/3/23 9:25,7.43
6/3/23 9:30,7.4
6/3/23 9:35,7.37
6/3/23 9:40,7.35
6/3/23 9:45,7.32
6/3/23 9:50,7.3
6/3/23 9:55,7.28
6/3/23 10:00,7.26
6/3/23 10:05,7.25
6/3/23 10:10,7.23
6/3/23 10:15,7.21
6/3/23 10:20,7.2
6/3/23 10:25,7.2
6/3/23 10:30,7.19
6/3/23 10:35,7.18
6/3/23 10:40,7.18
6/3/23 10:45,7.17
6/3/23 10:50,7.17
6/3/23 10:55,7.18
6/3/23 11:00,7.18
6/3/23 11:05,7.18
6/3/23 11:10,7.19
6/3/23 11:15,7.16
6/3/23 11:20,7.15
6/3/23 11:25,7.15
6/3/23 11:30,7.15
6/3/23 11:35,7.16
6/3/23 11:40,7.17
6/3/23 11:45,7.18
6/3/23 11:50,7.2
6/3/23 11:55,7.23
6/3/23 12:00,7.26
6/3/23 12:05,7.3
6/3/23 12:10,7.33
6/3/23 12:15,7.35
6/3/23 12:20,7.38
6/3/23 12:25,7.39
6/3/23 12:30,7.4
6/3/23 12:35,7.4
6/3/23 12:40,7.41
6/3/23 12:45,7.41
6/3/23 12:50,7.37
6/3/23 12:55,7.14
6/3/23 13:00,7.08
6/3/23 13:05,7.13
6/3/23 13:10,7.16
6/3/23 13:15,7.19
6/3/23 13:20,7.2
6/3/23 13:25,7.21
6/3/23 13:30,7.23
6/3/23 13:35,7.23
6/3/23 13:40,7.24
6/3/23 13:45,7.25
6/3/23 13:50,7.26
6/3/23 13:55,7.27
6/3/23 14:00,7.29
6/3/23 14:05,3.47
6/3/23 14:10,3.47
6/3/23 14:15,3.47
6/3/23 14:20,3.47
6/3/23 14:25,3.47
6/3/23 14:27,
6/3/23 14:27,
6/3/23 14:27,
