datetime,spec_cond_us_cm,salinity_ppt
6/9/23 13:20,22286.2,13.4097
6/9/23 13:25,22087.3,13.2791
6/9/23 13:30,22007.5,13.2267
6/9/23 13:35,21972.4,13.2037
6/9/23 13:40,21958.8,13.1947
6/9/23 13:45,21929.9,13.1758
6/9/23 13:50,21954.2,13.1917
6/9/23 13:55,21968,13.2008
6/9/23 14:00,21936.1,13.1798
6/9/23 14:05,21983.3,13.2108
6/9/23 14:10,21955.9,13.1929
6/9/23 14:15,21946.9,13.1869
6/9/23 14:20,21959,13.1948
6/9/23 14:25,21951.5,13.19
6/9/23 14:30,21957.7,13.194
6/9/23 14:35,21976,13.206
6/9/23 14:40,21948.7,13.1881
6/9/23 14:45,21933.3,13.178
6/9/23 14:50,21951.5,13.19
6/9/23 14:55,21947,13.187
6/9/23 15:00,21946.9,13.1869
6/9/23 15:05,21931.7,13.177
6/9/23 15:10,21918.1,13.168
6/9/23 15:15,21933.4,13.1781
6/9/23 15:20,21928.4,13.1748
6/9/23 15:25,21948.8,13.1882
6/9/23 15:30,21957.8,13.1941
6/9/23 15:35,21957.8,13.1941
6/9/23 15:40,21948.8,13.1882
6/9/23 15:45,21909.1,13.1621
6/9/23 15:50,21966.9,13.2001
6/9/23 15:55,21976.1,13.2061
6/9/23 16:00,21980.2,13.2088
6/9/23 16:05,21962.4,13.1971
6/9/23 16:10,23778.7,14.3939
6/9/23 16:15,23768.9,14.3874
6/9/23 16:20,23739.2,14.3678
6/9/23 16:25,1198.8,0.5955
6/9/23 16:30,1183.6,0.5876
6/9/23 16:35,1004.9,0.4957
6/9/23 16:40,713.4,0.348
6/9/23 16:45,405.2,0.1955
6/9/23 16:50,407,0.1964
6/9/23 16:55,408.2,0.197
6/9/23 17:00,409.5,0.1976
6/9/23 17:05,440.1,0.2125
6/9/23 17:10,323.8,0.1562
6/9/23 17:15,198.5,0.0968
6/9/23 17:20,216.6,0.1053
6/9/23 17:25,233.2,0.1131
6/9/23 17:30,253.2,0.1225
6/9/23 17:35,254.6,0.1232
6/9/23 17:40,258.4,0.125
6/9/23 17:45,271,0.131
6/9/23 17:50,274.1,0.1324
6/9/23 17:55,273.2,0.132
6/9/23 18:00,274,0.1324
6/9/23 18:05,271.5,0.1312
6/9/23 18:10,523.5,0.2535
6/9/23 18:15,515.2,0.2494
6/9/23 18:20,508.4,0.246
6/9/23 18:25,498.4,0.2411
6/9/23 18:30,495.2,0.2395
6/9/23 18:35,492.5,0.2382
6/9/23 18:40,499.9,0.2418
6/9/23 18:45,509.5,0.2466
6/9/23 18:50,510.3,0.247
