datetime,depth_m
6/5/23 12:00,-0.017
6/5/23 12:05,-0.016
6/5/23 12:10,-0.014
6/5/23 12:15,-0.014
6/5/23 12:20,-0.012
6/5/23 12:25,-0.01
6/5/23 12:30,-0.007
6/5/23 12:35,-0.009
6/5/23 12:40,-0.012
6/5/23 12:45,-0.012
6/5/23 12:50,-0.011
6/5/23 12:55,-0.01
6/5/23 13:00,-0.011
6/5/23 13:05,-0.011
6/5/23 13:10,-0.009
6/5/23 13:15,-0.012
6/5/23 13:20,-0.011
6/5/23 13:25,-0.012
6/5/23 13:30,-0.013
6/5/23 13:35,-0.012
6/5/23 13:40,-0.013
6/5/23 13:45,-0.012
6/5/23 13:50,-0.011
6/5/23 13:55,-0.011
6/5/23 14:00,-0.011
6/5/23 14:05,-0.008
6/5/23 14:10,-0.006
6/5/23 14:15,-0.01
6/5/23 14:20,-0.006
6/5/23 14:25,-0.006
6/5/23 14:30,-0.011
6/5/23 14:35,-0.01
6/5/23 14:40,-0.011
6/5/23 14:45,-0.008
6/5/23 14:50,-0.01
6/5/23 14:55,-0.013
6/5/23 15:00,-0.012
6/5/23 15:05,-0.011
6/5/23 15:10,-0.009
6/5/23 15:15,-0.011
6/5/23 15:20,-0.011
6/5/23 15:25,-0.015
6/5/23 15:30,-0.014
6/5/23 15:35,-0.011
6/5/23 15:40,-0.013
6/5/23 15:45,-0.01
6/5/23 15:50,-0.013
6/5/23 15:55,-0.01
6/5/23 16:00,-0.009
6/5/23 16:05,-0.011
6/5/23 16:10,-0.01
6/5/23 16:15,-0.011
6/5/23 16:20,-0.008
6/5/23 16:25,-0.013
6/5/23 16:30,-0.015
6/5/23 16:35,-0.766
6/5/23 16:40,-0.757
6/5/23 16:45,-0.745
6/5/23 16:50,-0.738
6/5/23 16:55,-0.728
6/5/23 17:00,-0.723
6/5/23 17:05,-0.718
6/5/23 17:10,-0.712
6/5/23 17:15,-0.704
6/5/23 17:20,-0.699
6/5/23 17:25,-0.688
