MiniDOT Logger Concatenated Data File
Sensor:             7450-137738
Concatenation Date: 2023Jun13 13:44:07 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686062160,           2023-06-06 14:36:00,           2023-06-06 10:36:00,      3.520000,     26.817000,          7.302837,                    98.645501,      0.943000
                1686062460,           2023-06-06 14:41:00,           2023-06-06 10:41:00,      3.510000,     28.528000,          7.039673,                    97.937915,      0.941000
                1686062760,           2023-06-06 14:46:00,           2023-06-06 10:46:00,      3.520000,     29.971000,          6.869534,                    97.931424,      0.942000
                1686063060,           2023-06-06 14:51:00,           2023-06-06 10:51:00,      3.510000,     30.801000,          6.759163,                    97.701710,      0.941000
                1686063360,           2023-06-06 14:56:00,           2023-06-06 10:56:00,      3.510000,     31.393000,          6.711004,                    97.960886,      0.941000
                1686063660,           2023-06-06 15:01:00,           2023-06-06 11:01:00,      3.510000,     31.515000,          6.697479,                    97.960335,      0.940000
                1686063960,           2023-06-06 15:06:00,           2023-06-06 11:06:00,      3.520000,     32.056000,          6.650952,                    98.148445,      0.940000
                1686064260,           2023-06-06 15:11:00,           2023-06-06 11:11:00,      3.510000,     33.880000,          6.379764,                    96.976612,      0.936000
                1686064560,           2023-06-06 15:16:00,           2023-06-06 11:16:00,      3.510000,     35.066000,          6.230757,                    96.527451,      0.933000
                1686064860,           2023-06-06 15:21:00,           2023-06-06 11:21:00,      3.510000,     35.030000,          6.512387,                   100.832636,      0.933000
                1686065160,           2023-06-06 15:26:00,           2023-06-06 11:26:00,      3.520000,     26.250000,          8.105110,                   108.401487,      0.939000
                1686065460,           2023-06-06 15:31:00,           2023-06-06 11:31:00,      3.530000,     23.282000,          8.947607,                   113.466214,      0.945000
                1686065760,           2023-06-06 15:36:00,           2023-06-06 11:36:00,      3.530000,     22.604000,          9.032808,                   113.125799,      0.945000
                1686066060,           2023-06-06 15:41:00,           2023-06-06 11:41:00,      3.530000,     22.320000,          9.079351,                   113.111489,      0.945000
                1686066360,           2023-06-06 15:46:00,           2023-06-06 11:46:00,      3.530000,     22.194000,          9.065752,                   112.677702,      0.946000
