MiniDOT Logger Concatenated Data File
Sensor:             7450-458163
Concatenation Date: 2023Jun13 12:06:55 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686062040,           2023-06-06 14:34:00,           2023-06-06 10:34:00,      3.530000,     31.976000,          6.754685,                    99.548607,      0.974000
                1686062340,           2023-06-06 14:39:00,           2023-06-06 10:39:00,      3.530000,     31.644000,          6.817654,                    99.930122,      0.975000
                1686062640,           2023-06-06 14:44:00,           2023-06-06 10:44:00,      3.530000,     31.522000,          6.855309,                   100.280387,      0.974000
                1686062940,           2023-06-06 14:49:00,           2023-06-06 10:49:00,      3.530000,     31.461000,          6.865316,                   100.325846,      0.974000
                1686063240,           2023-06-06 14:54:00,           2023-06-06 10:54:00,      3.540000,     31.199000,          6.897849,                   100.366145,      0.975000
                1686063540,           2023-06-06 14:59:00,           2023-06-06 10:59:00,      3.530000,     30.791000,          6.924303,                   100.072143,      0.975000
                1686063840,           2023-06-06 15:04:00,           2023-06-06 11:04:00,      3.530000,     30.540000,          6.938288,                    99.856508,      0.975000
                1686064140,           2023-06-06 15:09:00,           2023-06-06 11:09:00,      3.530000,     30.679000,          6.923920,                    99.880512,      0.975000
                1686064440,           2023-06-06 15:14:00,           2023-06-06 11:14:00,      3.530000,     30.887000,          6.910712,                   100.035003,      0.975000
                1686064740,           2023-06-06 15:19:00,           2023-06-06 11:19:00,      3.540000,     31.156000,          6.884710,                   100.103753,      0.975000
                1686065040,           2023-06-06 15:24:00,           2023-06-06 11:24:00,      3.530000,     31.801000,          6.825600,                   100.305200,      0.974000
                1686065340,           2023-06-06 15:29:00,           2023-06-06 11:29:00,      3.540000,     32.282000,          6.908901,                   102.332830,      0.968000
                1686065640,           2023-06-06 15:34:00,           2023-06-06 11:34:00,      3.540000,     26.192000,          8.409425,                   112.356955,      0.966000
                1686065940,           2023-06-06 15:39:00,           2023-06-06 11:39:00,      3.550000,     23.225000,          9.031419,                   114.409476,      0.970000
                1686066240,           2023-06-06 15:44:00,           2023-06-06 11:44:00,      3.550000,     22.615000,          9.088299,                   113.843928,      0.971000
                1686066540,           2023-06-06 15:49:00,           2023-06-06 11:49:00,      3.550000,     22.372000,          9.147060,                   114.065139,      0.972000
