MiniDOT Logger Concatenated Data File
Sensor:             7450-471033
Concatenation Date: 2023Jun13 12:19:50 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686061980,           2023-06-06 14:33:00,           2023-06-06 10:33:00,      3.520000,     31.626000,          6.631930,                    97.179071,      0.938000
                1686062280,           2023-06-06 14:38:00,           2023-06-06 10:38:00,      3.520000,     31.181000,          6.694530,                    97.378789,      0.940000
                1686062580,           2023-06-06 14:43:00,           2023-06-06 10:43:00,      3.520000,     31.416000,          6.693443,                    97.741630,      0.941000
                1686062880,           2023-06-06 14:48:00,           2023-06-06 10:48:00,      3.520000,     31.783000,          6.649146,                    97.683236,      0.940000
                1686063180,           2023-06-06 14:53:00,           2023-06-06 10:53:00,      3.520000,     31.871000,          6.643859,                    97.746737,      0.940000
                1686063480,           2023-06-06 14:58:00,           2023-06-06 10:58:00,      3.520000,     31.416000,          6.694371,                    97.755184,      0.941000
                1686063780,           2023-06-06 15:03:00,           2023-06-06 11:03:00,      3.520000,     31.068000,          6.720145,                    97.568760,      0.942000
                1686064080,           2023-06-06 15:08:00,           2023-06-06 11:08:00,      3.520000,     31.294000,          6.702326,                    97.674440,      0.942000
                1686064380,           2023-06-06 15:13:00,           2023-06-06 11:13:00,      3.520000,     31.722000,          6.653592,                    97.650579,      0.941000
                1686064680,           2023-06-06 15:18:00,           2023-06-06 11:18:00,      3.520000,     31.984000,          6.614510,                    97.495540,      0.941000
                1686064980,           2023-06-06 15:23:00,           2023-06-06 11:23:00,      3.520000,     32.564000,          6.549482,                    97.456812,      0.940000
                1686065280,           2023-06-06 15:28:00,           2023-06-06 11:28:00,      3.520000,     32.987000,          6.505282,                    97.467466,      0.938000
                1686065580,           2023-06-06 15:33:00,           2023-06-06 11:33:00,      3.520000,     33.872000,          6.404832,                    97.345121,      0.935000
