MiniDOT Logger Concatenated Data File
Sensor:             7450-566774
Concatenation Date: 2023Jun13 12:43:20 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686065820,           2023-06-06 15:37:00,           2023-06-06 11:37:00,      3.490000,     33.217000,          6.285809,                    94.531035,      0.901000
                1686066120,           2023-06-06 15:42:00,           2023-06-06 11:42:00,      3.500000,     23.975000,          8.810590,                   113.148754,      0.924000
                1686066420,           2023-06-06 15:47:00,           2023-06-06 11:47:00,      3.500000,     23.053000,          9.228290,                   116.534918,      0.926000
                1686066720,           2023-06-06 15:52:00,           2023-06-06 11:52:00,      3.510000,     22.769000,          9.365376,                   117.649031,      0.927000
                1686067020,           2023-06-06 15:57:00,           2023-06-06 11:57:00,      3.510000,     22.492000,          9.415607,                   117.675620,      0.927000
                1686067320,           2023-06-06 16:02:00,           2023-06-06 12:02:00,      3.510000,     22.308000,          9.434921,                   117.515013,      0.926000
                1686067620,           2023-06-06 16:07:00,           2023-06-06 12:07:00,      3.510000,     22.199000,          9.448176,                   117.441759,      0.926000
                1686067920,           2023-06-06 16:12:00,           2023-06-06 12:12:00,      3.500000,     22.141000,          9.470946,                   117.597704,      0.926000
                1686068220,           2023-06-06 16:17:00,           2023-06-06 12:17:00,      3.500000,     22.091000,          9.470669,                   117.484723,      0.926000
                1686068520,           2023-06-06 16:22:00,           2023-06-06 12:22:00,      3.500000,     22.040000,          9.422360,                   116.774301,      0.925000
                1686068820,           2023-06-06 16:27:00,           2023-06-06 12:27:00,      3.500000,     22.015000,          9.382509,                   116.226166,      0.926000
                1686069120,           2023-06-06 16:32:00,           2023-06-06 12:32:00,      3.500000,     21.982000,          9.345385,                   115.694986,      0.925000
                1686069420,           2023-06-06 16:37:00,           2023-06-06 12:37:00,      3.500000,     21.965000,          9.399781,                   116.331452,      0.925000
                1686069720,           2023-06-06 16:42:00,           2023-06-06 12:42:00,      3.500000,     21.982000,          9.390639,                   116.255225,      0.925000
                1686070020,           2023-06-06 16:47:00,           2023-06-06 12:47:00,      3.500000,     21.990000,          9.299251,                   115.141056,      0.924000
                1686070320,           2023-06-06 16:52:00,           2023-06-06 12:52:00,      3.500000,     21.974000,          9.316711,                   115.322775,      0.925000
                1686070620,           2023-06-06 16:57:00,           2023-06-06 12:57:00,      3.500000,     21.999000,          9.281753,                   114.943710,      0.925000
                1686070920,           2023-06-06 17:02:00,           2023-06-06 13:02:00,      3.500000,     22.007000,          9.208835,                   114.057742,      0.924000
                1686071220,           2023-06-06 17:07:00,           2023-06-06 13:07:00,      3.500000,     22.015000,          9.186713,                   113.800736,      0.925000
                1686071520,           2023-06-06 17:12:00,           2023-06-06 13:12:00,      3.500000,     22.032000,          9.156326,                   113.460319,      0.925000
                1686071820,           2023-06-06 17:17:00,           2023-06-06 13:17:00,      3.500000,     22.024000,          9.096251,                   112.699072,      0.924000
                1686072120,           2023-06-06 17:22:00,           2023-06-06 13:22:00,      3.500000,     22.082000,          9.121498,                   113.134221,      0.925000
