MiniDOT Logger Concatenated Data File
Sensor:             7450-562111
Concatenation Date: 2023Jun13 12:54:23 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686066600,           2023-06-06 15:50:00,           2023-06-06 11:50:00,      3.480000,     29.640000,          6.887866,                    97.648338,      0.958000
                1686066900,           2023-06-06 15:55:00,           2023-06-06 11:55:00,      3.490000,     28.807000,          7.096305,                    99.195921,      0.959000
                1686067200,           2023-06-06 16:00:00,           2023-06-06 12:00:00,      3.500000,     23.914000,          9.066394,                   116.305105,      0.960000
                1686067500,           2023-06-06 16:05:00,           2023-06-06 12:05:00,      3.500000,     23.060000,          9.376188,                   118.417801,      0.962000
                1686067800,           2023-06-06 16:10:00,           2023-06-06 12:10:00,      3.500000,     22.675000,          9.474814,                   118.817332,      0.960000
                1686068100,           2023-06-06 16:15:00,           2023-06-06 12:15:00,      3.500000,     22.440000,          9.512321,                   118.769780,      0.960000
                1686068400,           2023-06-06 16:20:00,           2023-06-06 12:20:00,      3.500000,     22.290000,          9.549363,                   118.900632,      0.960000
                1686068700,           2023-06-06 16:25:00,           2023-06-06 12:25:00,      3.500000,     22.198000,          9.532224,                   118.484278,      0.960000
                1686069000,           2023-06-06 16:30:00,           2023-06-06 12:30:00,      3.500000,     22.122000,          9.513328,                   118.082126,      0.959000
                1686069300,           2023-06-06 16:35:00,           2023-06-06 12:35:00,      3.500000,     22.064000,          9.538865,                   118.271133,      0.960000
                1686069600,           2023-06-06 16:40:00,           2023-06-06 12:40:00,      3.500000,     22.030000,          9.531287,                   118.102221,      0.959000
                1686069900,           2023-06-06 16:45:00,           2023-06-06 12:45:00,      3.490000,     22.014000,          9.525656,                   117.997204,      0.959000
                1686070200,           2023-06-06 16:50:00,           2023-06-06 12:50:00,      3.500000,     22.014000,          9.495178,                   117.619668,      0.958000
                1686070500,           2023-06-06 16:55:00,           2023-06-06 12:55:00,      3.490000,     21.997000,          9.498778,                   117.626917,      0.958000
                1686070800,           2023-06-06 17:00:00,           2023-06-06 13:00:00,      3.490000,     22.005000,          9.476657,                   117.370516,      0.957000
