MiniDOT Logger Concatenated Data File
Sensor:             7450-233512
Concatenation Date: 2023Jun13 13:04:05 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686171900,           2023-06-07 21:05:00,           2023-06-07 17:05:00,      3.540000,     21.213000,          7.908442,                    96.501482,      0.951000
                1686172200,           2023-06-07 21:10:00,           2023-06-07 17:10:00,      3.540000,     21.247000,          7.901217,                    96.475272,      0.951000
                1686172500,           2023-06-07 21:15:00,           2023-06-07 17:15:00,      3.540000,     21.221000,          7.914018,                    96.584128,      0.952000
                1686172800,           2023-06-07 21:20:00,           2023-06-07 17:20:00,      3.540000,     21.171000,          7.919321,                    96.557542,      0.952000
                1686173100,           2023-06-07 21:25:00,           2023-06-07 17:25:00,      3.540000,     21.121000,          7.919085,                    96.463377,      0.951000
                1686173400,           2023-06-07 21:30:00,           2023-06-07 17:30:00,      3.530000,     21.062000,          7.935420,                    96.554447,      0.952000
                1686173700,           2023-06-07 21:35:00,           2023-06-07 17:35:00,      3.530000,     21.012000,          7.945336,                    96.583548,      0.951000
                1686174000,           2023-06-07 21:40:00,           2023-06-07 17:40:00,      3.530000,     20.979000,          7.948872,                    96.566077,      0.951000
                1686174300,           2023-06-07 21:45:00,           2023-06-07 17:45:00,      3.530000,     20.962000,          7.945099,                    96.489123,      0.951000
                1686174600,           2023-06-07 21:50:00,           2023-06-07 17:50:00,      3.530000,     20.903000,          7.958662,                    96.545671,      0.951000
                1686174900,           2023-06-07 21:55:00,           2023-06-07 17:55:00,      3.530000,     20.861000,          7.960308,                    96.488624,      0.951000
                1686175200,           2023-06-07 22:00:00,           2023-06-07 18:00:00,      3.530000,     20.820000,          7.967495,                    96.500513,      0.951000
                1686175500,           2023-06-07 22:05:00,           2023-06-07 18:05:00,      3.530000,     20.811000,          7.970221,                    96.517007,      0.951000
                1686175800,           2023-06-07 22:10:00,           2023-06-07 18:10:00,      3.530000,     20.786000,          7.974715,                    96.525529,      0.952000
                1686176100,           2023-06-07 22:15:00,           2023-06-07 18:15:00,      3.530000,     20.761000,          7.975519,                    96.489341,      0.951000
                1686176400,           2023-06-07 22:20:00,           2023-06-07 18:20:00,      3.530000,     20.744000,          7.980051,                    96.512947,      0.951000
                1686176700,           2023-06-07 22:25:00,           2023-06-07 18:25:00,      3.530000,     20.728000,          7.975360,                    96.426835,      0.951000
                1686177000,           2023-06-07 22:30:00,           2023-06-07 18:30:00,      3.530000,     20.711000,          7.987276,                    96.539642,      0.952000
