MiniDOT Logger Concatenated Data File
Sensor:             7450-325834
Concatenation Date: 2023Jun13 13:10:04 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686171960,           2023-06-07 21:06:00,           2023-06-07 17:06:00,      3.540000,     21.063000,          8.066498,                    98.151192,      0.970000
                1686172260,           2023-06-07 21:11:00,           2023-06-07 17:11:00,      3.540000,     21.113000,          8.064892,                    98.224607,      0.970000
                1686172560,           2023-06-07 21:16:00,           2023-06-07 17:16:00,      3.540000,     21.088000,          8.071233,                    98.255324,      0.970000
                1686172860,           2023-06-07 21:21:00,           2023-06-07 17:21:00,      3.540000,     21.046000,          8.083030,                    98.320689,      0.971000
                1686173160,           2023-06-07 21:26:00,           2023-06-07 17:26:00,      3.540000,     21.021000,          8.079217,                    98.227762,      0.970000
                1686173460,           2023-06-07 21:31:00,           2023-06-07 17:31:00,      3.540000,     20.979000,          8.096551,                    98.360152,      0.971000
                1686173760,           2023-06-07 21:36:00,           2023-06-07 17:36:00,      3.540000,     20.954000,          8.089969,                    98.233592,      0.970000
                1686174060,           2023-06-07 21:41:00,           2023-06-07 17:41:00,      3.540000,     20.929000,          8.099078,                    98.297548,      0.971000
                1686174360,           2023-06-07 21:46:00,           2023-06-07 17:46:00,      3.540000,     20.904000,          8.088804,                    98.126271,      0.970000
                1686174660,           2023-06-07 21:51:00,           2023-06-07 17:51:00,      3.540000,     20.870000,          8.108021,                    98.295895,      0.971000
                1686174960,           2023-06-07 21:56:00,           2023-06-07 17:56:00,      3.540000,     20.812000,          8.111430,                    98.228881,      0.970000
                1686175260,           2023-06-07 22:01:00,           2023-06-07 18:01:00,      3.540000,     20.803000,          8.112309,                    98.222714,      0.971000
                1686175560,           2023-06-07 22:06:00,           2023-06-07 18:06:00,      3.540000,     20.778000,          8.115879,                    98.219216,      0.971000
                1686175860,           2023-06-07 22:11:00,           2023-06-07 18:11:00,      3.540000,     20.745000,          8.117564,                    98.177929,      0.970000
                1686176160,           2023-06-07 22:16:00,           2023-06-07 18:16:00,      3.540000,     20.745000,          8.114795,                    98.144444,      0.970000
                1686176460,           2023-06-07 22:21:00,           2023-06-07 18:21:00,      3.540000,     20.711000,          8.133086,                    98.302007,      0.971000
                1686176760,           2023-06-07 22:26:00,           2023-06-07 18:26:00,      3.540000,     20.694000,          8.131157,                    98.246874,      0.971000
                1686177060,           2023-06-07 22:31:00,           2023-06-07 18:31:00,      3.540000,     20.686000,          8.129273,                    98.209130,      0.971000
                1686177360,           2023-06-07 22:36:00,           2023-06-07 18:36:00,      3.540000,     20.669000,          8.138418,                    98.287766,      0.971000
                1686177660,           2023-06-07 22:41:00,           2023-06-07 18:41:00,      3.540000,     20.661000,          8.133764,                    98.216592,      0.970000
                1686177960,           2023-06-07 22:46:00,           2023-06-07 18:46:00,      3.540000,     20.636000,          8.141024,                    98.257416,      0.971000
                1686178260,           2023-06-07 22:51:00,           2023-06-07 18:51:00,      3.540000,     20.652000,          8.134643,                    98.210352,      0.971000
                1686178560,           2023-06-07 22:56:00,           2023-06-07 18:56:00,      3.540000,     20.627000,          8.140980,                    98.240022,      0.971000
                1686178860,           2023-06-07 23:01:00,           2023-06-07 19:01:00,      3.540000,     20.611000,          8.139056,                    98.186835,      0.970000
                1686179160,           2023-06-07 23:06:00,           2023-06-07 19:06:00,      3.540000,     20.585000,          8.147233,                    98.236741,      0.971000
                1686179460,           2023-06-07 23:11:00,           2023-06-07 19:11:00,      3.540000,     20.577000,          8.155499,                    98.321394,      0.971000
