MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023Jun13 13:18:19 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1686061980,           2023-06-06 14:33:00,           2023-06-06 10:33:00,      3.530000,     23.485000,          8.260002,                   105.136213,      0.961000
                1686062280,           2023-06-06 14:38:00,           2023-06-06 10:38:00,      3.530000,     22.138000,          8.657209,                   107.487784,      0.963000
                1686062580,           2023-06-06 14:43:00,           2023-06-06 10:43:00,      3.530000,     21.912000,          8.873087,                   109.704388,      0.964000
                1686062880,           2023-06-06 14:48:00,           2023-06-06 10:48:00,      3.530000,     21.786000,          8.865042,                   109.346771,      0.964000
                1686063180,           2023-06-06 14:53:00,           2023-06-06 10:53:00,      3.530000,     21.745000,          8.898071,                   109.669881,      0.965000
                1686063480,           2023-06-06 14:58:00,           2023-06-06 10:58:00,      3.530000,     21.694000,          8.902420,                   109.618605,      0.964000
                1686063780,           2023-06-06 15:03:00,           2023-06-06 11:03:00,      3.530000,     21.669000,          8.896749,                   109.497395,      0.964000
                1686064080,           2023-06-06 15:08:00,           2023-06-06 11:08:00,      3.530000,     21.653000,          8.897588,                   109.474846,      0.964000
                1686064380,           2023-06-06 15:13:00,           2023-06-06 11:13:00,      3.530000,     21.644000,          8.892924,                   109.398975,      0.963000
                1686064680,           2023-06-06 15:18:00,           2023-06-06 11:18:00,      3.530000,     21.611000,          8.892750,                   109.329073,      0.963000
                1686064980,           2023-06-06 15:23:00,           2023-06-06 11:23:00,      3.530000,     21.619000,          8.885406,                   109.255190,      0.963000
                1686065280,           2023-06-06 15:28:00,           2023-06-06 11:28:00,      3.530000,     21.619000,          8.896486,                   109.391432,      0.963000
                1686065580,           2023-06-06 15:33:00,           2023-06-06 11:33:00,      3.530000,     21.619000,          8.891869,                   109.334664,      0.963000
                1686065880,           2023-06-06 15:38:00,           2023-06-06 11:38:00,      3.530000,     21.628000,          8.915924,                   109.648970,      0.964000
                1686066180,           2023-06-06 15:43:00,           2023-06-06 11:43:00,      3.530000,     21.619000,          8.957427,                   110.140766,      0.964000
                1686066480,           2023-06-06 15:48:00,           2023-06-06 11:48:00,      3.530000,     21.619000,          8.954657,                   110.106706,      0.963000
                1686066780,           2023-06-06 15:53:00,           2023-06-06 11:53:00,      3.530000,     21.653000,          8.996388,                   110.690476,      0.965000
                1686067080,           2023-06-06 15:58:00,           2023-06-06 11:58:00,      3.530000,     21.653000,          9.010239,                   110.860891,      0.964000
                1686067380,           2023-06-06 16:03:00,           2023-06-06 12:03:00,      3.530000,     21.653000,          8.976074,                   110.440533,      0.964000
                1686067680,           2023-06-06 16:08:00,           2023-06-06 12:08:00,      3.530000,     21.711000,          8.955143,                   110.302969,      0.964000
                1686067980,           2023-06-06 16:13:00,           2023-06-06 12:13:00,      3.530000,     21.711000,          8.947756,                   110.211979,      0.964000
                1686068280,           2023-06-06 16:18:00,           2023-06-06 12:18:00,      3.530000,     21.745000,          8.937778,                   110.159275,      0.964000
                1686068580,           2023-06-06 16:23:00,           2023-06-06 12:23:00,      3.530000,     21.761000,          8.956331,                   110.421049,      0.964000
                1686068880,           2023-06-06 16:28:00,           2023-06-06 12:28:00,      3.530000,     21.761000,          8.970182,                   110.591821,      0.965000
                1686069180,           2023-06-06 16:33:00,           2023-06-06 12:33:00,      3.530000,     21.795000,          8.902027,                   109.821477,      0.964000
                1686069480,           2023-06-06 16:38:00,           2023-06-06 12:38:00,      3.530000,     21.828000,          8.880960,                   109.629306,      0.964000
                1686069780,           2023-06-06 16:43:00,           2023-06-06 12:43:00,      3.530000,     21.887000,          8.847099,                   109.331951,      0.964000
                1686070080,           2023-06-06 16:48:00,           2023-06-06 12:48:00,      3.530000,     21.929000,          8.855629,                   109.523340,      0.964000
                1686070380,           2023-06-06 16:53:00,           2023-06-06 12:53:00,      3.530000,     21.945000,          8.778136,                   108.597401,      0.964000
                1686070680,           2023-06-06 16:58:00,           2023-06-06 12:58:00,      3.530000,     21.995000,          8.767311,                   108.564834,      0.964000
                1686070980,           2023-06-06 17:03:00,           2023-06-06 13:03:00,      3.530000,     22.012000,          8.796952,                   108.966462,      0.964000
                1686071280,           2023-06-06 17:08:00,           2023-06-06 13:08:00,      3.530000,     22.054000,          8.799940,                   109.088938,      0.965000
                1686071580,           2023-06-06 17:13:00,           2023-06-06 13:13:00,      3.530000,     22.087000,          8.795492,                   109.100931,      0.964000
                1686071880,           2023-06-06 17:18:00,           2023-06-06 13:18:00,      3.530000,     22.087000,          8.801033,                   109.169671,      0.964000
                1686072180,           2023-06-06 17:23:00,           2023-06-06 13:23:00,      3.530000,     22.071000,          8.817576,                   109.342233,      0.964000
                1686072480,           2023-06-06 17:28:00,           2023-06-06 13:28:00,      3.530000,     22.104000,          8.815899,                   109.388731,      0.964000
                1686072780,           2023-06-06 17:33:00,           2023-06-06 13:33:00,      3.530000,     22.112000,          8.821482,                   109.474330,      0.963000
                1686073080,           2023-06-06 17:38:00,           2023-06-06 13:38:00,      3.530000,     22.104000,          8.850996,                   109.824223,      0.965000
                1686073380,           2023-06-06 17:43:00,           2023-06-06 13:43:00,      3.530000,     22.121000,          8.852932,                   109.883050,      0.964000
                1686073680,           2023-06-06 17:48:00,           2023-06-06 13:48:00,      3.530000,     22.163000,          8.856844,                   110.017665,      0.964000
                1686073980,           2023-06-06 17:53:00,           2023-06-06 13:53:00,      3.530000,     22.163000,          8.879011,                   110.293025,      0.965000
                1686074280,           2023-06-06 17:58:00,           2023-06-06 13:58:00,      3.530000,     22.188000,          8.880988,                   110.368954,      0.964000
                1686074580,           2023-06-06 18:03:00,           2023-06-06 14:03:00,      3.530000,     22.230000,          8.882130,                   110.469465,      0.964000
                1686074880,           2023-06-06 18:08:00,           2023-06-06 14:08:00,      3.530000,     22.263000,          8.893385,                   110.677374,      0.964000
                1686075180,           2023-06-06 18:13:00,           2023-06-06 14:13:00,      3.530000,     22.263000,          8.919249,                   110.999244,      0.964000
                1686075480,           2023-06-06 18:18:00,           2023-06-06 14:18:00,      3.530000,     22.313000,          8.911195,                   111.002152,      0.964000
                1686075780,           2023-06-06 18:23:00,           2023-06-06 14:23:00,      3.530000,     22.330000,          8.930682,                   111.280034,      0.965000
                1686076080,           2023-06-06 18:28:00,           2023-06-06 14:28:00,      3.530000,     22.706000,          7.713958,                    96.791042,      0.964000
                1686076380,           2023-06-06 18:33:00,           2023-06-06 14:33:00,      3.530000,     24.827000,          7.448493,                    97.136449,      0.964000
                1686076680,           2023-06-06 18:38:00,           2023-06-06 14:38:00,      3.530000,     25.973000,          7.293969,                    97.078492,      0.964000
                1686076980,           2023-06-06 18:43:00,           2023-06-06 14:43:00,      3.530000,     26.608000,          7.211279,                    97.053963,      0.964000
                1686077280,           2023-06-06 18:48:00,           2023-06-06 14:48:00,      3.520000,     27.048000,          7.162032,                    97.133335,      0.965000
                1686077580,           2023-06-06 18:53:00,           2023-06-06 14:53:00,      3.520000,     27.286000,          7.137000,                    97.194453,      0.965000
                1686077880,           2023-06-06 18:58:00,           2023-06-06 14:58:00,      3.520000,     27.456000,          7.108923,                    97.097372,      0.965000
                1686078180,           2023-06-06 19:03:00,           2023-06-06 15:03:00,      3.530000,     27.626000,          7.078059,                    96.960078,      0.965000
                1686078480,           2023-06-06 19:08:00,           2023-06-06 15:08:00,      3.530000,     27.814000,          7.051887,                    96.914994,      0.965000
                1686078780,           2023-06-06 19:13:00,           2023-06-06 15:13:00,      3.530000,     27.873000,          7.040059,                    96.850698,      0.965000
                1686079080,           2023-06-06 19:18:00,           2023-06-06 15:18:00,      3.530000,     27.856000,          7.034437,                    96.745066,      0.965000
                1686079380,           2023-06-06 19:23:00,           2023-06-06 15:23:00,      3.530000,     27.729000,          7.054353,                    96.807082,      0.965000
                1686079680,           2023-06-06 19:28:00,           2023-06-06 15:28:00,      3.520000,     27.558000,          7.075953,                    96.817538,      0.965000
                1686079980,           2023-06-06 19:33:00,           2023-06-06 15:33:00,      3.520000,     27.218000,          7.102472,                    96.610288,      0.964000
                1686080280,           2023-06-06 19:38:00,           2023-06-06 15:38:00,      3.530000,     26.514000,          7.189619,                    96.603476,      0.965000
                1686080580,           2023-06-06 19:43:00,           2023-06-06 15:43:00,      3.530000,     26.032000,          7.236811,                    96.417970,      0.964000
                1686080880,           2023-06-06 19:48:00,           2023-06-06 15:48:00,      3.530000,     25.754000,          7.268111,                    96.360968,      0.964000
                1686081180,           2023-06-06 19:53:00,           2023-06-06 15:53:00,      3.530000,     25.610000,          7.306409,                    96.622100,      0.965000
                1686081480,           2023-06-06 19:58:00,           2023-06-06 15:58:00,      3.530000,     25.425000,          7.333430,                    96.661624,      0.965000
                1686081780,           2023-06-06 20:03:00,           2023-06-06 16:03:00,      3.530000,     25.172000,          7.364793,                    96.638914,      0.964000
                1686082080,           2023-06-06 20:08:00,           2023-06-06 16:08:00,      3.530000,     24.945000,          7.392549,                    96.610713,      0.965000
                1686082380,           2023-06-06 20:13:00,           2023-06-06 16:13:00,      3.530000,     24.769000,          7.411253,                    96.550379,      0.964000
                1686082680,           2023-06-06 20:18:00,           2023-06-06 16:18:00,      3.530000,     24.567000,          7.427993,                    96.418132,      0.964000
                1686082980,           2023-06-06 20:23:00,           2023-06-06 16:23:00,      3.530000,     24.416000,          7.444014,                    96.363816,      0.964000
                1686083280,           2023-06-06 20:28:00,           2023-06-06 16:28:00,      3.530000,     24.273000,          7.459138,                    96.310865,      0.964000
                1686083580,           2023-06-06 20:33:00,           2023-06-06 16:33:00,      3.530000,     24.307000,          7.462055,                    96.407676,      0.964000
                1686172080,           2023-06-07 21:08:00,           2023-06-07 17:08:00,      3.540000,     21.143000,          7.868419,                    95.886114,      0.960000
                1686172380,           2023-06-07 21:13:00,           2023-06-07 17:13:00,      3.540000,     21.193000,          7.859422,                    95.867084,      0.960000
                1686172680,           2023-06-07 21:18:00,           2023-06-07 17:18:00,      3.540000,     21.151000,          7.875841,                    95.991090,      0.960000
                1686172980,           2023-06-07 21:23:00,           2023-06-07 17:23:00,      3.540000,     21.093000,          7.879261,                    95.927419,      0.960000
                1686173280,           2023-06-07 21:28:00,           2023-06-07 17:28:00,      3.540000,     21.017000,          7.901978,                    96.065590,      0.960000
                1686173580,           2023-06-07 21:33:00,           2023-06-07 17:33:00,      3.540000,     20.959000,          7.898012,                    95.911821,      0.960000
                1686173880,           2023-06-07 21:38:00,           2023-06-07 17:38:00,      3.540000,     20.934000,          7.901586,                    95.909709,      0.960000
                1686174180,           2023-06-07 21:43:00,           2023-06-07 17:43:00,      3.540000,     20.884000,          7.926268,                    96.118016,      0.961000
                1686174480,           2023-06-07 21:48:00,           2023-06-07 17:48:00,      3.540000,     20.850000,          7.909494,                    95.852663,      0.960000
                1686174780,           2023-06-07 21:53:00,           2023-06-07 17:53:00,      3.540000,     20.833000,          7.909413,                    95.820719,      0.959000
                1686175080,           2023-06-07 21:58:00,           2023-06-07 17:58:00,      3.540000,     20.792000,          7.916602,                    95.833062,      0.959000
                1686175380,           2023-06-07 22:03:00,           2023-06-07 18:03:00,      3.540000,     20.775000,          7.920212,                    95.845768,      0.960000
                1686175680,           2023-06-07 22:08:00,           2023-06-07 18:08:00,      3.540000,     20.733000,          7.930164,                    95.889513,      0.960000
                1686175980,           2023-06-07 22:13:00,           2023-06-07 18:13:00,      3.540000,     20.741000,          7.922819,                    95.815293,      0.959000
