MiniDOT Logger Concatenated Data File
Sensor:             7450-249209
Concatenation Date: 2023Jun13 13:24:22 EDT

DO concentration compensated for salinity: 13.7 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1685997060,           2023-06-05 20:31:00,           2023-06-05 16:31:00,      3.530000,     28.522000,          9.809168,                   136.453940,      0.971000
                1685997360,           2023-06-05 20:36:00,           2023-06-05 16:36:00,      3.540000,     24.939000,         11.351979,                   148.339245,      0.976000
                1685997660,           2023-06-05 20:41:00,           2023-06-05 16:41:00,      3.550000,     24.393000,         11.577886,                   149.815274,      0.977000
                1685997960,           2023-06-05 20:46:00,           2023-06-05 16:46:00,      3.540000,     24.209000,         11.692283,                   150.793930,      0.978000
                1685998260,           2023-06-05 20:51:00,           2023-06-05 16:51:00,      3.540000,     24.125000,         11.769405,                   151.558164,      0.980000
                1685998560,           2023-06-05 20:56:00,           2023-06-05 16:56:00,      3.540000,     24.117000,         11.818360,                   152.166545,      0.978000
                1685998860,           2023-06-05 21:01:00,           2023-06-05 17:01:00,      3.540000,     24.150000,         11.921221,                   153.582592,      0.980000
                1685999160,           2023-06-05 21:06:00,           2023-06-05 17:06:00,      3.540000,     24.100000,         11.917187,                   153.391783,      0.979000
                1685999460,           2023-06-05 21:11:00,           2023-06-05 17:11:00,      3.540000,     24.050000,         11.932571,                   153.450798,      0.979000
                1685999760,           2023-06-05 21:16:00,           2023-06-05 17:16:00,      3.540000,     24.100000,         11.993010,                   154.367739,      0.979000
                1686000060,           2023-06-05 21:21:00,           2023-06-05 17:21:00,      3.540000,     24.066000,         12.002027,                   154.388733,      0.979000
                1686000360,           2023-06-05 21:26:00,           2023-06-05 17:26:00,      3.540000,     24.008000,         12.031223,                   154.601752,      0.980000
                1686000660,           2023-06-05 21:31:00,           2023-06-05 17:31:00,      3.540000,     23.983000,         12.044923,                   154.707662,      0.979000
                1686000960,           2023-06-05 21:36:00,           2023-06-05 17:36:00,      3.540000,     24.008000,         12.068208,                   155.077011,      0.980000
                1686001260,           2023-06-05 21:41:00,           2023-06-05 17:41:00,      3.540000,     23.966000,         12.036486,                   154.551644,      0.977000
