datetime,ph
6/8/23 8:00,3.54
6/8/23 8:05,3.54
6/8/23 8:10,3.54
6/8/23 8:15,3.54
6/8/23 8:20,3.54
6/8/23 8:25,3.54
6/8/23 8:30,3.55
6/8/23 8:35,3.55
6/8/23 8:40,3.55
6/8/23 8:45,3.55
6/8/23 8:50,3.55
6/8/23 8:55,3.55
6/8/23 9:00,3.56
6/8/23 9:05,3.56
6/8/23 9:10,3.56
6/8/23 9:15,3.57
6/8/23 9:20,3.57
6/8/23 9:25,3.58
6/8/23 9:30,3.58
6/8/23 9:35,3.59
6/8/23 9:40,3.59
6/8/23 9:45,3.6
6/8/23 9:50,6.06
6/8/23 9:55,7.79
6/8/23 10:00,7.82
6/8/23 10:05,7.81
6/8/23 10:10,7.82
6/8/23 10:15,7.82
6/8/23 10:20,7.83
6/8/23 10:25,7.82
6/8/23 10:30,7.83
6/8/23 10:35,7.81
6/8/23 10:40,7.81
6/8/23 10:45,7.81
6/8/23 10:50,7.8
6/8/23 10:55,7.81
6/8/23 11:00,7.81
6/8/23 11:05,7.82
6/8/23 11:10,7.81
6/8/23 11:15,7.81
6/8/23 11:20,7.81
6/8/23 11:25,7.82
6/8/23 11:30,7.81
6/8/23 11:35,7.81
6/8/23 11:40,7.81
6/8/23 11:45,7.81
6/8/23 11:50,7.81
6/8/23 11:55,7.8
6/8/23 12:00,7.8
6/8/23 12:05,7.8
6/8/23 12:10,7.81
6/8/23 12:15,7.82
6/8/23 12:20,7.83
6/8/23 12:25,7.83
6/8/23 12:30,7.83
6/8/23 12:35,7.83
6/8/23 12:40,7.82
6/8/23 12:45,7.82
6/8/23 12:50,7.82
6/8/23 12:55,7.82
6/8/23 13:00,7.82
6/8/23 13:05,7.82
6/8/23 13:10,7.82
6/8/23 13:15,7.82
6/8/23 13:20,7.82
6/8/23 13:25,7.82
6/8/23 13:30,7.82
6/8/23 13:35,7.82
6/8/23 13:40,7.82
6/8/23 13:45,7.82
6/8/23 13:50,7.82
6/8/23 13:55,7.82
6/8/23 14:00,7.7
6/8/23 14:05,7.69
6/8/23 14:10,7.68
6/8/23 14:15,7.68
6/8/23 14:20,7.68
6/8/23 14:25,7.67
6/8/23 14:30,7.66
6/8/23 14:35,7.65
6/8/23 14:40,7.65
6/8/23 14:45,7.65
6/8/23 14:50,7.65
6/8/23 14:55,7.65
6/8/23 15:00,7.66
6/8/23 15:05,7.66
6/8/23 15:10,7.66
6/8/23 15:15,7.65
6/8/23 15:20,7.65
6/8/23 15:25,7.65
6/8/23 15:30,7.65
6/8/23 15:35,7.64
6/8/23 15:40,7.64
6/8/23 15:45,7.63
6/8/23 15:50,7.63
6/8/23 15:55,7.63
6/8/23 16:00,7.63
6/8/23 16:05,7.62
6/8/23 16:10,7.62
6/8/23 16:15,7.62
6/8/23 16:20,7.62
6/8/23 16:25,7.62
6/8/23 16:30,7.61
6/8/23 16:35,7.61
6/8/23 16:40,7.61
6/8/23 16:45,7.61
6/8/23 16:50,7.6
6/8/23 16:55,7.6
6/8/23 17:00,7.6
6/8/23 17:05,7.6
6/8/23 17:10,7.6
6/8/23 17:15,7.59
6/8/23 17:20,7.59
6/8/23 17:25,7.59
6/8/23 17:30,7.59
6/8/23 17:35,7.59
6/8/23 17:40,7.59
6/8/23 17:45,7.59
6/8/23 17:50,7.59
6/8/23 17:55,7.59
6/8/23 18:00,7.59
6/8/23 18:05,7.59
6/8/23 18:10,7.59
6/8/23 18:15,7.59
6/8/23 18:20,7.58
6/8/23 18:25,7.58
6/8/23 18:30,7.58
6/8/23 18:35,7.58
6/8/23 18:40,7.58
6/8/23 18:45,7.58
6/8/23 18:50,7.58
6/8/23 18:55,7.58
6/8/23 19:00,7.57
6/8/23 19:05,7.57
6/8/23 19:10,7.57
6/8/23 19:15,7.57
6/8/23 19:20,7.57
6/8/23 19:25,7.56
6/8/23 19:30,7.56
6/8/23 19:35,7.56
6/8/23 19:40,7.56
6/8/23 19:45,7.56
6/8/23 19:50,7.56
6/8/23 19:55,7.56
6/8/23 20:00,7.56
6/8/23 20:05,7.56
6/8/23 20:10,7.56
6/8/23 20:15,7.56
6/8/23 20:20,7.56
6/8/23 20:25,7.56
6/8/23 20:30,7.56
6/8/23 20:35,7.56
6/8/23 20:40,7.56
6/8/23 20:45,7.56
6/8/23 20:50,7.56
6/8/23 20:55,7.56
6/8/23 21:00,7.56
6/8/23 21:05,7.56
6/8/23 21:10,7.55
6/8/23 21:15,7.55
6/8/23 21:20,7.55
6/8/23 21:25,7.55
6/8/23 21:30,7.55
6/8/23 21:35,7.55
6/8/23 21:40,7.55
6/8/23 21:45,7.55
6/8/23 21:50,7.55
6/8/23 21:55,7.55
6/8/23 22:00,7.54
6/8/23 22:05,7.54
6/8/23 22:10,7.54
6/8/23 22:15,7.54
6/8/23 22:20,7.54
6/8/23 22:25,7.54
6/8/23 22:30,7.54
6/8/23 22:35,7.54
6/8/23 22:40,7.54
6/8/23 22:45,7.54
6/8/23 22:50,7.54
6/8/23 22:55,7.54
6/8/23 23:00,7.54
6/8/23 23:05,7.54
6/8/23 23:10,7.54
6/8/23 23:15,7.54
6/8/23 23:20,7.54
6/8/23 23:25,7.54
6/8/23 23:30,7.54
6/8/23 23:35,7.54
6/8/23 23:40,7.54
6/8/23 23:45,7.54
6/8/23 23:50,7.54
6/8/23 23:55,7.54
6/9/23 0:00,7.54
6/9/23 0:05,7.54
6/9/23 0:10,7.54
6/9/23 0:15,7.54
6/9/23 0:20,7.54
6/9/23 0:25,7.54
