MiniDOT Logger Concatenated Data File
Sensor:             7450-137738
Concatenation Date: 2023Aug03 13:09:28 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690884000,           2023-08-01 10:00:00,           2023-08-01 06:00:00,      3.540000,     20.396000,          8.833000,                    97.915709,      0.924000
                1690884300,           2023-08-01 10:05:00,           2023-08-01 06:05:00,      3.540000,     20.730000,          8.776000,                    97.925844,      0.924000
                1690884600,           2023-08-01 10:10:00,           2023-08-01 06:10:00,      3.540000,     20.755000,          8.773000,                    97.940440,      0.924000
                1690884900,           2023-08-01 10:15:00,           2023-08-01 06:15:00,      3.540000,     20.747000,          8.774000,                    97.936219,      0.924000
                1690885200,           2023-08-01 10:20:00,           2023-08-01 06:20:00,      3.540000,     20.672000,          8.799000,                    98.070650,      0.925000
                1690885500,           2023-08-01 10:25:00,           2023-08-01 06:25:00,      3.540000,     20.647000,          8.796000,                    97.989032,      0.924000
                1690885800,           2023-08-01 10:30:00,           2023-08-01 06:30:00,      3.540000,     20.622000,          8.802000,                    98.007664,      0.924000
                1690886100,           2023-08-01 10:35:00,           2023-08-01 06:35:00,      3.540000,     20.563000,          8.813000,                    98.016249,      0.924000
                1690886400,           2023-08-01 10:40:00,           2023-08-01 06:40:00,      3.540000,     20.463000,          8.838000,                    98.100760,      0.925000
                1690886700,           2023-08-01 10:45:00,           2023-08-01 06:45:00,      3.540000,     20.320000,          8.855000,                    98.012306,      0.924000
                1690887000,           2023-08-01 10:50:00,           2023-08-01 06:50:00,      3.540000,     20.253000,          8.870000,                    98.048314,      0.924000
                1690887300,           2023-08-01 10:55:00,           2023-08-01 06:55:00,      3.540000,     20.178000,          8.901000,                    98.244972,      0.924000
                1690887600,           2023-08-01 11:00:00,           2023-08-01 07:00:00,      3.540000,     20.128000,          8.913000,                    98.279972,      0.925000
                1690887900,           2023-08-01 11:05:00,           2023-08-01 07:05:00,      3.540000,     20.119000,          8.928000,                    98.427803,      0.924000
                1690888200,           2023-08-01 11:10:00,           2023-08-01 07:10:00,      3.540000,     20.102000,          8.937000,                    98.493808,      0.925000
                1690888500,           2023-08-01 11:15:00,           2023-08-01 07:15:00,      3.540000,     20.094000,          8.932000,                    98.423081,      0.924000
                1690888800,           2023-08-01 11:20:00,           2023-08-01 07:20:00,      3.540000,     20.463000,          8.879000,                    98.555855,      0.925000
                1690889100,           2023-08-01 11:25:00,           2023-08-01 07:25:00,      3.540000,     20.722000,          8.834000,                    98.557541,      0.924000
                1690889400,           2023-08-01 11:30:00,           2023-08-01 07:30:00,      3.530000,     20.764000,          8.828000,                    98.571867,      0.924000
                1690889700,           2023-08-01 11:35:00,           2023-08-01 07:35:00,      3.530000,     20.806000,          8.839000,                    98.776071,      0.925000
                1690890000,           2023-08-01 11:40:00,           2023-08-01 07:40:00,      3.530000,     20.873000,          8.817000,                    98.659746,      0.925000
                1690890300,           2023-08-01 11:45:00,           2023-08-01 07:45:00,      3.530000,     20.948000,          8.808000,                    98.703921,      0.924000
                1690890600,           2023-08-01 11:50:00,           2023-08-01 07:50:00,      3.540000,     21.157000,          8.768000,                    98.657807,      0.924000
                1690890900,           2023-08-01 11:55:00,           2023-08-01 07:55:00,      3.540000,     21.483000,          8.715000,                    98.685564,      0.924000
                1690891200,           2023-08-01 12:00:00,           2023-08-01 08:00:00,      3.530000,     21.843000,          8.641000,                    98.531893,      0.923000
                1690891500,           2023-08-01 12:05:00,           2023-08-01 08:05:00,      3.530000,     22.144000,          8.603000,                    98.668946,      0.924000
                1690891800,           2023-08-01 12:10:00,           2023-08-01 08:10:00,      3.540000,     22.445000,          8.562000,                    98.767032,      0.924000
                1690892100,           2023-08-01 12:15:00,           2023-08-01 08:15:00,      3.530000,     22.830000,          8.489000,                    98.646647,      0.924000
                1690892400,           2023-08-01 12:20:00,           2023-08-01 08:20:00,      3.530000,     23.224000,          8.440000,                    98.812702,      0.924000
                1690892700,           2023-08-01 12:25:00,           2023-08-01 08:25:00,      3.530000,     23.709000,          8.356000,                    98.727165,      0.924000
                1690893000,           2023-08-01 12:30:00,           2023-08-01 08:30:00,      3.530000,     24.213000,          8.279000,                    98.743752,      0.924000
                1690893300,           2023-08-01 12:35:00,           2023-08-01 08:35:00,      3.530000,     24.683000,          8.205000,                    98.719015,      0.923000
                1690893600,           2023-08-01 12:40:00,           2023-08-01 08:40:00,      3.530000,     25.196000,          8.128000,                    98.722059,      0.923000
                1690893900,           2023-08-01 12:45:00,           2023-08-01 08:45:00,      3.530000,     25.600000,          8.077000,                    98.831431,      0.923000
                1690894200,           2023-08-01 12:50:00,           2023-08-01 08:50:00,      3.530000,     25.997000,          8.023000,                    98.883312,      0.923000
                1690894500,           2023-08-01 12:55:00,           2023-08-01 08:55:00,      3.530000,     26.411000,          7.978000,                    99.068990,      0.924000
                1690894800,           2023-08-01 13:00:00,           2023-08-01 09:00:00,      3.530000,     26.800000,          7.916000,                    98.990524,      0.923000
                1690895100,           2023-08-01 13:05:00,           2023-08-01 09:05:00,      3.530000,     27.165000,          7.880000,                    99.187279,      0.924000
                1690895400,           2023-08-01 13:10:00,           2023-08-01 09:10:00,      3.530000,     27.369000,          7.860000,                    99.296669,      0.924000
                1690895700,           2023-08-01 13:15:00,           2023-08-01 09:15:00,      3.530000,     26.995000,          5.267000,                    66.095389,      0.924000
                1690896000,           2023-08-01 13:20:00,           2023-08-01 09:20:00,      3.530000,     27.020000,          5.268000,                    66.137564,      0.925000
                1690896300,           2023-08-01 13:25:00,           2023-08-01 09:25:00,      3.530000,     27.037000,          5.282000,                    66.333530,      0.924000
                1690896600,           2023-08-01 13:30:00,           2023-08-01 09:30:00,      3.530000,     27.012000,          5.274000,                    66.203400,      0.924000
                1690896900,           2023-08-01 13:35:00,           2023-08-01 09:35:00,      3.530000,     27.063000,          5.254000,                    66.012630,      0.924000
                1690897200,           2023-08-01 13:40:00,           2023-08-01 09:40:00,      3.530000,     27.097000,          5.242000,                    65.901965,      0.924000
                1690897500,           2023-08-01 13:45:00,           2023-08-01 09:45:00,      3.530000,     27.131000,          5.233000,                    65.828862,      0.924000
                1690897800,           2023-08-01 13:50:00,           2023-08-01 09:50:00,      3.530000,     27.182000,          5.209000,                    65.586755,      0.925000
                1690898100,           2023-08-01 13:55:00,           2023-08-01 09:55:00,      3.530000,     27.199000,          5.140000,                    64.737646,      0.925000
                1690898400,           2023-08-01 14:00:00,           2023-08-01 10:00:00,      3.530000,     27.250000,          5.121000,                    64.557154,      0.925000
                1690898700,           2023-08-01 14:05:00,           2023-08-01 10:05:00,      3.530000,     27.292000,          5.091000,                    64.227122,      0.925000
                1690899000,           2023-08-01 14:10:00,           2023-08-01 10:10:00,      3.530000,     27.318000,          5.071000,                    64.004506,      0.925000
                1690899300,           2023-08-01 14:15:00,           2023-08-01 10:15:00,      3.530000,     27.343000,          5.068000,                    63.995185,      0.925000
                1690899600,           2023-08-01 14:20:00,           2023-08-01 10:20:00,      3.530000,     27.343000,          5.039000,                    63.628994,      0.925000
                1690899900,           2023-08-01 14:25:00,           2023-08-01 10:25:00,      3.530000,     27.369000,          5.034000,                    63.595348,      0.925000
                1690900200,           2023-08-01 14:30:00,           2023-08-01 10:30:00,      3.530000,     27.420000,          5.026000,                    63.552048,      0.925000
                1690900500,           2023-08-01 14:35:00,           2023-08-01 10:35:00,      3.530000,     27.428000,          5.017000,                    63.447292,      0.925000
                1690900800,           2023-08-01 14:40:00,           2023-08-01 10:40:00,      3.530000,     27.454000,          5.011000,                    63.400781,      0.925000
                1690901100,           2023-08-01 14:45:00,           2023-08-01 10:45:00,      3.530000,     27.479000,          4.997000,                    63.251811,      0.925000
                1690901400,           2023-08-01 14:50:00,           2023-08-01 10:50:00,      3.530000,     27.488000,          4.977000,                    63.008751,      0.925000
                1690901700,           2023-08-01 14:55:00,           2023-08-01 10:55:00,      3.530000,     27.488000,          4.959000,                    62.780871,      0.925000
                1690902000,           2023-08-01 15:00:00,           2023-08-01 11:00:00,      3.530000,     27.522000,          4.943000,                    62.616205,      0.925000
                1690902300,           2023-08-01 15:05:00,           2023-08-01 11:05:00,      3.530000,     27.530000,          4.929000,                    62.447750,      0.925000
                1690902600,           2023-08-01 15:10:00,           2023-08-01 11:10:00,      3.530000,     27.539000,          4.921000,                    62.356382,      0.926000
                1690902900,           2023-08-01 15:15:00,           2023-08-01 11:15:00,      3.530000,     27.556000,          4.880000,                    61.855561,      0.925000
                1690903200,           2023-08-01 15:20:00,           2023-08-01 11:20:00,      3.530000,     27.564000,          4.866000,                    61.686886,      0.924000
                1690903500,           2023-08-01 15:25:00,           2023-08-01 11:25:00,      3.530000,     27.590000,          4.843000,                    61.423713,      0.925000
                1690903800,           2023-08-01 15:30:00,           2023-08-01 11:30:00,      3.530000,     27.607000,          4.821000,                    61.163175,      0.924000
                1690904100,           2023-08-01 15:35:00,           2023-08-01 11:35:00,      3.530000,     27.615000,          4.822000,                    61.184564,      0.926000
                1690904400,           2023-08-01 15:40:00,           2023-08-01 11:40:00,      3.530000,     27.624000,          4.809000,                    61.029376,      0.925000
                1690904700,           2023-08-01 15:45:00,           2023-08-01 11:45:00,      3.530000,     27.649000,          4.795000,                    60.878753,      0.925000
                1690905000,           2023-08-01 15:50:00,           2023-08-01 11:50:00,      3.530000,     27.675000,          4.786000,                    60.792565,      0.925000
                1690905300,           2023-08-01 15:55:00,           2023-08-01 11:55:00,      3.530000,     27.700000,          4.776000,                    60.692488,      0.926000
                1690905600,           2023-08-01 16:00:00,           2023-08-01 12:00:00,      3.530000,     27.700000,          4.763000,                    60.527287,      0.925000
                1690905900,           2023-08-01 16:05:00,           2023-08-01 12:05:00,      3.530000,     27.726000,          4.757000,                    60.478955,      0.925000
                1690906200,           2023-08-01 16:10:00,           2023-08-01 12:10:00,      3.530000,     27.760000,          4.745000,                    60.362808,      0.925000
                1690906500,           2023-08-01 16:15:00,           2023-08-01 12:15:00,      3.530000,     27.785000,          4.742000,                    60.351409,      0.926000
                1690906800,           2023-08-01 16:20:00,           2023-08-01 12:20:00,      3.530000,     27.853000,          4.847000,                    61.762171,      0.925000
                1690907100,           2023-08-01 16:25:00,           2023-08-01 12:25:00,      3.530000,     27.896000,          7.872000,                   100.384238,      0.926000
                1690907400,           2023-08-01 16:30:00,           2023-08-01 12:30:00,      3.530000,     27.956000,          7.763000,                    99.099497,      0.927000
                1690907700,           2023-08-01 16:35:00,           2023-08-01 12:35:00,      3.530000,     28.434000,          7.715000,                    99.321026,      0.927000
                1690908000,           2023-08-01 16:40:00,           2023-08-01 12:40:00,      3.530000,     28.716000,          7.668000,                    99.206073,      0.926000
                1690908300,           2023-08-01 16:45:00,           2023-08-01 12:45:00,      3.530000,     29.119000,          7.615000,                    99.217154,      0.927000
                1690908600,           2023-08-01 16:50:00,           2023-08-01 12:50:00,      3.530000,     29.368000,          7.574000,                    99.111877,      0.926000
                1690908900,           2023-08-01 16:55:00,           2023-08-01 12:55:00,      3.530000,     29.557000,          7.538000,                    98.965178,      0.926000
                1690909200,           2023-08-01 17:00:00,           2023-08-01 13:00:00,      3.530000,     29.600000,          7.565000,                    99.393770,      0.927000
                1690909500,           2023-08-01 17:05:00,           2023-08-01 13:05:00,      3.530000,     29.445000,          7.582000,                    99.349455,      0.927000
                1690909800,           2023-08-01 17:10:00,           2023-08-01 13:10:00,      3.530000,     29.222000,          7.587000,                    99.029999,      0.927000
                1690910100,           2023-08-01 17:15:00,           2023-08-01 13:15:00,      3.530000,     28.939000,          7.621000,                    98.983691,      0.927000
