MiniDOT Logger Concatenated Data File
Sensor:             7450-566774
Concatenation Date: 2023Aug03 13:42:39 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690884000,           2023-08-01 10:00:00,           2023-08-01 06:00:00,      3.480000,     20.359000,          8.899000,                    98.575270,      0.905000
                1690884300,           2023-08-01 10:05:00,           2023-08-01 06:05:00,      3.480000,     20.434000,          8.888000,                    98.599326,      0.905000
                1690884600,           2023-08-01 10:10:00,           2023-08-01 06:10:00,      3.480000,     20.451000,          8.896000,                    98.721182,      0.905000
                1690884900,           2023-08-01 10:15:00,           2023-08-01 06:15:00,      3.480000,     20.434000,          8.898000,                    98.710262,      0.905000
                1690885200,           2023-08-01 10:20:00,           2023-08-01 06:20:00,      3.480000,     20.442000,          8.900000,                    98.748035,      0.906000
                1690885500,           2023-08-01 10:25:00,           2023-08-01 06:25:00,      3.480000,     20.459000,          8.888000,                    98.647971,      0.905000
                1690885800,           2023-08-01 10:30:00,           2023-08-01 06:30:00,      3.480000,     20.442000,          8.915000,                    98.914465,      0.905000
                1690886100,           2023-08-01 10:35:00,           2023-08-01 06:35:00,      3.480000,     20.392000,          8.916000,                    98.827976,      0.905000
                1690886400,           2023-08-01 10:40:00,           2023-08-01 06:40:00,      3.480000,     20.317000,          8.940000,                    98.947267,      0.906000
                1690886700,           2023-08-01 10:45:00,           2023-08-01 06:45:00,      3.480000,     20.250000,          8.932000,                    98.727795,      0.905000
                1690887000,           2023-08-01 10:50:00,           2023-08-01 06:50:00,      3.480000,     20.174000,          8.961000,                    98.899384,      0.905000
                1690887300,           2023-08-01 10:55:00,           2023-08-01 06:55:00,      3.480000,     20.149000,          8.984000,                    99.104113,      0.905000
                1690887600,           2023-08-01 11:00:00,           2023-08-01 07:00:00,      3.480000,     20.132000,          8.971000,                    98.927360,      0.905000
                1690887900,           2023-08-01 11:05:00,           2023-08-01 07:05:00,      3.480000,     20.124000,          8.991000,                    99.132183,      0.905000
                1690888200,           2023-08-01 11:10:00,           2023-08-01 07:10:00,      3.480000,     20.107000,          9.012000,                    99.330227,      0.906000
                1690888500,           2023-08-01 11:15:00,           2023-08-01 07:15:00,      3.480000,     20.116000,          9.000000,                    99.215672,      0.905000
                1690888800,           2023-08-01 11:20:00,           2023-08-01 07:20:00,      3.480000,     20.585000,          8.944000,                    99.516300,      0.905000
                1690889100,           2023-08-01 11:25:00,           2023-08-01 07:25:00,      3.480000,     20.702000,          8.936000,                    99.656349,      0.905000
                1690889400,           2023-08-01 11:30:00,           2023-08-01 07:30:00,      3.480000,     20.702000,          8.941000,                    99.712111,      0.906000
                1690889700,           2023-08-01 11:35:00,           2023-08-01 07:35:00,      3.470000,     20.710000,          8.930000,                    99.605092,      0.905000
                1690890000,           2023-08-01 11:40:00,           2023-08-01 07:40:00,      3.480000,     20.710000,          8.924000,                    99.538168,      0.905000
                1690890300,           2023-08-01 11:45:00,           2023-08-01 07:45:00,      3.470000,     20.769000,          8.926000,                    99.675900,      0.905000
                1690890600,           2023-08-01 11:50:00,           2023-08-01 07:50:00,      3.470000,     20.961000,          8.887000,                    99.614551,      0.905000
                1690890900,           2023-08-01 11:55:00,           2023-08-01 07:55:00,      3.480000,     21.179000,          8.857000,                    99.702017,      0.905000
                1690891200,           2023-08-01 12:00:00,           2023-08-01 08:00:00,      3.480000,     21.463000,          8.807000,                    99.688623,      0.905000
                1690891500,           2023-08-01 12:05:00,           2023-08-01 08:05:00,      3.470000,     21.681000,          8.776000,                    99.758418,      0.905000
                1690891800,           2023-08-01 12:10:00,           2023-08-01 08:10:00,      3.470000,     21.940000,          8.747000,                    99.927399,      0.905000
                1690892100,           2023-08-01 12:15:00,           2023-08-01 08:15:00,      3.470000,     22.149000,          8.708000,                    99.882801,      0.905000
                1690892400,           2023-08-01 12:20:00,           2023-08-01 08:20:00,      3.480000,     22.367000,          8.678000,                    99.955817,      0.905000
                1690892700,           2023-08-01 12:25:00,           2023-08-01 08:25:00,      3.470000,     22.651000,          8.633000,                    99.978623,      0.905000
                1690893000,           2023-08-01 12:30:00,           2023-08-01 08:30:00,      3.470000,     22.928000,          8.580000,                    99.889971,      0.904000
                1690893300,           2023-08-01 12:35:00,           2023-08-01 08:35:00,      3.470000,     23.246000,          8.537000,                    99.989919,      0.905000
                1690893600,           2023-08-01 12:40:00,           2023-08-01 08:40:00,      3.480000,     23.581000,          8.483000,                    99.986937,      0.904000
                1690893900,           2023-08-01 12:45:00,           2023-08-01 08:45:00,      3.470000,     23.900000,          8.446000,                   100.148436,      0.905000
                1690894200,           2023-08-01 12:50:00,           2023-08-01 08:50:00,      3.470000,     24.286000,          8.383000,                   100.120182,      0.904000
                1690894500,           2023-08-01 12:55:00,           2023-08-01 08:55:00,      3.470000,     24.774000,          8.315000,                   100.211008,      0.904000
                1690894800,           2023-08-01 13:00:00,           2023-08-01 09:00:00,      3.470000,     25.245000,          8.239000,                   100.160356,      0.904000
                1690895100,           2023-08-01 13:05:00,           2023-08-01 09:05:00,      3.470000,     25.709000,          8.187000,                   100.376942,      0.904000
                1690895400,           2023-08-01 13:10:00,           2023-08-01 09:10:00,      3.470000,     25.852000,          8.172000,                   100.454472,      0.904000
                1690895700,           2023-08-01 13:15:00,           2023-08-01 09:15:00,      3.470000,     25.878000,          8.176000,                   100.551217,      0.904000
                1690896000,           2023-08-01 13:20:00,           2023-08-01 09:20:00,      3.470000,     26.173000,          8.160000,                   100.893561,      0.906000
                1690896300,           2023-08-01 13:25:00,           2023-08-01 09:25:00,      3.470000,     26.613000,          8.107000,                   101.038440,      0.906000
                1690896600,           2023-08-01 13:30:00,           2023-08-01 09:30:00,      3.470000,     27.156000,          8.037000,                   101.147189,      0.905000
                1690896900,           2023-08-01 13:35:00,           2023-08-01 09:35:00,      3.470000,     27.599000,          7.991000,                   101.365984,      0.905000
