MiniDOT Logger Concatenated Data File
Sensor:             7450-233512
Concatenation Date: 2023Aug03 13:17:41 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690883820,           2023-08-01 09:57:00,           2023-08-01 05:57:00,      3.530000,     20.619000,          8.854000,                    98.580850,      0.946000
                1690884120,           2023-08-01 10:02:00,           2023-08-01 06:02:00,      3.530000,     20.887000,          8.817000,                    98.686815,      0.946000
                1690884420,           2023-08-01 10:07:00,           2023-08-01 06:07:00,      3.530000,     20.853000,          8.842000,                    98.900711,      0.946000
                1690884720,           2023-08-01 10:12:00,           2023-08-01 06:12:00,      3.530000,     20.795000,          8.841000,                    98.777101,      0.945000
                1690885020,           2023-08-01 10:17:00,           2023-08-01 06:17:00,      3.530000,     20.753000,          8.849000,                    98.785013,      0.946000
                1690885320,           2023-08-01 10:22:00,           2023-08-01 06:22:00,      3.530000,     20.702000,          8.865000,                    98.864541,      0.946000
                1690885620,           2023-08-01 10:27:00,           2023-08-01 06:27:00,      3.530000,     20.694000,          8.866000,                    98.860150,      0.946000
                1690885920,           2023-08-01 10:32:00,           2023-08-01 06:32:00,      3.530000,     20.644000,          8.871000,                    98.818715,      0.945000
                1690886220,           2023-08-01 10:37:00,           2023-08-01 06:37:00,      3.530000,     20.552000,          8.905000,                    99.017999,      0.946000
                1690886520,           2023-08-01 10:42:00,           2023-08-01 06:42:00,      3.530000,     20.468000,          8.915000,                    98.965210,      0.946000
                1690886820,           2023-08-01 10:47:00,           2023-08-01 06:47:00,      3.530000,     20.393000,          8.922000,                    98.896435,      0.946000
                1690887120,           2023-08-01 10:52:00,           2023-08-01 06:52:00,      3.530000,     20.334000,          8.940000,                    98.980523,      0.945000
                1690887420,           2023-08-01 10:57:00,           2023-08-01 06:57:00,      3.530000,     20.309000,          8.948000,                    99.020147,      0.946000
                1690887720,           2023-08-01 11:02:00,           2023-08-01 07:02:00,      3.530000,     20.275000,          8.974000,                    99.241112,      0.946000
                1690888020,           2023-08-01 11:07:00,           2023-08-01 07:07:00,      3.530000,     20.250000,          8.986000,                    99.324672,      0.946000
                1690888320,           2023-08-01 11:12:00,           2023-08-01 07:12:00,      3.530000,     20.242000,          8.983000,                    99.275792,      0.946000
                1690888620,           2023-08-01 11:17:00,           2023-08-01 07:17:00,      3.530000,     20.393000,          8.966000,                    99.384156,      0.946000
                1690888920,           2023-08-01 11:22:00,           2023-08-01 07:22:00,      3.530000,     20.669000,          8.943000,                    99.669747,      0.947000
                1690889220,           2023-08-01 11:27:00,           2023-08-01 07:27:00,      3.530000,     20.702000,          8.926000,                    99.544827,      0.945000
                1690889520,           2023-08-01 11:32:00,           2023-08-01 07:32:00,      3.530000,     20.694000,          8.946000,                    99.752189,      0.947000
                1690889820,           2023-08-01 11:37:00,           2023-08-01 07:37:00,      3.530000,     20.694000,          8.941000,                    99.696436,      0.946000
                1690890120,           2023-08-01 11:42:00,           2023-08-01 07:42:00,      3.530000,     20.736000,          8.935000,                    99.711775,      0.946000
                1690890420,           2023-08-01 11:47:00,           2023-08-01 07:47:00,      3.530000,     20.845000,          8.915000,                    99.701602,      0.946000
                1690890720,           2023-08-01 11:52:00,           2023-08-01 07:52:00,      3.530000,     21.104000,          8.878000,                    99.792244,      0.946000
                1690891020,           2023-08-01 11:57:00,           2023-08-01 07:57:00,      3.530000,     21.372000,          8.831000,                    99.783682,      0.946000
                1690891320,           2023-08-01 12:02:00,           2023-08-01 08:02:00,      3.530000,     21.623000,          8.787000,                    99.771354,      0.946000
                1690891620,           2023-08-01 12:07:00,           2023-08-01 08:07:00,      3.530000,     21.857000,          8.747000,                    99.767551,      0.946000
                1690891920,           2023-08-01 12:12:00,           2023-08-01 08:12:00,      3.520000,     22.134000,          8.700000,                    99.762278,      0.946000
                1690892220,           2023-08-01 12:17:00,           2023-08-01 08:17:00,      3.530000,     22.401000,          8.656000,                    99.767338,      0.945000
                1690892520,           2023-08-01 12:22:00,           2023-08-01 08:22:00,      3.530000,     22.736000,          8.601000,                    99.769508,      0.945000
                1690892820,           2023-08-01 12:27:00,           2023-08-01 08:27:00,      3.520000,     23.071000,          8.544000,                    99.741042,      0.945000
                1690893120,           2023-08-01 12:32:00,           2023-08-01 08:32:00,      3.530000,     23.415000,          8.493000,                    99.792401,      0.945000
                1690893420,           2023-08-01 12:37:00,           2023-08-01 08:37:00,      3.530000,     23.758000,          8.430000,                    99.693104,      0.944000
                1690893720,           2023-08-01 12:42:00,           2023-08-01 08:42:00,      3.520000,     24.094000,          8.392000,                    99.869622,      0.945000
                1690894020,           2023-08-01 12:47:00,           2023-08-01 08:47:00,      3.530000,     24.438000,          8.337000,                    99.852592,      0.945000
                1690894320,           2023-08-01 12:52:00,           2023-08-01 08:52:00,      3.520000,     25.035000,          8.254000,                    99.955996,      0.945000
                1690894620,           2023-08-01 12:57:00,           2023-08-01 08:57:00,      3.520000,     25.718000,          8.160000,                   100.062333,      0.945000
                1690894920,           2023-08-01 13:02:00,           2023-08-01 09:02:00,      3.520000,     26.318000,          8.071000,                   100.055484,      0.945000
                1690895220,           2023-08-01 13:07:00,           2023-08-01 09:07:00,      3.520000,     27.029000,          7.984000,                   100.251988,      0.946000
                1690895520,           2023-08-01 13:12:00,           2023-08-01 09:12:00,      3.510000,     28.622000,          7.779000,                   100.476341,      0.946000
                1690895820,           2023-08-01 13:17:00,           2023-08-01 09:17:00,      3.510000,     30.750000,          7.510000,                   100.645250,      0.946000
                1690896120,           2023-08-01 13:22:00,           2023-08-01 09:22:00,      3.510000,     32.538000,          7.269000,                   100.411877,      0.943000
                1690896420,           2023-08-01 13:27:00,           2023-08-01 09:27:00,      3.510000,     33.763000,          7.116000,                   100.327588,      0.941000
                1690896720,           2023-08-01 13:32:00,           2023-08-01 09:32:00,      3.510000,     34.803000,          6.990000,                   100.256978,      0.939000
                1690897020,           2023-08-01 13:37:00,           2023-08-01 09:37:00,      3.510000,     35.536000,          6.887000,                    99.972243,      0.936000
                1690897320,           2023-08-01 13:42:00,           2023-08-01 09:42:00,      3.510000,     36.301000,          6.781000,                    99.666476,      0.933000
                1690897620,           2023-08-01 13:47:00,           2023-08-01 09:47:00,      3.500000,     36.481000,          6.802000,                   100.267294,      0.932000
                1690897920,           2023-08-01 13:52:00,           2023-08-01 09:52:00,      3.500000,     36.481000,          6.875000,                   101.343377,      0.932000
                1690898220,           2023-08-01 13:57:00,           2023-08-01 09:57:00,      3.510000,     36.490000,          6.954000,                   102.522851,      0.935000
                1690898520,           2023-08-01 14:02:00,           2023-08-01 10:02:00,      3.510000,     36.481000,          6.976000,                   102.832203,      0.933000
                1690898820,           2023-08-01 14:07:00,           2023-08-01 10:07:00,      3.510000,     36.490000,          7.004000,                   103.260001,      0.933000
                1690899120,           2023-08-01 14:12:00,           2023-08-01 10:12:00,      3.510000,     36.490000,          7.034000,                   103.702291,      0.934000
