MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023Aug03 12:52:41 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690883820,           2023-08-01 09:57:00,           2023-08-01 05:57:00,      3.550000,     20.407000,          8.840000,                    98.014590,      0.954000
                1690884120,           2023-08-01 10:02:00,           2023-08-01 06:02:00,      3.540000,     20.825000,          8.750000,                    97.817942,      0.954000
                1690884420,           2023-08-01 10:07:00,           2023-08-01 06:07:00,      3.540000,     20.850000,          8.758000,                    97.955382,      0.954000
                1690884720,           2023-08-01 10:12:00,           2023-08-01 06:12:00,      3.540000,     20.800000,          8.769000,                    97.982285,      0.954000
                1690885020,           2023-08-01 10:17:00,           2023-08-01 06:17:00,      3.540000,     20.741000,          8.795000,                    98.159057,      0.954000
                1690885320,           2023-08-01 10:22:00,           2023-08-01 06:22:00,      3.540000,     20.683000,          8.805000,                    98.158747,      0.954000
                1690885620,           2023-08-01 10:27:00,           2023-08-01 06:27:00,      3.540000,     20.641000,          8.819000,                    98.233663,      0.954000
                1690885920,           2023-08-01 10:32:00,           2023-08-01 06:32:00,      3.540000,     20.591000,          8.820000,                    98.148194,      0.954000
                1690886220,           2023-08-01 10:37:00,           2023-08-01 06:37:00,      3.540000,     20.474000,          8.859000,                    98.355193,      0.954000
                1690886520,           2023-08-01 10:42:00,           2023-08-01 06:42:00,      3.540000,     20.365000,          8.867000,                    98.232446,      0.954000
                1690886820,           2023-08-01 10:47:00,           2023-08-01 06:47:00,      3.550000,     20.214000,          8.888000,                    98.171463,      0.954000
                1690887120,           2023-08-01 10:52:00,           2023-08-01 06:52:00,      3.550000,     20.139000,          8.912000,                    98.290381,      0.954000
                1690887420,           2023-08-01 10:57:00,           2023-08-01 06:57:00,      3.550000,     20.080000,          8.940000,                    98.483873,      0.954000
                1690887720,           2023-08-01 11:02:00,           2023-08-01 07:02:00,      3.540000,     20.039000,          8.959000,                    98.612887,      0.954000
                1690888020,           2023-08-01 11:07:00,           2023-08-01 07:07:00,      3.540000,     20.014000,          8.977000,                    98.761966,      0.954000
                1690888320,           2023-08-01 11:12:00,           2023-08-01 07:12:00,      3.540000,     20.030000,          8.962000,                    98.628280,      0.954000
                1690888620,           2023-08-01 11:17:00,           2023-08-01 07:17:00,      3.550000,     20.147000,          8.952000,                    98.747200,      0.955000
                1690888920,           2023-08-01 11:22:00,           2023-08-01 07:22:00,      3.540000,     20.557000,          8.880000,                    98.749739,      0.954000
                1690889220,           2023-08-01 11:27:00,           2023-08-01 07:27:00,      3.540000,     20.758000,          8.857000,                    98.884027,      0.954000
                1690889520,           2023-08-01 11:32:00,           2023-08-01 07:32:00,      3.540000,     20.917000,          8.829000,                    98.879218,      0.954000
                1690889820,           2023-08-01 11:37:00,           2023-08-01 07:37:00,      3.540000,     21.017000,          8.819000,                    98.960686,      0.954000
                1690890120,           2023-08-01 11:42:00,           2023-08-01 07:42:00,      3.540000,     21.168000,          8.806000,                    99.106650,      0.955000
                1690890420,           2023-08-01 11:47:00,           2023-08-01 07:47:00,      3.540000,     21.703000,          8.698000,                    98.913875,      0.955000
                1690890720,           2023-08-01 11:52:00,           2023-08-01 07:52:00,      3.540000,     23.225000,          8.413000,                    98.498457,      0.954000
                1690891020,           2023-08-01 11:57:00,           2023-08-01 07:57:00,      3.540000,     24.752000,          8.164000,                    98.351174,      0.953000
                1690891320,           2023-08-01 12:02:00,           2023-08-01 08:02:00,      3.540000,     25.577000,          8.079000,                    98.814367,      0.954000
                1690891620,           2023-08-01 12:07:00,           2023-08-01 08:07:00,      3.530000,     25.417000,          8.129000,                    99.135296,      0.955000
                1690891920,           2023-08-01 12:12:00,           2023-08-01 08:12:00,      3.530000,     26.032000,          8.025000,                    98.970864,      0.955000
                1690892220,           2023-08-01 12:17:00,           2023-08-01 08:17:00,      3.530000,     27.235000,          7.861000,                    99.072017,      0.955000
                1690892520,           2023-08-01 12:22:00,           2023-08-01 08:22:00,      3.530000,     28.275000,          7.716000,                    99.056135,      0.956000
                1690892820,           2023-08-01 12:27:00,           2023-08-01 08:27:00,      3.530000,     29.286000,          7.581000,                    99.062035,      0.955000
                1690893120,           2023-08-01 12:32:00,           2023-08-01 08:32:00,      3.530000,     30.035000,          7.487000,                    99.111928,      0.954000
                1690893420,           2023-08-01 12:37:00,           2023-08-01 08:37:00,      3.530000,     30.650000,          7.416000,                    99.215499,      0.954000
                1690893720,           2023-08-01 12:42:00,           2023-08-01 08:42:00,      3.530000,     31.301000,          7.335000,                    99.228267,      0.954000
                1690894020,           2023-08-01 12:47:00,           2023-08-01 08:47:00,      3.520000,     31.886000,          7.254000,                    99.110479,      0.953000
                1690894320,           2023-08-01 12:52:00,           2023-08-01 08:52:00,      3.530000,     32.578000,          7.169000,                    99.096995,      0.952000
                1690894620,           2023-08-01 12:57:00,           2023-08-01 08:57:00,      3.530000,     33.221000,          7.083000,                    98.966592,      0.951000
                1690894920,           2023-08-01 13:02:00,           2023-08-01 09:02:00,      3.530000,     33.779000,          7.011000,                    98.873431,      0.950000
                1690895220,           2023-08-01 13:07:00,           2023-08-01 09:07:00,      3.520000,     34.240000,          6.961000,                    98.919796,      0.949000
                1690895520,           2023-08-01 13:12:00,           2023-08-01 09:12:00,      3.530000,     34.320000,          6.985000,                    99.391969,      0.950000
                1690895820,           2023-08-01 13:17:00,           2023-08-01 09:17:00,      3.530000,     34.605000,          6.961000,                    99.516602,      0.949000
                1690896120,           2023-08-01 13:22:00,           2023-08-01 09:22:00,      3.520000,     34.900000,          6.933000,                    99.597910,      0.947000
                1690896420,           2023-08-01 13:27:00,           2023-08-01 09:27:00,      3.520000,     34.918000,          6.948000,                    99.842882,      0.948000
                1690896720,           2023-08-01 13:32:00,           2023-08-01 09:32:00,      3.530000,     34.864000,          6.954000,                    99.840583,      0.948000
                1690897020,           2023-08-01 13:37:00,           2023-08-01 09:37:00,      3.530000,     34.641000,          7.003000,                   100.176354,      0.950000
                1690897320,           2023-08-01 13:42:00,           2023-08-01 09:42:00,      3.530000,     34.356000,          7.031000,                   100.105936,      0.950000
                1690897620,           2023-08-01 13:47:00,           2023-08-01 09:47:00,      3.520000,     34.169000,          7.052000,                   100.095539,      0.950000
                1690897920,           2023-08-01 13:52:00,           2023-08-01 09:52:00,      3.520000,     34.125000,          7.066000,                   100.221374,      0.950000
                1690898220,           2023-08-01 13:57:00,           2023-08-01 09:57:00,      3.520000,     34.142000,          7.057000,                   100.121841,      0.950000
                1690898520,           2023-08-01 14:02:00,           2023-08-01 10:02:00,      3.520000,     34.125000,          7.068000,                   100.249741,      0.950000
                1690898820,           2023-08-01 14:07:00,           2023-08-01 10:07:00,      3.530000,     34.107000,          7.061000,                   100.120669,      0.950000
                1690899120,           2023-08-01 14:12:00,           2023-08-01 10:12:00,      3.530000,     33.991000,          7.054000,                    99.829736,      0.949000
                1690899420,           2023-08-01 14:17:00,           2023-08-01 10:17:00,      3.530000,     29.354000,          5.374000,                    70.305987,      0.947000
                1690899720,           2023-08-01 14:22:00,           2023-08-01 10:22:00,      3.540000,     27.797000,          5.141000,                    65.443409,      0.953000
                1690900020,           2023-08-01 14:27:00,           2023-08-01 10:27:00,      3.540000,     27.524000,          5.087000,                    64.442642,      0.955000
                1690900320,           2023-08-01 14:32:00,           2023-08-01 10:32:00,      3.540000,     27.439000,          5.047000,                    63.839200,      0.956000
                1690900620,           2023-08-01 14:37:00,           2023-08-01 10:37:00,      3.530000,     27.414000,          4.961000,                    62.723436,      0.955000
                1690900920,           2023-08-01 14:42:00,           2023-08-01 10:42:00,      3.540000,     27.422000,          4.935000,                    62.403609,      0.956000
                1690901220,           2023-08-01 14:47:00,           2023-08-01 10:47:00,      3.540000,     27.439000,          4.916000,                    62.182189,      0.956000
                1690901520,           2023-08-01 14:52:00,           2023-08-01 10:52:00,      3.540000,     27.456000,          4.905000,                    62.061846,      0.956000
                1690901820,           2023-08-01 14:57:00,           2023-08-01 10:57:00,      3.530000,     27.490000,          4.908000,                    62.137425,      0.956000
                1690902120,           2023-08-01 15:02:00,           2023-08-01 11:02:00,      3.530000,     27.490000,          4.908000,                    62.137425,      0.956000
                1690902420,           2023-08-01 15:07:00,           2023-08-01 11:07:00,      3.530000,     27.516000,          4.905000,                    62.128198,      0.956000
                1690902720,           2023-08-01 15:12:00,           2023-08-01 11:12:00,      3.540000,     27.516000,          4.904000,                    62.115532,      0.956000
                1690903020,           2023-08-01 15:17:00,           2023-08-01 11:17:00,      3.540000,     27.550000,          4.922000,                    62.381264,      0.956000
                1690903320,           2023-08-01 15:22:00,           2023-08-01 11:22:00,      3.540000,     27.541000,          4.904000,                    62.143179,      0.956000
                1690903620,           2023-08-01 15:27:00,           2023-08-01 11:27:00,      3.540000,     27.567000,          4.906000,                    62.197290,      0.956000
                1690903920,           2023-08-01 15:32:00,           2023-08-01 11:32:00,      3.540000,     27.575000,          4.909000,                    62.244181,      0.956000
                1690904220,           2023-08-01 15:37:00,           2023-08-01 11:37:00,      3.540000,     27.601000,          4.905000,                    62.222229,      0.956000
                1690904520,           2023-08-01 15:42:00,           2023-08-01 11:42:00,      3.540000,     27.618000,          4.905000,                    62.241040,      0.955000
                1690904820,           2023-08-01 15:47:00,           2023-08-01 11:47:00,      3.540000,     27.643000,          4.914000,                    62.382960,      0.956000
                1690905120,           2023-08-01 15:52:00,           2023-08-01 11:52:00,      3.540000,     27.643000,          4.900000,                    62.205231,      0.956000
                1690905420,           2023-08-01 15:57:00,           2023-08-01 11:57:00,      3.540000,     27.677000,          4.900000,                    62.242823,      0.956000
                1690905720,           2023-08-01 16:02:00,           2023-08-01 12:02:00,      3.540000,     27.695000,          4.888000,                    62.110247,      0.956000
                1690906020,           2023-08-01 16:07:00,           2023-08-01 12:07:00,      3.540000,     27.703000,          4.885000,                    62.080947,      0.956000
                1690906320,           2023-08-01 16:12:00,           2023-08-01 12:12:00,      3.540000,     27.737000,          4.854000,                    61.724234,      0.956000
                1690906620,           2023-08-01 16:17:00,           2023-08-01 12:17:00,      3.540000,     27.788000,          4.855000,                    61.792848,      0.956000
                1690906920,           2023-08-01 16:22:00,           2023-08-01 12:22:00,      3.540000,     27.822000,          4.863000,                    61.932003,      0.956000
                1690907220,           2023-08-01 16:27:00,           2023-08-01 12:27:00,      3.540000,     27.533000,          7.730000,                    97.940127,      0.957000
                1690907520,           2023-08-01 16:32:00,           2023-08-01 12:32:00,      3.540000,     28.728000,          7.550000,                    97.699978,      0.957000
                1690907820,           2023-08-01 16:37:00,           2023-08-01 12:37:00,      3.530000,     30.598000,          7.301000,                    97.589966,      0.957000
                1690908120,           2023-08-01 16:42:00,           2023-08-01 12:42:00,      3.530000,     32.570000,          7.010000,                    96.886136,      0.954000
                1690908420,           2023-08-01 16:47:00,           2023-08-01 12:47:00,      3.530000,     33.708000,          6.840000,                    96.348372,      0.951000
                1690908720,           2023-08-01 16:52:00,           2023-08-01 12:52:00,      3.530000,     34.623000,          6.714000,                    96.013842,      0.949000
                1690909020,           2023-08-01 16:57:00,           2023-08-01 12:57:00,      3.530000,     35.168000,          6.631000,                    95.678822,      0.948000
                1690909320,           2023-08-01 17:02:00,           2023-08-01 13:02:00,      3.530000,     35.383000,          6.590000,                    95.422226,      0.946000
                1690909620,           2023-08-01 17:07:00,           2023-08-01 13:07:00,      3.530000,     35.491000,          6.561000,                    95.170062,      0.946000
                1690909920,           2023-08-01 17:12:00,           2023-08-01 13:12:00,      3.530000,     35.446000,          6.570000,                    95.230601,      0.946000
                1690910220,           2023-08-01 17:17:00,           2023-08-01 13:17:00,      3.530000,     35.643000,          6.502000,                    94.548458,      0.945000
                1690910520,           2023-08-01 17:22:00,           2023-08-01 13:22:00,      3.530000,     34.623000,          6.663000,                    95.284514,      0.948000
                1690910820,           2023-08-01 17:27:00,           2023-08-01 13:27:00,      3.530000,     35.258000,          6.569000,                    94.923937,      0.947000
                1690911120,           2023-08-01 17:32:00,           2023-08-01 13:32:00,      3.530000,     35.886000,          6.470000,                    94.456329,      0.945000
                1690911420,           2023-08-01 17:37:00,           2023-08-01 13:37:00,      3.530000,     35.509000,          6.518000,                    94.574118,      0.945000
                1690911720,           2023-08-01 17:42:00,           2023-08-01 13:42:00,      3.530000,     35.249000,          6.564000,                    94.837720,      0.946000
                1690912020,           2023-08-01 17:47:00,           2023-08-01 13:47:00,      3.530000,     35.276000,          6.570000,                    94.966346,      0.947000
                1690912320,           2023-08-01 17:52:00,           2023-08-01 13:52:00,      3.530000,     35.536000,          6.519000,                    94.630326,      0.945000
                1690912620,           2023-08-01 17:57:00,           2023-08-01 13:57:00,      3.530000,     36.255000,          6.408000,                    94.113888,      0.942000
                1690912920,           2023-08-01 18:02:00,           2023-08-01 14:02:00,      3.530000,     36.436000,          6.363000,                    93.727693,      0.941000
                1690913220,           2023-08-01 18:07:00,           2023-08-01 14:07:00,      3.530000,     36.454000,          6.397000,                    94.256006,      0.942000
                1690913520,           2023-08-01 18:12:00,           2023-08-01 14:12:00,      3.530000,     35.787000,          6.500000,                    94.741464,      0.945000
                1690913820,           2023-08-01 18:17:00,           2023-08-01 14:17:00,      3.530000,     34.570000,          6.718000,                    95.987301,      0.949000
                1690914120,           2023-08-01 18:22:00,           2023-08-01 14:22:00,      3.530000,     33.761000,          6.858000,                    96.686872,      0.952000
                1690914420,           2023-08-01 18:27:00,           2023-08-01 14:27:00,      3.540000,     33.345000,          6.926000,                    96.973019,      0.953000
                1690914720,           2023-08-01 18:32:00,           2023-08-01 14:32:00,      3.540000,     33.266000,          6.947000,                    97.139160,      0.953000
                1690915020,           2023-08-01 18:37:00,           2023-08-01 14:37:00,      3.540000,     33.398000,          6.917000,                    96.932472,      0.952000
                1690915320,           2023-08-01 18:42:00,           2023-08-01 14:42:00,      3.530000,     33.584000,          6.889000,                    96.839058,      0.952000
                1690915620,           2023-08-01 18:47:00,           2023-08-01 14:47:00,      3.530000,     33.601000,          6.868000,                    96.571121,      0.951000
                1690915920,           2023-08-01 18:52:00,           2023-08-01 14:52:00,      3.540000,     33.301000,          6.944000,                    97.153836,      0.953000
                1690916220,           2023-08-01 18:57:00,           2023-08-01 14:57:00,      3.530000,     32.948000,          7.016000,                    97.584785,      0.953000
                1690916520,           2023-08-01 19:02:00,           2023-08-01 15:02:00,      3.530000,     32.649000,          7.017000,                    97.111458,      0.953000
                1690916820,           2023-08-01 19:07:00,           2023-08-01 15:07:00,      3.540000,     32.412000,          7.075000,                    97.525434,      0.955000
                1690917120,           2023-08-01 19:12:00,           2023-08-01 15:12:00,      3.540000,     32.192000,          7.097000,                    97.467274,      0.955000
                1690917420,           2023-08-01 19:17:00,           2023-08-01 15:17:00,      3.530000,     31.930000,          7.100000,                    97.078532,      0.955000
                1690917720,           2023-08-01 19:22:00,           2023-08-01 15:22:00,      3.540000,     31.711000,          7.126000,                    97.073875,      0.955000
                1690918020,           2023-08-01 19:27:00,           2023-08-01 15:27:00,      3.540000,     31.510000,          7.137000,                    96.893084,      0.955000
                1690918320,           2023-08-01 19:32:00,           2023-08-01 15:32:00,      3.540000,     31.397000,          7.215000,                    97.764291,      0.956000
                1690918620,           2023-08-01 19:37:00,           2023-08-01 15:37:00,      3.540000,     31.336000,          7.217000,                    97.690073,      0.956000
                1690918920,           2023-08-01 19:42:00,           2023-08-01 15:42:00,      3.540000,     31.249000,          7.234000,                    97.775408,      0.956000
                1690919220,           2023-08-01 19:47:00,           2023-08-01 15:47:00,      3.540000,     31.179000,          7.227000,                    97.564473,      0.956000
                1690919520,           2023-08-01 19:52:00,           2023-08-01 15:52:00,      3.540000,     31.145000,          7.221000,                    97.427038,      0.956000
                1690919820,           2023-08-01 19:57:00,           2023-08-01 15:57:00,      3.540000,     31.092000,          7.241000,                    97.608688,      0.956000
                1690920120,           2023-08-01 20:02:00,           2023-08-01 16:02:00,      3.540000,     31.066000,          7.242000,                    97.578907,      0.956000
                1690920420,           2023-08-01 20:07:00,           2023-08-01 16:07:00,      3.540000,     31.040000,          7.258000,                    97.751142,      0.956000
                1690920720,           2023-08-01 20:12:00,           2023-08-01 16:12:00,      3.540000,     31.049000,          7.243000,                    97.564095,      0.955000
                1690921020,           2023-08-01 20:17:00,           2023-08-01 16:17:00,      3.540000,     31.040000,          7.249000,                    97.629930,      0.955000
                1690921320,           2023-08-01 20:22:00,           2023-08-01 16:22:00,      3.540000,     31.058000,          7.251000,                    97.686847,      0.956000
                1690921620,           2023-08-01 20:27:00,           2023-08-01 16:27:00,      3.540000,     31.127000,          7.237000,                    97.612974,      0.955000
                1690921920,           2023-08-01 20:32:00,           2023-08-01 16:32:00,      3.540000,     31.188000,          7.219000,                    97.471409,      0.955000
                1690922220,           2023-08-01 20:37:00,           2023-08-01 16:37:00,      3.540000,     31.240000,          7.219000,                    97.557724,      0.955000
                1690922520,           2023-08-01 20:42:00,           2023-08-01 16:42:00,      3.540000,     31.327000,          7.208000,                    97.553321,      0.955000
                1690922820,           2023-08-01 20:47:00,           2023-08-01 16:47:00,      3.540000,     31.388000,          7.201000,                    97.559671,      0.955000
                1690923120,           2023-08-01 20:52:00,           2023-08-01 16:52:00,      3.540000,     31.441000,          7.194000,                    97.552610,      0.955000
                1690923420,           2023-08-01 20:57:00,           2023-08-01 16:57:00,      3.540000,     31.510000,          7.183000,                    97.517588,      0.955000
                1690923720,           2023-08-01 21:02:00,           2023-08-01 17:02:00,      3.540000,     31.572000,          7.175000,                    97.511466,      0.955000
                1690924020,           2023-08-01 21:07:00,           2023-08-01 17:07:00,      3.540000,     31.615000,          7.164000,                    97.432965,      0.955000
                1690924320,           2023-08-01 21:12:00,           2023-08-01 17:12:00,      3.540000,     31.641000,          7.140000,                    97.149348,      0.955000
                1690924620,           2023-08-01 21:17:00,           2023-08-01 17:17:00,      3.540000,     31.606000,          7.171000,                    97.513292,      0.955000
                1690924920,           2023-08-01 21:22:00,           2023-08-01 17:22:00,      3.540000,     31.554000,          7.160000,                    97.277913,      0.955000
                1690925220,           2023-08-01 21:27:00,           2023-08-01 17:27:00,      3.540000,     31.432000,          7.166000,                    97.158073,      0.955000
                1690925520,           2023-08-01 21:32:00,           2023-08-01 17:32:00,      3.540000,     31.354000,          7.170000,                    97.083575,      0.955000
                1690925820,           2023-08-01 21:37:00,           2023-08-01 17:37:00,      3.540000,     31.266000,          7.185000,                    97.141212,      0.956000
                1690926120,           2023-08-01 21:42:00,           2023-08-01 17:42:00,      3.540000,     31.188000,          7.178000,                    96.917825,      0.956000
                1690926420,           2023-08-01 21:47:00,           2023-08-01 17:47:00,      3.540000,     31.075000,          7.197000,                    96.987457,      0.956000
                1690926720,           2023-08-01 21:52:00,           2023-08-01 17:52:00,      3.540000,     31.006000,          7.195000,                    96.846469,      0.955000
                1690927020,           2023-08-01 21:57:00,           2023-08-01 17:57:00,      3.540000,     30.936000,          7.212000,                    96.959378,      0.956000
                1690927320,           2023-08-01 22:02:00,           2023-08-01 18:02:00,      3.540000,     30.814000,          7.221000,                    96.878213,      0.956000
                1690927620,           2023-08-01 22:07:00,           2023-08-01 18:07:00,      3.550000,     30.070000,          7.279000,                    96.416644,      0.955000
                1690927920,           2023-08-01 22:12:00,           2023-08-01 18:12:00,      3.550000,     27.959000,          7.600000,                    97.023854,      0.957000
                1690928220,           2023-08-01 22:17:00,           2023-08-01 18:17:00,      3.550000,     26.726000,          7.779000,                    97.147974,      0.958000
                1690928520,           2023-08-01 22:22:00,           2023-08-01 18:22:00,      3.550000,     25.940000,          7.864000,                    96.823275,      0.956000
                1690928820,           2023-08-01 22:27:00,           2023-08-01 18:27:00,      3.550000,     25.374000,          7.951000,                    96.888179,      0.957000
                1690929120,           2023-08-01 22:32:00,           2023-08-01 18:32:00,      3.550000,     24.911000,          8.011000,                    96.791799,      0.957000
                1690929420,           2023-08-01 22:37:00,           2023-08-01 18:37:00,      3.550000,     24.542000,          8.062000,                    96.745454,      0.957000
                1690929720,           2023-08-01 22:42:00,           2023-08-01 18:42:00,      3.550000,     24.248000,          8.099000,                    96.659891,      0.957000
                1690930020,           2023-08-01 22:47:00,           2023-08-01 18:47:00,      3.550000,     24.021000,          8.137000,                    96.703051,      0.957000
                1690930320,           2023-08-01 22:52:00,           2023-08-01 18:52:00,      3.550000,     23.862000,          8.148000,                    96.546185,      0.956000
                1690930620,           2023-08-01 22:57:00,           2023-08-01 18:57:00,      3.550000,     23.711000,          8.170000,                    96.533177,      0.956000
                1690930920,           2023-08-01 23:02:00,           2023-08-01 19:02:00,      3.550000,     23.560000,          8.204000,                    96.660248,      0.957000
                1690931220,           2023-08-01 23:07:00,           2023-08-01 19:07:00,      3.560000,     23.426000,          8.223000,                    96.639949,      0.957000
                1690931520,           2023-08-01 23:12:00,           2023-08-01 19:12:00,      3.560000,     23.301000,          8.235000,                    96.553005,      0.956000
                1690931820,           2023-08-01 23:17:00,           2023-08-01 19:17:00,      3.550000,     23.208000,          8.253000,                    96.594142,      0.957000
                1690932120,           2023-08-01 23:22:00,           2023-08-01 19:22:00,      3.550000,     23.100000,          8.273000,                    96.630514,      0.957000
                1690932420,           2023-08-01 23:27:00,           2023-08-01 19:27:00,      3.550000,     23.024000,          8.276000,                    96.526426,      0.956000
                1690932720,           2023-08-01 23:32:00,           2023-08-01 19:32:00,      3.550000,     22.924000,          8.297000,                    96.587894,      0.957000
                1690933020,           2023-08-01 23:37:00,           2023-08-01 19:37:00,      3.550000,     22.840000,          8.301000,                    96.480333,      0.956000
                1690933320,           2023-08-01 23:42:00,           2023-08-01 19:42:00,      3.550000,     22.807000,          8.316000,                    96.594029,      0.957000
                1690933620,           2023-08-01 23:47:00,           2023-08-01 19:47:00,      3.550000,     22.765000,          8.318000,                    96.540068,      0.957000
                1690933920,           2023-08-01 23:52:00,           2023-08-01 19:52:00,      3.550000,     22.731000,          8.325000,                    96.558780,      0.956000
                1690934220,           2023-08-01 23:57:00,           2023-08-01 19:57:00,      3.550000,     22.673000,          8.339000,                    96.614330,      0.957000
                1690934520,           2023-08-02 00:02:00,           2023-08-01 20:02:00,      3.550000,     22.614000,          8.341000,                    96.528828,      0.956000
