MiniDOT Logger Concatenated Data File
Sensor:             7450-269898
Concatenation Date: 2023Aug03 13:28:38 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690883760,           2023-08-01 09:56:00,           2023-08-01 05:56:00,      3.530000,     20.347000,          8.793000,                    97.378005,      0.965000
                1690884060,           2023-08-01 10:01:00,           2023-08-01 06:01:00,      3.530000,     20.757000,          8.713000,                    97.274429,      0.966000
                1690884360,           2023-08-01 10:06:00,           2023-08-01 06:06:00,      3.530000,     20.849000,          8.692000,                    97.215288,      0.965000
                1690884660,           2023-08-01 10:11:00,           2023-08-01 06:11:00,      3.530000,     20.832000,          8.719000,                    97.484768,      0.966000
                1690884960,           2023-08-01 10:16:00,           2023-08-01 06:16:00,      3.530000,     20.782000,          8.715000,                    97.344515,      0.965000
                1690885260,           2023-08-01 10:21:00,           2023-08-01 06:21:00,      3.530000,     20.732000,          8.741000,                    97.539133,      0.966000
                1690885560,           2023-08-01 10:26:00,           2023-08-01 06:26:00,      3.530000,     20.698000,          8.745000,                    97.518608,      0.966000
                1690885860,           2023-08-01 10:31:00,           2023-08-01 06:31:00,      3.530000,     20.673000,          8.752000,                    97.548722,      0.966000
                1690886160,           2023-08-01 10:36:00,           2023-08-01 06:36:00,      3.530000,     20.564000,          8.787000,                    97.729007,      0.966000
                1690886460,           2023-08-01 10:41:00,           2023-08-01 06:41:00,      3.530000,     20.455000,          8.798000,                    97.641355,      0.966000
                1690886760,           2023-08-01 10:46:00,           2023-08-01 06:46:00,      3.530000,     20.363000,          8.819000,                    97.696821,      0.965000
                1690887060,           2023-08-01 10:51:00,           2023-08-01 06:51:00,      3.530000,     20.305000,          8.827000,                    97.673414,      0.965000
                1690887360,           2023-08-01 10:56:00,           2023-08-01 06:56:00,      3.530000,     20.238000,          8.850000,                    97.798196,      0.965000
                1690887660,           2023-08-01 11:01:00,           2023-08-01 07:01:00,      3.530000,     20.221000,          8.868000,                    97.964132,      0.965000
                1690887960,           2023-08-01 11:06:00,           2023-08-01 07:06:00,      3.530000,     20.204000,          8.889000,                    98.163066,      0.966000
                1690888260,           2023-08-01 11:11:00,           2023-08-01 07:11:00,      3.530000,     20.196000,          8.890000,                    98.158555,      0.966000
                1690888560,           2023-08-01 11:16:00,           2023-08-01 07:16:00,      3.530000,     20.230000,          8.877000,                    98.081030,      0.966000
                1690888860,           2023-08-01 11:21:00,           2023-08-01 07:21:00,      3.530000,     20.589000,          8.824000,                    98.188840,      0.965000
                1690889160,           2023-08-01 11:26:00,           2023-08-01 07:26:00,      3.530000,     20.715000,          8.812000,                    98.298577,      0.966000
                1690889460,           2023-08-01 11:31:00,           2023-08-01 07:31:00,      3.530000,     20.782000,          8.796000,                    98.249266,      0.965000
                1690889760,           2023-08-01 11:36:00,           2023-08-01 07:36:00,      3.530000,     20.832000,          8.797000,                    98.356865,      0.966000
                1690890060,           2023-08-01 11:41:00,           2023-08-01 07:41:00,      3.530000,     20.924000,          8.778000,                    98.321527,      0.965000
                1690890360,           2023-08-01 11:46:00,           2023-08-01 07:46:00,      3.530000,     21.125000,          8.738000,                    98.258865,      0.965000
