MiniDOT Logger Concatenated Data File
Sensor:             7450-249209
Concatenation Date: 2023Aug03 13:00:33 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690883700,           2023-08-01 09:55:00,           2023-08-01 05:55:00,      3.550000,     20.370000,          9.053000,                   100.302940,      0.955000
                1690884000,           2023-08-01 10:00:00,           2023-08-01 06:00:00,      3.550000,     20.429000,          9.072000,                   100.630607,      0.956000
                1690884300,           2023-08-01 10:05:00,           2023-08-01 06:05:00,      3.540000,     20.454000,          9.070000,                   100.658061,      0.956000
                1690884600,           2023-08-01 10:10:00,           2023-08-01 06:10:00,      3.540000,     20.479000,          9.062000,                   100.618879,      0.955000
                1690884900,           2023-08-01 10:15:00,           2023-08-01 06:15:00,      3.540000,     20.496000,          9.056000,                   100.585967,      0.955000
                1690885200,           2023-08-01 10:20:00,           2023-08-01 06:20:00,      3.540000,     20.487000,          9.069000,                   100.712488,      0.955000
                1690885500,           2023-08-01 10:25:00,           2023-08-01 06:25:00,      3.540000,     20.496000,          9.073000,                   100.774788,      0.955000
                1690885800,           2023-08-01 10:30:00,           2023-08-01 06:30:00,      3.540000,     20.537000,          9.057000,                   100.678390,      0.954000
                1690886100,           2023-08-01 10:35:00,           2023-08-01 06:35:00,      3.540000,     20.462000,          9.083000,                   100.818243,      0.955000
                1690886400,           2023-08-01 10:40:00,           2023-08-01 06:40:00,      3.550000,     20.387000,          9.093000,                   100.779953,      0.955000
                1690886700,           2023-08-01 10:45:00,           2023-08-01 06:45:00,      3.550000,     20.295000,          9.109000,                   100.773899,      0.955000
                1690887000,           2023-08-01 10:50:00,           2023-08-01 06:50:00,      3.550000,     20.253000,          9.136000,                   100.988658,      0.956000
                1690887300,           2023-08-01 10:55:00,           2023-08-01 06:55:00,      3.550000,     20.211000,          9.166000,                   101.236068,      0.955000
                1690887600,           2023-08-01 11:00:00,           2023-08-01 07:00:00,      3.550000,     20.186000,          9.164000,                   101.163873,      0.955000
                1690887900,           2023-08-01 11:05:00,           2023-08-01 07:05:00,      3.550000,     20.178000,          9.172000,                   101.236140,      0.955000
                1690888200,           2023-08-01 11:10:00,           2023-08-01 07:10:00,      3.550000,     20.169000,          9.178000,                   101.284301,      0.955000
                1690888500,           2023-08-01 11:15:00,           2023-08-01 07:15:00,      3.550000,     20.203000,          9.177000,                   101.341503,      0.955000
                1690888800,           2023-08-01 11:20:00,           2023-08-01 07:20:00,      3.540000,     20.504000,          9.139000,                   101.523866,      0.955000
                1690889100,           2023-08-01 11:25:00,           2023-08-01 07:25:00,      3.540000,     20.655000,          9.108000,                   101.480733,      0.955000
                1690889400,           2023-08-01 11:30:00,           2023-08-01 07:30:00,      3.540000,     20.721000,          9.091000,                   101.422799,      0.955000
                1690889700,           2023-08-01 11:35:00,           2023-08-01 07:35:00,      3.540000,     20.763000,          9.088000,                   101.472988,      0.955000
                1690890000,           2023-08-01 11:40:00,           2023-08-01 07:40:00,      3.540000,     20.830000,          9.083000,                   101.550571,      0.955000
                1690890300,           2023-08-01 11:45:00,           2023-08-01 07:45:00,      3.540000,     20.930000,          9.070000,                   101.604127,      0.955000
