MiniDOT Logger Concatenated Data File
Sensor:             7530-815399
Concatenation Date: 2023Aug03 13:46:37 EDT


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1690884240,           2023-08-01 10:04:00,           2023-08-01 06:04:00,      3.080000,     22.191000,     -0.001100,     -112.000000,     1198.000000,      860.000000
                1690884540,           2023-08-01 10:09:00,           2023-08-01 06:09:00,      3.520000,     20.296000,     -0.009380,     -109.000000,     1198.000000,      864.000000
                1690884840,           2023-08-01 10:14:00,           2023-08-01 06:14:00,      3.520000,     20.296000,      0.073370,     -109.000000,     1200.000000,      865.000000
                1690885140,           2023-08-01 10:19:00,           2023-08-01 06:19:00,      3.520000,     20.279000,      0.034750,     -288.000000,      752.000000,     1276.000000
                1690885440,           2023-08-01 10:24:00,           2023-08-01 06:24:00,      3.520000,     20.279000,      0.123020,     -292.000000,      748.000000,     1273.000000
                1690885740,           2023-08-01 10:29:00,           2023-08-01 06:29:00,      3.520000,     20.279000,      0.065090,     -272.000000,      408.000000,     1438.000000
                1690886040,           2023-08-01 10:34:00,           2023-08-01 06:34:00,      3.520000,     20.220000,      0.007170,     -314.000000,      455.000000,     1344.000000
                1690886340,           2023-08-01 10:39:00,           2023-08-01 06:39:00,      3.520000,     20.119000,      0.007170,     -296.000000,      376.000000,     1407.000000
                1690886640,           2023-08-01 10:44:00,           2023-08-01 06:44:00,      3.520000,     20.019000,      2.230270,     -276.000000,      376.000000,     1376.000000
                1690886940,           2023-08-01 10:49:00,           2023-08-01 06:49:00,      3.520000,     19.918000,      0.034750,     -509.000000,      463.000000,     1388.000000
                1690887240,           2023-08-01 10:54:00,           2023-08-01 06:54:00,      3.520000,     19.859000,      0.136810,     -256.000000,      416.000000,     1320.000000
                1690887540,           2023-08-01 10:59:00,           2023-08-01 06:59:00,      3.520000,     19.842000,      0.040270,     -154.000000,      328.000000,     1289.000000
                1690887840,           2023-08-01 11:04:00,           2023-08-01 07:04:00,      3.520000,     19.792000,      0.031990,     -292.000000,      310.000000,     1369.000000
                1690888140,           2023-08-01 11:09:00,           2023-08-01 07:09:00,      3.520000,     19.783000,      0.067850,     -256.000000,      376.000000,     1395.000000
                1690888440,           2023-08-01 11:14:00,           2023-08-01 07:14:00,      3.520000,     19.817000,     15.927430,     -248.000000,      376.000000,     1376.000000
                1690888740,           2023-08-01 11:19:00,           2023-08-01 07:19:00,      3.510000,     19.985000,      4.712640,     -240.000000,      460.000000,     1356.000000
                1690889040,           2023-08-01 11:24:00,           2023-08-01 07:24:00,      3.520000,     20.170000,      7.923170,     -170.000000,      504.000000,     1368.000000
                1690889340,           2023-08-01 11:29:00,           2023-08-01 07:29:00,      3.510000,     20.321000,      1.273180,     -306.000000,      504.000000,     1384.000000
                1690889640,           2023-08-01 11:34:00,           2023-08-01 07:34:00,      3.510000,     20.464000,      1.631740,     -272.000000,      388.000000,     1345.000000
                1690889940,           2023-08-01 11:39:00,           2023-08-01 07:39:00,      3.510000,     20.615000,      9.037480,     -272.000000,      499.000000,     1308.000000
