datetime,ph
8/1/23 8:00,3.49
8/1/23 8:05,3.49
8/1/23 8:10,3.49
8/1/23 8:15,3.49
8/1/23 8:20,3.49
8/1/23 8:25,3.5
8/1/23 8:30,3.5
8/1/23 8:35,3.5
8/1/23 8:40,3.5
8/1/23 8:45,3.5
8/1/23 8:50,3.51
8/1/23 8:55,3.51
8/1/23 9:00,3.51
8/1/23 9:05,3.52
8/1/23 9:10,3.52
8/1/23 9:15,3.52
8/1/23 9:20,3.53
8/1/23 9:25,3.53
8/1/23 9:30,3.54
8/1/23 9:35,3.54
8/1/23 9:40,3.55
8/1/23 9:45,3.55
8/1/23 9:50,3.56
8/1/23 9:55,7.86
8/1/23 10:00,7.95
8/1/23 10:05,7.96
8/1/23 10:10,7.96
8/1/23 10:15,7.96
8/1/23 10:20,7.96
8/1/23 10:25,7.96
8/1/23 10:30,7.95
8/1/23 10:35,7.95
8/1/23 10:40,7.95
8/1/23 10:45,7.95
8/1/23 10:50,7.95
8/1/23 10:55,7.95
8/1/23 11:00,7.95
8/1/23 11:05,7.95
8/1/23 11:10,7.94
8/1/23 11:15,7.94
8/1/23 11:20,7.94
8/1/23 11:25,7.94
8/1/23 11:30,7.94
8/1/23 11:35,7.94
8/1/23 11:40,7.93
8/1/23 11:45,7.93
8/1/23 11:50,7.93
8/1/23 11:55,7.93
8/1/23 12:00,7.93
8/1/23 12:05,7.92
8/1/23 12:10,7.92
8/1/23 12:15,7.92
8/1/23 12:20,7.92
8/1/23 12:25,7.92
8/1/23 12:30,7.92
8/1/23 12:35,7.92
8/1/23 12:40,8.23
8/1/23 12:45,8.2
8/1/23 12:50,8.17
8/1/23 12:55,8.15
8/1/23 13:00,8.15
8/1/23 13:05,8.09
8/1/23 13:10,8.12
8/1/23 13:15,8.08
8/1/23 13:20,8
8/1/23 13:25,7.99
8/1/23 13:30,7.99
8/1/23 13:35,7.97
8/1/23 13:40,7.96
8/1/23 13:45,7.94
8/1/23 13:50,7.94
8/1/23 13:55,7.94
8/1/23 14:00,7.94
8/1/23 14:05,7.95
8/1/23 14:10,7.94
8/1/23 14:15,7.91
8/1/23 14:20,7.89
8/1/23 14:25,7.89
8/1/23 14:30,7.91
8/1/23 14:35,7.93
8/1/23 14:40,7.94
8/1/23 14:45,7.94
8/1/23 14:50,7.92
8/1/23 14:55,7.91
8/1/23 15:00,7.9
8/1/23 15:05,7.9
8/1/23 15:10,7.88
8/1/23 15:15,7.85
8/1/23 15:20,7.83
8/1/23 15:25,7.81
8/1/23 15:30,7.83
8/1/23 15:35,7.83
8/1/23 15:40,7.84
8/1/23 15:45,7.84
8/1/23 15:50,7.84
8/1/23 15:55,7.84
8/1/23 16:00,7.84
8/1/23 16:05,7.83
8/1/23 16:10,7.81
8/1/23 16:15,7.81
8/1/23 16:20,7.82
8/1/23 16:25,7.8
8/1/23 16:30,7.79
8/1/23 16:35,7.78
8/1/23 16:40,7.78
8/1/23 16:45,7.77
8/1/23 16:50,7.77
8/1/23 16:55,7.76
8/1/23 17:00,7.77
8/1/23 17:05,7.76
8/1/23 17:10,7.75
8/1/23 17:15,7.73
8/1/23 17:20,7.71
8/1/23 17:25,7.7
8/1/23 17:30,7.69
8/1/23 17:35,7.68
8/1/23 17:40,7.69
8/1/23 17:45,7.69
8/1/23 17:50,7.68
8/1/23 17:55,7.68
8/1/23 18:00,7.69
8/1/23 18:05,7.68
8/1/23 18:10,7.68
8/1/23 18:15,7.67
8/1/23 18:20,7.67
8/1/23 18:25,7.67
8/1/23 18:30,7.67
8/1/23 18:35,7.66
8/1/23 18:40,7.66
8/1/23 18:45,7.66
