datetime,ph
7/31/23 16:00,3.62
7/31/23 16:05,3.62
7/31/23 16:10,3.62
7/31/23 16:15,3.62
7/31/23 16:20,3.62
7/31/23 16:25,3.62
7/31/23 16:30,3.62
7/31/23 16:35,3.62
7/31/23 16:40,3.61
7/31/23 16:45,3.63
7/31/23 16:50,3.63
7/31/23 16:55,3.63
7/31/23 17:00,3.64
7/31/23 17:05,3.64
7/31/23 17:10,3.64
7/31/23 17:15,3.64
7/31/23 17:20,3.64
7/31/23 17:25,3.64
7/31/23 17:30,3.64
7/31/23 17:35,3.64
7/31/23 17:40,3.64
7/31/23 17:45,3.65
7/31/23 17:50,3.65
7/31/23 17:55,3.65
7/31/23 18:00,3.65
7/31/23 18:05,3.65
7/31/23 18:10,3.65
7/31/23 18:15,3.65
7/31/23 18:20,3.65
7/31/23 18:25,3.65
7/31/23 18:30,3.65
7/31/23 18:35,3.64
7/31/23 18:40,3.64
7/31/23 18:45,3.64
7/31/23 18:50,3.64
7/31/23 18:55,3.64
7/31/23 19:00,3.64
7/31/23 19:05,3.64
7/31/23 19:10,3.64
7/31/23 19:15,3.64
7/31/23 19:20,3.64
7/31/23 19:25,3.64
7/31/23 19:30,3.64
7/31/23 19:35,3.64
7/31/23 19:40,3.64
7/31/23 19:45,3.64
7/31/23 19:50,3.64
7/31/23 19:55,3.64
7/31/23 20:00,3.64
7/31/23 20:05,3.64
7/31/23 20:10,3.64
7/31/23 20:15,3.64
7/31/23 20:20,3.64
7/31/23 20:25,3.64
7/31/23 20:30,3.64
7/31/23 20:35,3.63
7/31/23 20:40,3.63
7/31/23 20:45,3.63
7/31/23 20:50,3.63
7/31/23 20:55,3.63
7/31/23 21:00,3.63
7/31/23 21:05,3.63
7/31/23 21:10,3.63
7/31/23 21:15,3.63
7/31/23 21:20,3.63
7/31/23 21:25,3.63
7/31/23 21:30,3.63
7/31/23 21:35,3.63
7/31/23 21:40,3.63
7/31/23 21:45,3.63
7/31/23 21:50,3.63
7/31/23 21:55,3.63
7/31/23 22:00,3.63
7/31/23 22:05,3.63
7/31/23 22:10,3.63
7/31/23 22:15,3.63
7/31/23 22:20,3.63
7/31/23 22:25,3.63
7/31/23 22:30,3.63
7/31/23 22:35,3.62
7/31/23 22:40,3.62
7/31/23 22:45,3.62
7/31/23 22:50,3.62
7/31/23 22:55,3.62
7/31/23 23:00,3.62
7/31/23 23:05,3.62
7/31/23 23:10,3.62
7/31/23 23:15,3.62
7/31/23 23:20,3.62
7/31/23 23:25,3.62
7/31/23 23:30,3.62
7/31/23 23:35,3.62
7/31/23 23:40,3.62
7/31/23 23:45,3.62
7/31/23 23:50,3.62
7/31/23 23:55,3.62
8/1/23 0:00,3.62
8/1/23 0:05,3.62
8/1/23 0:10,3.62
8/1/23 0:15,3.62
8/1/23 0:20,3.62
8/1/23 0:25,3.62
8/1/23 0:30,3.62
8/1/23 0:35,3.61
8/1/23 0:40,3.61
8/1/23 0:45,3.61
8/1/23 0:50,3.61
8/1/23 0:55,3.61
8/1/23 1:00,3.61
8/1/23 1:05,3.61
8/1/23 1:10,3.61
8/1/23 1:15,3.61
8/1/23 1:20,3.61
8/1/23 1:25,3.61
8/1/23 1:30,3.61
8/1/23 1:35,3.61
8/1/23 1:40,3.61
8/1/23 1:45,3.61
8/1/23 1:50,3.61
8/1/23 1:55,3.61
8/1/23 2:00,3.61
8/1/23 2:05,3.61
8/1/23 2:10,3.61
8/1/23 2:15,3.61
8/1/23 2:20,3.61
8/1/23 2:25,3.61
8/1/23 2:30,3.61
8/1/23 2:35,3.61
8/1/23 2:40,3.61
8/1/23 2:45,3.61
8/1/23 2:50,3.61
8/1/23 2:55,3.61
8/1/23 3:00,3.61
8/1/23 3:05,3.61
8/1/23 3:10,3.61
8/1/23 3:15,3.61
8/1/23 3:20,3.61
8/1/23 3:25,3.61
8/1/23 3:30,3.61
8/1/23 3:35,3.61
8/1/23 3:40,3.61
8/1/23 3:45,3.61
8/1/23 3:50,3.61
8/1/23 3:55,3.61
8/1/23 4:00,3.61
8/1/23 4:05,3.61
8/1/23 4:10,3.61
8/1/23 4:15,3.61
8/1/23 4:20,3.61
8/1/23 4:25,3.61
8/1/23 4:30,3.61
8/1/23 4:35,3.61
8/1/23 4:40,3.61
8/1/23 4:45,3.61
8/1/23 4:50,3.61
8/1/23 4:55,3.61
8/1/23 5:00,3.61
8/1/23 5:05,3.61
8/1/23 5:10,3.61
8/1/23 5:15,3.61
8/1/23 5:20,3.61
8/1/23 5:25,3.61
8/1/23 5:30,3.61
8/1/23 5:35,3.61
8/1/23 5:40,3.61
8/1/23 5:45,3.61
8/1/23 5:50,3.61
8/1/23 5:55,3.61
8/1/23 6:00,3.61
8/1/23 6:05,3.61
8/1/23 6:10,3.61
8/1/23 6:15,3.61
8/1/23 6:20,3.61
8/1/23 6:25,3.61
8/1/23 6:30,3.61
8/1/23 6:35,3.61
8/1/23 6:40,3.61
8/1/23 6:45,3.61
8/1/23 6:50,3.61
8/1/23 6:55,3.61
8/1/23 7:00,3.61
8/1/23 7:05,3.61
8/1/23 7:10,3.61
8/1/23 7:15,3.61
8/1/23 7:20,3.61
8/1/23 7:25,3.62
8/1/23 7:30,3.62
8/1/23 7:35,3.62
8/1/23 7:40,3.62
8/1/23 7:45,3.62
8/1/23 7:50,3.62
8/1/23 7:55,3.62
8/1/23 8:00,3.63
8/1/23 8:05,3.63
8/1/23 8:10,3.63
8/1/23 8:15,3.63
8/1/23 8:20,3.64
8/1/23 8:25,3.64
8/1/23 8:30,3.64
8/1/23 8:35,3.64
8/1/23 8:40,3.64
8/1/23 8:45,3.65
8/1/23 8:50,3.65
8/1/23 8:55,3.65
8/1/23 9:00,3.65
8/1/23 9:05,3.65
8/1/23 9:10,3.66
8/1/23 9:15,3.66
8/1/23 9:20,3.67
8/1/23 9:25,3.67
8/1/23 9:30,3.67
8/1/23 9:35,3.67
8/1/23 9:40,3.68
8/1/23 9:45,3.68
8/1/23 9:50,3.68
8/1/23 9:55,3.68
8/1/23 10:00,3.68
8/1/23 10:05,3.69
8/1/23 10:10,3.68
8/1/23 10:15,3.68
8/1/23 10:20,8.12
8/1/23 10:25,8.13
8/1/23 10:30,8.14
8/1/23 10:35,8.15
8/1/23 10:40,8.15
8/1/23 10:45,8.15
8/1/23 10:50,8.16
8/1/23 10:55,8.16
8/1/23 11:00,8.16
8/1/23 11:05,8.17
8/1/23 11:10,8.17
8/1/23 11:15,8.18
8/1/23 11:20,8.18
8/1/23 11:25,8.19
8/1/23 11:30,8.2
8/1/23 11:35,8.2
8/1/23 11:40,8.21
8/1/23 11:45,8.22
8/1/23 11:50,8.22
8/1/23 11:55,8.23
8/1/23 12:00,8.24
8/1/23 12:05,8.25
8/1/23 12:10,8.26
8/1/23 12:15,8.26
8/1/23 12:20,8.26
8/1/23 12:25,8.26
