datetime,cond_us_cm,spec_cond_us_cm,salinity_ppt
8/2/23 11:00,2609.5,2462.4,1.2657
8/2/23 11:05,2374.7,2244.8,1.1482
8/2/23 11:10,2364.7,2228.8,1.1396
8/2/23 11:15,2369.1,2230.3,1.1405
8/2/23 11:20,2370.2,2229.2,1.1398
8/2/23 11:25,2372.5,2228.8,1.1396
8/2/23 11:30,2375.8,2230.6,1.1406
8/2/23 11:35,2375.8,2229.7,1.1401
8/2/23 11:40,2376.9,2229.9,1.1402
8/2/23 11:45,2380.8,2231.4,1.141
8/2/23 11:50,2380.3,2230.9,1.1408
8/2/23 11:55,2382.5,2231.7,1.1412
8/2/23 12:00,2387,2232.5,1.1416
8/2/23 12:05,2384.7,2232,1.1414
8/2/23 12:10,2387.5,2232.9,1.1418
8/2/23 12:15,2388.1,2231.3,1.141
8/2/23 12:20,2388.1,2230.9,1.1408
8/2/23 12:25,2390.9,2232.2,1.1415
8/2/23 12:30,2394.2,2232.3,1.1415
8/2/23 12:35,2394.8,2232.8,1.1418
8/2/23 12:40,2394.2,2232.7,1.1417
8/2/23 12:45,2398.7,2233.5,1.1421
8/2/23 12:50,2397,2232.8,1.1418
8/2/23 12:55,2399.8,2231.9,1.1413
8/2/23 13:00,2407.1,2233.1,1.142
8/2/23 13:05,2405.9,2232.4,1.1416
8/2/23 13:10,2405.4,2232,1.1413
8/2/23 13:15,2408.2,2232.9,1.1418
8/2/23 13:20,2411.5,2233.4,1.1421
8/2/23 13:25,2413.8,2233.8,1.1423
8/2/23 13:30,2414.9,2233.5,1.1422
8/2/23 13:35,2416,2233.7,1.1422
8/2/23 13:40,2421,2234,1.1424
8/2/23 13:45,2419.9,2233.8,1.1423
8/2/23 13:50,2422.2,2235.1,1.143
8/2/23 13:55,2425.5,2235.2,1.1431
8/2/23 14:00,2427.2,2235,1.143
8/2/23 14:05,2427.8,2234.7,1.1428
8/2/23 14:10,3240.7,2984.2,1.5503
8/2/23 14:15,2277,2091.9,1.0661
8/2/23 14:20,4720.2,4332.1,2.3009
8/2/23 14:25,4762,4363.8,2.3188
8/2/23 14:30,4810.9,4401.1,2.3399
8/2/23 14:35,4862.7,4440.1,2.3619
8/2/23 14:40,4889,4458.2,2.3721
8/2/23 14:45,4915.4,4477.2,2.3829
8/2/23 14:50,4898.1,4457.2,2.3716
8/2/23 14:55,4880,4440.7,2.3623
8/2/23 15:00,4882.8,4441.6,2.3628
8/2/23 15:05,4869.6,4427.9,2.355
8/2/23 15:10,4869.6,4425.4,2.3536
8/2/23 15:15,4860.6,4416.4,2.3485
8/2/23 15:20,4852.3,4407.2,2.3433
8/2/23 15:25,4847.5,4402,2.3404
8/2/23 15:30,4843.3,4398.2,2.3382
8/2/23 15:35,4834.3,4388.4,2.3327
8/2/23 15:40,4819.1,4373.7,2.3244
8/2/23 15:45,4826,4380.8,2.3284
8/2/23 15:50,4821.9,4377.1,2.3263
8/2/23 15:55,4821.9,4377.1,2.3263
8/2/23 16:00,4815,4375,2.3251
8/2/23 16:05,4791.6,,
8/2/23 16:10,4751,,
8/2/23 16:15,4686.7,,
8/2/23 16:20,4612.6,,
8/2/23 16:25,3653.7,,
8/2/23 16:30,505.8,,
8/2/23 16:35,503,,
8/2/23 16:40,494,,
8/2/23 16:45,2433.4,,
8/2/23 16:50,3516.8,,
8/2/23 16:55,647.1,,
8/2/23 17:00,636.6,,
8/2/23 17:05,525.1,,
8/2/23 17:10,466.4,,
8/2/23 17:15,469.2,,
8/2/23 17:20,408,,
8/2/23 17:25,290.6,,
8/2/23 17:30,115.8,,
8/2/23 17:35,99.7,,
