datetime,depth_m
8/1/23 8:00,0.008
8/1/23 8:05,0.005
8/1/23 8:10,0.928
8/1/23 8:15,0.908
8/1/23 8:20,0.903
8/1/23 8:25,0.914
8/1/23 8:30,0.913
8/1/23 8:35,0.918
8/1/23 8:40,0.917
8/1/23 8:45,0.93
8/1/23 8:50,0.915
8/1/23 8:55,0.92
8/1/23 9:00,0.928
8/1/23 9:05,0.925
8/1/23 9:10,0.954
8/1/23 9:15,0.95
8/1/23 9:20,0.933
8/1/23 9:25,0.983
8/1/23 9:30,0.98
8/1/23 9:35,0.98
8/1/23 9:40,0.982
8/1/23 9:45,0.992
8/1/23 9:50,0.974
8/1/23 9:55,1.022
8/1/23 10:00,1.029
8/1/23 10:05,1.066
8/1/23 10:10,1.074
8/1/23 10:15,1.043
8/1/23 10:20,1.082
8/1/23 10:25,1.09
8/1/23 10:30,1.111
8/1/23 10:35,1.098
8/1/23 10:40,1.119
8/1/23 10:45,1.121
8/1/23 10:50,1.147
8/1/23 10:55,1.132
8/1/23 11:00,1.176
8/1/23 11:05,1.163
8/1/23 11:10,1.168
8/1/23 11:15,1.169
8/1/23 11:20,1.172
8/1/23 11:25,1.192
8/1/23 11:30,1.205
8/1/23 11:35,1.218
8/1/23 11:40,1.21
8/1/23 11:45,1.231
8/1/23 11:50,1.221
8/1/23 11:55,1.241
8/1/23 12:00,1.241
8/1/23 12:05,1.252
8/1/23 12:10,1.238
8/1/23 12:15,1.249
8/1/23 12:20,1.26
8/1/23 12:25,1.261
8/1/23 12:30,1.275
8/1/23 12:35,1.291
8/1/23 12:40,1.294
8/1/23 12:45,1.27
8/1/23 12:50,1.295
8/1/23 12:55,1.304
8/1/23 13:00,1.295
8/1/23 13:05,1.298
8/1/23 13:10,1.289
8/1/23 13:15,1.316
8/1/23 13:20,1.298
8/1/23 13:25,1.287
8/1/23 13:30,1.307
8/1/23 13:35,1.32
8/1/23 13:40,1.313
8/1/23 13:45,1.31
8/1/23 13:50,1.307
8/1/23 13:55,1.304
8/1/23 14:00,1.298
8/1/23 14:05,1.312
8/1/23 14:10,1.299
8/1/23 14:15,1.299
8/1/23 14:20,1.298
8/1/23 14:25,1.291
8/1/23 14:30,1.301
8/1/23 14:35,1.276
8/1/23 14:40,1.268
8/1/23 14:45,0.038
8/1/23 14:50,0.023
8/1/23 14:55,0.025
8/1/23 15:00,0.028
8/1/23 15:05,0.028
8/1/23 15:10,0.029
8/1/23 15:15,0.033
8/1/23 15:20,0.032
8/1/23 15:25,0.031
8/1/23 15:30,0.031
8/1/23 15:35,0.031
8/1/23 15:40,0.029
8/1/23 15:45,0.019
8/1/23 15:50,-0.012
8/1/23 15:55,-0.004
8/1/23 16:00,-0.017
8/1/23 16:05,0.02
8/1/23 16:10,0.019
8/1/23 16:15,0.02
8/1/23 16:20,0.019
8/1/23 16:25,0.017
8/1/23 16:30,0.019
8/1/23 16:35,0.018
8/1/23 16:40,0.021
8/1/23 16:45,0.019
8/1/23 16:50,0.019
8/1/23 16:55,0.019
8/1/23 17:00,0.019
8/1/23 17:05,0.02
8/1/23 17:10,-0.008
8/1/23 17:15,-0.009
8/1/23 17:20,-0.016
8/1/23 17:25,-0.021
8/1/23 17:30,-0.023
8/1/23 17:35,-0.027
