MiniDOT Logger Concatenated Data File
Sensor:             7450-471033
Concatenation Date: 2023Aug03 13:21:07 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690883940,           2023-08-01 09:59:00,           2023-08-01 05:59:00,      3.540000,     20.537000,          8.748000,                    97.243520,      0.926000
                1690884240,           2023-08-01 10:04:00,           2023-08-01 06:04:00,      3.540000,     20.822000,          8.701000,                    97.264439,      0.926000
                1690884540,           2023-08-01 10:09:00,           2023-08-01 06:09:00,      3.540000,     20.830000,          8.703000,                    97.302061,      0.926000
                1690884840,           2023-08-01 10:14:00,           2023-08-01 06:14:00,      3.540000,     20.788000,          8.714000,                    97.344807,      0.927000
                1690885140,           2023-08-01 10:19:00,           2023-08-01 06:19:00,      3.540000,     20.730000,          8.718000,                    97.278659,      0.926000
                1690885440,           2023-08-01 10:24:00,           2023-08-01 06:24:00,      3.540000,     20.713000,          8.727000,                    97.346570,      0.927000
                1690885740,           2023-08-01 10:29:00,           2023-08-01 06:29:00,      3.540000,     20.713000,          8.732000,                    97.402343,      0.926000
                1690886040,           2023-08-01 10:34:00,           2023-08-01 06:34:00,      3.540000,     20.638000,          8.736000,                    97.303396,      0.926000
                1690886340,           2023-08-01 10:39:00,           2023-08-01 06:39:00,      3.540000,     20.521000,          8.759000,                    97.335106,      0.926000
                1690886640,           2023-08-01 10:44:00,           2023-08-01 06:44:00,      3.540000,     20.395000,          8.780000,                    97.326271,      0.926000
                1690886940,           2023-08-01 10:49:00,           2023-08-01 06:49:00,      3.540000,     20.295000,          8.816000,                    97.532407,      0.927000
                1690887240,           2023-08-01 10:54:00,           2023-08-01 06:54:00,      3.540000,     20.245000,          8.846000,                    97.767539,      0.927000
                1690887540,           2023-08-01 10:59:00,           2023-08-01 06:59:00,      3.540000,     20.211000,          8.823000,                    97.447723,      0.927000
                1690887840,           2023-08-01 11:04:00,           2023-08-01 07:04:00,      3.540000,     20.203000,          8.853000,                    97.763575,      0.927000
                1690888140,           2023-08-01 11:09:00,           2023-08-01 07:09:00,      3.540000,     20.194000,          8.858000,                    97.801354,      0.927000
                1690888440,           2023-08-01 11:14:00,           2023-08-01 07:14:00,      3.540000,     20.211000,          8.848000,                    97.723841,      0.926000
                1690888740,           2023-08-01 11:19:00,           2023-08-01 07:19:00,      3.540000,     20.604000,          8.795000,                    97.895041,      0.927000
                1690889040,           2023-08-01 11:24:00,           2023-08-01 07:24:00,      3.540000,     20.746000,          8.781000,                    98.012429,      0.927000
                1690889340,           2023-08-01 11:29:00,           2023-08-01 07:29:00,      3.540000,     20.830000,          8.738000,                    97.693371,      0.925000
                1690889640,           2023-08-01 11:34:00,           2023-08-01 07:34:00,      3.540000,     20.838000,          8.760000,                    97.954702,      0.926000
                1690889940,           2023-08-01 11:39:00,           2023-08-01 07:39:00,      3.540000,     20.872000,          8.760000,                    98.020011,      0.926000
                1690890240,           2023-08-01 11:44:00,           2023-08-01 07:44:00,      3.540000,     20.980000,          8.745000,                    98.059321,      0.927000
                1690890540,           2023-08-01 11:49:00,           2023-08-01 07:49:00,      3.540000,     21.256000,          8.695000,                    98.025421,      0.926000
                1690890840,           2023-08-01 11:54:00,           2023-08-01 07:54:00,      3.540000,     21.657000,          8.621000,                    97.950990,      0.925000
                1690891140,           2023-08-01 11:59:00,           2023-08-01 07:59:00,      3.540000,     22.083000,          8.544000,                    97.877417,      0.925000
                1690891440,           2023-08-01 12:04:00,           2023-08-01 08:04:00,      3.540000,     22.359000,          8.497000,                    97.856010,      0.924000
                1690891740,           2023-08-01 12:09:00,           2023-08-01 08:09:00,      3.540000,     22.577000,          8.469000,                    97.940964,      0.924000
