MiniDOT Logger Concatenated Data File
Sensor:             7450-516531
Concatenation Date: 2023Aug03 13:33:44 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690883700,           2023-08-01 09:55:00,           2023-08-01 05:55:00,      3.500000,     20.282000,          8.999000,                    99.531362,      0.909000
                1690884000,           2023-08-01 10:00:00,           2023-08-01 06:00:00,      3.500000,     20.374000,          8.988000,                    99.590640,      0.909000
                1690884300,           2023-08-01 10:05:00,           2023-08-01 06:05:00,      3.500000,     20.441000,          8.980000,                    99.633692,      0.909000
                1690884600,           2023-08-01 10:10:00,           2023-08-01 06:10:00,      3.500000,     20.458000,          8.974000,                    99.600521,      0.909000
                1690884900,           2023-08-01 10:15:00,           2023-08-01 06:15:00,      3.500000,     20.475000,          8.970000,                    99.589511,      0.909000
                1690885200,           2023-08-01 10:20:00,           2023-08-01 06:20:00,      3.500000,     20.483000,          8.964000,                    99.538598,      0.908000
                1690885500,           2023-08-01 10:25:00,           2023-08-01 06:25:00,      3.500000,     20.491000,          8.972000,                    99.643147,      0.909000
                1690885800,           2023-08-01 10:30:00,           2023-08-01 06:30:00,      3.500000,     20.500000,          8.971000,                    99.649720,      0.909000
                1690886100,           2023-08-01 10:35:00,           2023-08-01 06:35:00,      3.500000,     20.458000,          8.980000,                    99.667113,      0.909000
                1690886400,           2023-08-01 10:40:00,           2023-08-01 06:40:00,      3.500000,     20.374000,          8.988000,                    99.590640,      0.908000
                1690886700,           2023-08-01 10:45:00,           2023-08-01 06:45:00,      3.500000,     20.316000,          9.007000,                    99.686847,      0.909000
                1690887000,           2023-08-01 10:50:00,           2023-08-01 06:50:00,      3.500000,     20.265000,          9.019000,                    99.719024,      0.909000
                1690887300,           2023-08-01 10:55:00,           2023-08-01 06:55:00,      3.500000,     20.240000,          9.038000,                    99.879671,      0.908000
                1690887600,           2023-08-01 11:00:00,           2023-08-01 07:00:00,      3.500000,     20.207000,          9.059000,                   100.046356,      0.909000
                1690887900,           2023-08-01 11:05:00,           2023-08-01 07:05:00,      3.500000,     20.190000,          9.069000,                   100.123075,      0.909000
                1690888200,           2023-08-01 11:10:00,           2023-08-01 07:10:00,      3.500000,     20.182000,          9.068000,                   100.096170,      0.909000
                1690888500,           2023-08-01 11:15:00,           2023-08-01 07:15:00,      3.500000,     20.198000,          9.068000,                   100.127901,      0.909000
                1690888800,           2023-08-01 11:20:00,           2023-08-01 07:20:00,      3.500000,     20.600000,          9.012000,                   100.302520,      0.909000
                1690889100,           2023-08-01 11:25:00,           2023-08-01 07:25:00,      3.500000,     20.692000,          8.999000,                   100.339220,      0.909000
                1690889400,           2023-08-01 11:30:00,           2023-08-01 07:30:00,      3.500000,     20.675000,          9.022000,                   100.562063,      0.909000
                1690889700,           2023-08-01 11:35:00,           2023-08-01 07:35:00,      3.500000,     20.675000,          9.021000,                   100.550916,      0.910000
                1690890000,           2023-08-01 11:40:00,           2023-08-01 07:40:00,      3.490000,     20.709000,          9.006000,                   100.450821,      0.909000
                1690890300,           2023-08-01 11:45:00,           2023-08-01 07:45:00,      3.490000,     20.776000,          8.995000,                   100.460219,      0.908000
                1690890600,           2023-08-01 11:50:00,           2023-08-01 07:50:00,      3.490000,     20.960000,          8.970000,                   100.542932,      0.908000
                1690890900,           2023-08-01 11:55:00,           2023-08-01 07:55:00,      3.500000,     21.228000,          8.925000,                   100.563509,      0.908000
                1690891200,           2023-08-01 12:00:00,           2023-08-01 08:00:00,      3.500000,     21.453000,          8.890000,                   100.608581,      0.907000
                1690891500,           2023-08-01 12:05:00,           2023-08-01 08:05:00,      3.490000,     21.671000,          8.859000,                   100.682406,      0.908000
                1690891800,           2023-08-01 12:10:00,           2023-08-01 08:10:00,      3.490000,     21.913000,          8.832000,                   100.845945,      0.908000
                1690892100,           2023-08-01 12:15:00,           2023-08-01 08:15:00,      3.490000,     22.114000,          8.787000,                   100.721173,      0.907000
                1690892400,           2023-08-01 12:20:00,           2023-08-01 08:20:00,      3.500000,     22.340000,          8.748000,                   100.710000,      0.907000
                1690892700,           2023-08-01 12:25:00,           2023-08-01 08:25:00,      3.490000,     22.591000,          8.714000,                   100.801236,      0.906000
                1690893000,           2023-08-01 12:30:00,           2023-08-01 08:30:00,      3.490000,     22.858000,          8.683000,                   100.954761,      0.907000
                1690893300,           2023-08-01 12:35:00,           2023-08-01 08:35:00,      3.490000,     23.168000,          8.636000,                   101.000372,      0.907000
                1690893600,           2023-08-01 12:40:00,           2023-08-01 08:40:00,      3.490000,     23.453000,          8.588000,                   100.980942,      0.906000
                1690893900,           2023-08-01 12:45:00,           2023-08-01 08:45:00,      3.490000,     23.738000,          8.540000,                   100.956077,      0.905000
                1690894200,           2023-08-01 12:50:00,           2023-08-01 08:50:00,      3.490000,     24.157000,          8.480000,                   101.035558,      0.905000
                1690894500,           2023-08-01 12:55:00,           2023-08-01 08:55:00,      3.490000,     24.728000,          8.404000,                   101.197515,      0.906000
                1690894800,           2023-08-01 13:00:00,           2023-08-01 09:00:00,      3.490000,     25.249000,          8.322000,                   101.176806,      0.905000
                1690895100,           2023-08-01 13:05:00,           2023-08-01 09:05:00,      3.490000,     25.763000,          8.260000,                   101.371729,      0.905000
                1690895400,           2023-08-01 13:10:00,           2023-08-01 09:10:00,      3.490000,     25.898000,          8.236000,                   101.325986,      0.905000
                1690895700,           2023-08-01 13:15:00,           2023-08-01 09:15:00,      3.490000,     25.780000,          8.261000,                   101.415419,      0.905000
                1690896000,           2023-08-01 13:20:00,           2023-08-01 09:20:00,      3.490000,     25.873000,          8.236000,                   101.279901,      0.904000
                1690896300,           2023-08-01 13:25:00,           2023-08-01 09:25:00,      3.490000,     25.974000,          8.227000,                   101.355237,      0.905000
                1690896600,           2023-08-01 13:30:00,           2023-08-01 09:30:00,      3.490000,     26.168000,          8.190000,                   101.255317,      0.904000
                1690896900,           2023-08-01 13:35:00,           2023-08-01 09:35:00,      3.490000,     26.362000,          8.159000,                   101.226926,      0.904000
                1690897200,           2023-08-01 13:40:00,           2023-08-01 09:40:00,      3.490000,     26.498000,          8.143000,                   101.276889,      0.904000
                1690897500,           2023-08-01 13:45:00,           2023-08-01 09:45:00,      3.490000,     26.667000,          8.120000,                   101.298932,      0.904000
                1690897800,           2023-08-01 13:50:00,           2023-08-01 09:50:00,      3.490000,     26.845000,          8.097000,                   101.335847,      0.905000
                1690898100,           2023-08-01 13:55:00,           2023-08-01 09:55:00,      3.490000,     27.048000,          8.068000,                   101.341232,      0.904000
                1690898400,           2023-08-01 14:00:00,           2023-08-01 10:00:00,      3.490000,     27.405000,          8.014000,                   101.307191,      0.904000
                1690898700,           2023-08-01 14:05:00,           2023-08-01 10:05:00,      3.490000,     27.830000,          7.944000,                   101.183966,      0.903000
                1690899000,           2023-08-01 14:10:00,           2023-08-01 10:10:00,      3.490000,     27.856000,          7.959000,                   101.421757,      0.904000
                1690899300,           2023-08-01 14:15:00,           2023-08-01 10:15:00,      3.490000,     27.856000,          7.953000,                   101.345299,      0.902000
                1690899600,           2023-08-01 14:20:00,           2023-08-01 10:20:00,      3.490000,     28.009000,          7.934000,                   101.377449,      0.903000
                1690899900,           2023-08-01 14:25:00,           2023-08-01 10:25:00,      3.490000,     28.350000,          7.869000,                   101.153904,      0.902000
                1690900200,           2023-08-01 14:30:00,           2023-08-01 10:30:00,      3.490000,     27.941000,          7.101000,                    90.624590,      0.903000
                1690900500,           2023-08-01 14:35:00,           2023-08-01 10:35:00,      3.490000,     27.753000,          7.164000,                    91.124435,      0.904000
                1690900800,           2023-08-01 14:40:00,           2023-08-01 10:40:00,      3.490000,     27.745000,          7.225000,                    91.887293,      0.905000
                1690901100,           2023-08-01 14:45:00,           2023-08-01 10:45:00,      3.490000,     27.719000,          7.273000,                    92.455072,      0.906000
                1690901400,           2023-08-01 14:50:00,           2023-08-01 10:50:00,      3.490000,     27.719000,          7.294000,                    92.722026,      0.905000
                1690901700,           2023-08-01 14:55:00,           2023-08-01 10:55:00,      3.490000,     27.719000,          7.356000,                    93.510176,      0.906000
                1690902000,           2023-08-01 15:00:00,           2023-08-01 11:00:00,      3.490000,     27.711000,          7.365000,                    93.611286,      0.905000
                1690902300,           2023-08-01 15:05:00,           2023-08-01 11:05:00,      3.490000,     27.719000,          7.375000,                    93.751706,      0.906000
                1690902600,           2023-08-01 15:10:00,           2023-08-01 11:10:00,      3.490000,     27.719000,          7.419000,                    94.311038,      0.906000
                1690902900,           2023-08-01 15:15:00,           2023-08-01 11:15:00,      3.490000,     27.753000,          7.436000,                    94.584212,      0.906000
                1690903200,           2023-08-01 15:20:00,           2023-08-01 11:20:00,      3.490000,     27.745000,          7.472000,                    95.028630,      0.906000
                1690903500,           2023-08-01 15:25:00,           2023-08-01 11:25:00,      3.490000,     27.779000,          7.514000,                    95.620459,      0.907000
                1690903800,           2023-08-01 15:30:00,           2023-08-01 11:30:00,      3.490000,     27.787000,          7.491000,                    95.341300,      0.906000
                1690904100,           2023-08-01 15:35:00,           2023-08-01 11:35:00,      3.490000,     27.813000,          7.582000,                    96.544009,      0.906000
                1690904400,           2023-08-01 15:40:00,           2023-08-01 11:40:00,      3.490000,     27.838000,          7.614000,                    96.994460,      0.906000
                1690904700,           2023-08-01 15:45:00,           2023-08-01 11:45:00,      3.490000,     27.864000,          7.670000,                    97.752881,      0.907000
                1690905000,           2023-08-01 15:50:00,           2023-08-01 11:50:00,      3.490000,     27.881000,          7.714000,                    98.343274,      0.907000
                1690905300,           2023-08-01 15:55:00,           2023-08-01 11:55:00,      3.490000,     27.915000,          7.732000,                    98.632137,      0.907000
                1690905600,           2023-08-01 16:00:00,           2023-08-01 12:00:00,      3.490000,     27.932000,          7.746000,                    98.840477,      0.906000
                1690905900,           2023-08-01 16:05:00,           2023-08-01 12:05:00,      3.490000,     27.975000,          7.832000,                   100.013952,      0.907000
                1690906200,           2023-08-01 16:10:00,           2023-08-01 12:10:00,      3.490000,     28.000000,          7.859000,                   100.403143,      0.907000
                1690906500,           2023-08-01 16:15:00,           2023-08-01 12:15:00,      3.490000,     28.017000,          7.914000,                   101.136207,      0.907000
                1690906800,           2023-08-01 16:20:00,           2023-08-01 12:20:00,      3.490000,     28.034000,          7.865000,                   100.540239,      0.906000
                1690907100,           2023-08-01 16:25:00,           2023-08-01 12:25:00,      3.490000,     28.051000,          7.922000,                   101.299329,      0.907000
                1690907400,           2023-08-01 16:30:00,           2023-08-01 12:30:00,      3.490000,     28.077000,          7.947000,                   101.665720,      0.906000
                1690907700,           2023-08-01 16:35:00,           2023-08-01 12:35:00,      3.490000,     28.077000,          7.949000,                   101.691305,      0.907000
                1690908000,           2023-08-01 16:40:00,           2023-08-01 12:40:00,      3.490000,     28.128000,          8.051000,                   103.089036,      0.907000
                1690908300,           2023-08-01 16:45:00,           2023-08-01 12:45:00,      3.490000,     28.154000,          8.069000,                   103.366965,      0.908000
                1690908600,           2023-08-01 16:50:00,           2023-08-01 12:50:00,      3.490000,     28.137000,          8.077000,                   103.438393,      0.907000
