datetime,depth_m
8/16/23 8:00,0.806
8/16/23 8:05,0.838
8/16/23 8:10,0.113
8/16/23 8:15,0.7
8/16/23 8:20,0.717
8/16/23 8:25,0.736
8/16/23 8:30,0.747
8/16/23 8:35,0.769
8/16/23 8:40,0.751
8/16/23 8:45,0.778
8/16/23 8:50,0.787
8/16/23 8:55,0.789
8/16/23 9:00,0.801
8/16/23 9:05,0.785
8/16/23 9:10,0.812
8/16/23 9:15,0.813
8/16/23 9:20,0.792
8/16/23 9:25,0.813
8/16/23 9:30,0.814
8/16/23 9:35,0.811
8/16/23 9:40,0.811
8/16/23 9:45,0.824
8/16/23 9:50,0.834
8/16/23 9:55,0.81
8/16/23 10:00,0.812
8/16/23 10:05,0.808
8/16/23 10:10,0.799
8/16/23 10:15,0.779
8/16/23 10:20,0.789
8/16/23 10:25,0.778
8/16/23 10:30,0.762
8/16/23 10:35,0.753
8/16/23 10:40,0.744
8/16/23 10:45,0.757
8/16/23 10:50,0.734
8/16/23 10:55,0.736
8/16/23 11:00,0.734
8/16/23 11:05,0.731
8/16/23 11:10,0.728
8/16/23 11:15,0.721
8/16/23 11:20,0.728
8/16/23 11:25,0.709
8/16/23 11:30,0.717
8/16/23 11:35,0.699
8/16/23 11:40,0.704
8/16/23 11:45,0.682
8/16/23 11:50,0.671
8/16/23 11:55,0.668
8/16/23 12:00,0.67
8/16/23 12:05,0.657
8/16/23 12:10,0.645
8/16/23 12:15,0.626
8/16/23 12:20,0.618
8/16/23 12:25,0.642
8/16/23 12:30,0.588
8/16/23 12:35,0.574
8/16/23 12:40,0.568
8/16/23 12:45,0.551
8/16/23 12:50,0.546
8/16/23 12:55,0.519
8/16/23 13:00,0.502
8/16/23 13:05,0.488
8/16/23 13:10,0.475
8/16/23 13:15,0.463
8/16/23 13:20,0.449
8/16/23 13:25,0.427
8/16/23 13:30,0.416
8/16/23 13:35,0.398
8/16/23 13:40,0.375
8/16/23 13:45,0.353
8/16/23 13:50,0.328
8/16/23 13:55,0.338
8/16/23 14:00,0.319
8/16/23 14:05,0.295
8/16/23 14:10,0.28
8/16/23 14:15,0.27
8/16/23 14:20,0.251
8/16/23 14:25,0.254
8/16/23 14:30,0.244
8/16/23 14:35,0.221
8/16/23 14:40,0.223
8/16/23 14:45,0.203
8/16/23 14:50,0.206
8/16/23 14:55,-0.102
8/16/23 15:00,-0.099
8/16/23 15:05,-0.112
8/16/23 15:10,-0.101
8/16/23 15:15,-0.09
8/16/23 15:20,-0.078
8/16/23 15:25,-0.073
8/16/23 15:30,-0.066
8/16/23 15:35,-0.06
8/16/23 15:40,-0.043
8/16/23 15:45,-0.053
8/16/23 15:50,-0.051
8/16/23 15:55,-0.052
8/16/23 16:00,-0.05
8/16/23 16:05,-0.058
8/16/23 16:10,-0.062
8/16/23 16:15,-0.058
8/16/23 16:20,-0.057
8/16/23 16:25,-0.058
8/16/23 16:30,-0.063
8/16/23 16:35,-0.062
