MiniDOT Logger Concatenated Data File
Sensor:             7450-471033
Concatenation Date: 2023Aug21 14:44:24 EDT

DO concentration compensated for salinity: 22.6 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181560,           2023-08-16 10:26:00,           2023-08-16 06:26:00,      3.540000,     21.540000,          7.527194,                    97.343741,      0.915000
                1692181860,           2023-08-16 10:31:00,           2023-08-16 06:31:00,      3.540000,     21.524000,          7.523570,                    97.268203,      0.914000
                1692182160,           2023-08-16 10:36:00,           2023-08-16 06:36:00,      3.540000,     21.465000,          7.538037,                    97.349319,      0.915000
                1692182460,           2023-08-16 10:41:00,           2023-08-16 06:41:00,      3.540000,     21.448000,          7.538788,                    97.328501,      0.915000
                1692182760,           2023-08-16 10:46:00,           2023-08-16 06:46:00,      3.540000,     21.448000,          7.534406,                    97.271922,      0.914000
                1692183060,           2023-08-16 10:51:00,           2023-08-16 06:51:00,      3.540000,     21.482000,          7.537286,                    97.370131,      0.914000
                1692183360,           2023-08-16 10:56:00,           2023-08-16 06:56:00,      3.540000,     21.549000,          7.535149,                    97.462776,      0.915000
                1692183660,           2023-08-16 11:01:00,           2023-08-16 07:01:00,      3.540000,     21.590000,          7.530191,                    97.472190,      0.914000
                1692183960,           2023-08-16 11:06:00,           2023-08-16 07:06:00,      3.540000,     21.624000,          7.516415,                    97.354747,      0.914000
                1692184260,           2023-08-16 11:11:00,           2023-08-16 07:11:00,      3.540000,     21.699000,          7.513457,                    97.450714,      0.914000
                1692184560,           2023-08-16 11:16:00,           2023-08-16 07:16:00,      3.540000,     21.824000,          7.506479,                    97.583862,      0.915000
                1692184860,           2023-08-16 11:21:00,           2023-08-16 07:21:00,      3.540000,     21.975000,          7.475130,                    97.445507,      0.914000
