MiniDOT Logger Concatenated Data File
Sensor:             7450-566774
Concatenation Date: 2023Aug21 14:30:08 EDT

DO concentration compensated for salinity: 22.6 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181500,           2023-08-16 10:25:00,           2023-08-16 06:25:00,      3.480000,     21.555000,          7.607074,                    98.403953,      0.904000
                1692181800,           2023-08-16 10:30:00,           2023-08-16 06:30:00,      3.480000,     21.589000,          7.596807,                    98.332670,      0.904000
                1692182100,           2023-08-16 10:35:00,           2023-08-16 06:35:00,      3.480000,     21.530000,          7.600753,                    98.276915,      0.903000
                1692182400,           2023-08-16 10:40:00,           2023-08-16 06:40:00,      3.480000,     21.497000,          7.599631,                    98.202682,      0.903000
                1692182700,           2023-08-16 10:45:00,           2023-08-16 06:45:00,      3.480000,     21.497000,          7.625927,                    98.542484,      0.904000
                1692183000,           2023-08-16 10:50:00,           2023-08-16 06:50:00,      3.480000,     21.505000,          7.618098,                    98.455828,      0.904000
                1692183300,           2023-08-16 10:55:00,           2023-08-16 06:55:00,      3.480000,     21.530000,          7.608642,                    98.378921,      0.903000
                1692183600,           2023-08-16 11:00:00,           2023-08-16 07:00:00,      3.480000,     21.564000,          7.615030,                    98.523199,      0.904000
                1692183900,           2023-08-16 11:05:00,           2023-08-16 07:05:00,      3.480000,     21.605000,          7.608322,                    98.510718,      0.904000
                1692184200,           2023-08-16 11:10:00,           2023-08-16 07:10:00,      3.480000,     21.647000,          7.602497,                    98.511372,      0.904000
                1692184500,           2023-08-16 11:15:00,           2023-08-16 07:15:00,      3.480000,     21.739000,          7.590903,                    98.527572,      0.904000
                1692184800,           2023-08-16 11:20:00,           2023-08-16 07:20:00,      3.470000,     21.856000,          7.566338,                    98.419753,      0.903000
                1692185100,           2023-08-16 11:25:00,           2023-08-16 07:25:00,      3.470000,     21.965000,          7.558368,                    98.512555,      0.903000
                1692185400,           2023-08-16 11:30:00,           2023-08-16 07:30:00,      3.470000,     22.082000,          7.547821,                    98.585774,      0.904000
                1692185700,           2023-08-16 11:35:00,           2023-08-16 07:35:00,      3.480000,     22.183000,          7.519612,                    98.398565,      0.903000
                1692186000,           2023-08-16 11:40:00,           2023-08-16 07:40:00,      3.480000,     22.367000,          7.513925,                    98.654249,      0.904000
                1692186300,           2023-08-16 11:45:00,           2023-08-16 07:45:00,      3.480000,     22.668000,          7.463440,                    98.528188,      0.903000
                1692186600,           2023-08-16 11:50:00,           2023-08-16 07:50:00,      3.470000,     22.953000,          7.432988,                    98.632851,      0.903000
                1692186900,           2023-08-16 11:55:00,           2023-08-16 07:55:00,      3.470000,     23.154000,          7.402798,                    98.588414,      0.903000
                1692187200,           2023-08-16 12:00:00,           2023-08-16 08:00:00,      3.480000,     23.313000,          7.379324,                    98.556811,      0.903000
                1692187500,           2023-08-16 12:05:00,           2023-08-16 08:05:00,      3.480000,     23.481000,          7.362049,                    98.622480,      0.903000
                1692187800,           2023-08-16 12:10:00,           2023-08-16 08:10:00,      3.470000,     23.623000,          7.349855,                    98.709373,      0.903000
                1692188100,           2023-08-16 12:15:00,           2023-08-16 08:15:00,      3.470000,     23.766000,          7.322728,                    98.596254,      0.902000
                1692188400,           2023-08-16 12:20:00,           2023-08-16 08:20:00,      3.470000,     23.975000,          7.299554,                    98.650420,      0.903000
                1692188700,           2023-08-16 12:25:00,           2023-08-16 08:25:00,      3.470000,     24.303000,          7.256074,                    98.634593,      0.903000
