MiniDOT Logger Concatenated Data File
Sensor:             7450-562111
Concatenation Date: 2023Aug21 14:40:28 EDT

DO concentration compensated for salinity: 22.6 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181500,           2023-08-16 10:25:00,           2023-08-16 06:25:00,      3.470000,     21.554000,          7.551842,                    97.687672,      0.929000
                1692181800,           2023-08-16 10:30:00,           2023-08-16 06:30:00,      3.470000,     21.562000,          7.535245,                    97.487347,      0.929000
                1692182100,           2023-08-16 10:35:00,           2023-08-16 06:35:00,      3.470000,     21.503000,          7.551465,                    97.591076,      0.929000
                1692182400,           2023-08-16 10:40:00,           2023-08-16 06:40:00,      3.470000,     21.537000,          7.545580,                    97.576123,      0.930000
                1692182700,           2023-08-16 10:45:00,           2023-08-16 06:45:00,      3.470000,     21.545000,          7.540380,                    97.523240,      0.929000
                1692183000,           2023-08-16 10:50:00,           2023-08-16 06:50:00,      3.470000,     21.562000,          7.536122,                    97.498688,      0.929000
                1692183300,           2023-08-16 10:55:00,           2023-08-16 06:55:00,      3.470000,     21.629000,          7.536614,                    97.625358,      0.930000
                1692183600,           2023-08-16 11:00:00,           2023-08-16 07:00:00,      3.470000,     21.679000,          7.529091,                    97.617608,      0.930000
                1692183900,           2023-08-16 11:05:00,           2023-08-16 07:05:00,      3.470000,     21.746000,          7.525198,                    97.687296,      0.930000
                1692184200,           2023-08-16 11:10:00,           2023-08-16 07:10:00,      3.470000,     21.821000,          7.513471,                    97.669393,      0.930000
                1692184500,           2023-08-16 11:15:00,           2023-08-16 07:15:00,      3.470000,     21.913000,          7.495727,                    97.603163,      0.929000
                1692184800,           2023-08-16 11:20:00,           2023-08-16 07:20:00,      3.470000,     22.014000,          7.488567,                    97.690336,      0.930000
                1692185100,           2023-08-16 11:25:00,           2023-08-16 07:25:00,      3.470000,     22.189000,          7.465273,                    97.698202,      0.929000
                1692185400,           2023-08-16 11:30:00,           2023-08-16 07:30:00,      3.470000,     22.323000,          7.448692,                    97.719490,      0.930000
                1692185700,           2023-08-16 11:35:00,           2023-08-16 07:35:00,      3.470000,     22.440000,          7.428472,                    97.661817,      0.929000
                1692186000,           2023-08-16 11:40:00,           2023-08-16 07:40:00,      3.470000,     22.649000,          7.418551,                    97.901894,      0.930000
                1692186300,           2023-08-16 11:45:00,           2023-08-16 07:45:00,      3.470000,     22.984000,          7.365616,                    97.793493,      0.929000
                1692186600,           2023-08-16 11:50:00,           2023-08-16 07:50:00,      3.470000,     23.344000,          7.311926,                    97.710964,      0.928000
                1692186900,           2023-08-16 11:55:00,           2023-08-16 07:55:00,      3.470000,     23.604000,          7.286485,                    97.825113,      0.929000
                1692187200,           2023-08-16 12:00:00,           2023-08-16 08:00:00,      3.470000,     23.864000,          7.258387,                    97.900645,      0.929000
                1692187500,           2023-08-16 12:05:00,           2023-08-16 08:05:00,      3.460000,     24.141000,          7.221592,                    97.884727,      0.929000
                1692187800,           2023-08-16 12:10:00,           2023-08-16 08:10:00,      3.470000,     24.409000,          7.193498,                    97.967313,      0.929000
                1692188100,           2023-08-16 12:15:00,           2023-08-16 08:15:00,      3.470000,     24.620000,          7.151818,                    97.762699,      0.928000
                1692188400,           2023-08-16 12:20:00,           2023-08-16 08:20:00,      3.460000,     25.124000,          7.126969,                    98.288238,      0.930000
                1692188700,           2023-08-16 12:25:00,           2023-08-16 08:25:00,      3.460000,     26.094000,          7.019641,                    98.452631,      0.930000
                1692189000,           2023-08-16 12:30:00,           2023-08-16 08:30:00,      3.470000,     26.601000,          6.945301,                    98.262843,      0.929000
                1692189300,           2023-08-16 12:35:00,           2023-08-16 08:35:00,      3.460000,     26.906000,          6.906644,                    98.226948,      0.929000
                1692189600,           2023-08-16 12:40:00,           2023-08-16 08:40:00,      3.460000,     27.059000,          6.880258,                    98.107290,      0.929000
                1692189900,           2023-08-16 12:45:00,           2023-08-16 08:45:00,      3.460000,     27.110000,          6.877041,                    98.146612,      0.929000
                1692190200,           2023-08-16 12:50:00,           2023-08-16 08:50:00,      3.460000,     27.101000,          6.869938,                    98.030221,      0.929000
                1692190500,           2023-08-16 12:55:00,           2023-08-16 08:55:00,      3.460000,     27.637000,          6.865211,                    98.857689,      0.930000
                1692190800,           2023-08-16 13:00:00,           2023-08-16 09:00:00,      3.460000,     29.124000,          6.703583,                    98.965202,      0.929000
                1692191100,           2023-08-16 13:05:00,           2023-08-16 09:05:00,      3.460000,     29.175000,          6.687982,                    98.818499,      0.929000
                1692191400,           2023-08-16 13:10:00,           2023-08-16 09:10:00,      3.460000,     28.944000,          6.705213,                    98.693587,      0.929000
                1692191700,           2023-08-16 13:15:00,           2023-08-16 09:15:00,      3.460000,     28.575000,          6.728702,                    98.431796,      0.929000
                1692192000,           2023-08-16 13:20:00,           2023-08-16 09:20:00,      3.460000,     28.516000,          6.743361,                    98.548988,      0.929000
                1692192300,           2023-08-16 13:25:00,           2023-08-16 09:25:00,      3.460000,     28.738000,          6.716398,                    98.519549,      0.929000
                1692192600,           2023-08-16 13:30:00,           2023-08-16 09:30:00,      3.460000,     28.832000,          6.699284,                    98.422619,      0.928000
                1692192900,           2023-08-16 13:35:00,           2023-08-16 09:35:00,      3.460000,     29.029000,          6.702164,                    98.788238,      0.930000
                1692193200,           2023-08-16 13:40:00,           2023-08-16 09:40:00,      3.460000,     30.468000,          6.550251,                    98.866317,      0.929000
                1692193500,           2023-08-16 13:45:00,           2023-08-16 09:45:00,      3.460000,     32.209000,          6.344430,                    98.498023,      0.926000
                1692193800,           2023-08-16 13:50:00,           2023-08-16 09:50:00,      3.460000,     33.440000,          6.207066,                    98.276356,      0.924000
                1692194100,           2023-08-16 13:55:00,           2023-08-16 09:55:00,      3.460000,     34.637000,          6.050524,                    97.623681,      0.920000
                1692194400,           2023-08-16 14:00:00,           2023-08-16 10:00:00,      3.460000,     35.522000,          5.923252,                    96.901720,      0.917000
                1692194700,           2023-08-16 14:05:00,           2023-08-16 10:05:00,      3.450000,     36.205000,          5.825064,                    96.312167,      0.914000
                1692195000,           2023-08-16 14:10:00,           2023-08-16 10:10:00,      3.450000,     36.466000,          5.798660,                    96.263866,      0.912000
                1692195300,           2023-08-16 14:15:00,           2023-08-16 10:15:00,      3.450000,     36.466000,          5.832394,                    96.823883,      0.913000
                1692195600,           2023-08-16 14:20:00,           2023-08-16 10:20:00,      3.450000,     36.466000,          5.862576,                    97.324950,      0.914000
                1692195900,           2023-08-16 14:25:00,           2023-08-16 10:25:00,      3.450000,     36.448000,          5.787043,                    96.044265,      0.913000
                1692196200,           2023-08-16 14:30:00,           2023-08-16 10:30:00,      3.450000,     36.466000,          5.714325,                    94.863825,      0.912000
                1692196500,           2023-08-16 14:35:00,           2023-08-16 10:35:00,      3.460000,     35.836000,          5.795972,                    95.283887,      0.915000
                1692196800,           2023-08-16 14:40:00,           2023-08-16 10:40:00,      3.460000,     34.513000,          5.987018,                    96.411163,      0.922000
                1692197100,           2023-08-16 14:45:00,           2023-08-16 10:45:00,      3.470000,     33.449000,          6.101709,                    96.622027,      0.924000
                1692197400,           2023-08-16 14:50:00,           2023-08-16 10:50:00,      3.460000,     32.779000,          6.202100,                    97.170615,      0.926000
                1692197700,           2023-08-16 14:55:00,           2023-08-16 10:55:00,      3.460000,     31.859000,          6.341779,                    97.904450,      0.928000
                1692198000,           2023-08-16 15:00:00,           2023-08-16 11:00:00,      3.470000,     31.040000,          6.448107,                    98.235992,      0.928000
                1692198300,           2023-08-16 15:05:00,           2023-08-16 11:05:00,      3.470000,     29.958000,          5.102510,                    76.373596,      0.928000
                1692198600,           2023-08-16 15:10:00,           2023-08-16 11:10:00,      3.470000,     28.627000,          5.162105,                    75.580237,      0.932000
                1692198900,           2023-08-16 15:15:00,           2023-08-16 11:15:00,      3.470000,     28.413000,          5.292597,                    77.213998,      0.933000
                1692199200,           2023-08-16 15:20:00,           2023-08-16 11:20:00,      3.470000,     28.422000,          5.395844,                    78.732139,      0.932000
                1692199500,           2023-08-16 15:25:00,           2023-08-16 11:25:00,      3.470000,     28.422000,          5.497287,                    80.212309,      0.933000
                1692199800,           2023-08-16 15:30:00,           2023-08-16 11:30:00,      3.470000,     28.456000,          5.620944,                    82.063325,      0.932000
                1692200100,           2023-08-16 15:35:00,           2023-08-16 11:35:00,      3.470000,     28.498000,          5.739356,                    83.850980,      0.932000
                1692200400,           2023-08-16 15:40:00,           2023-08-16 11:40:00,      3.470000,     28.524000,          5.897393,                    86.197359,      0.932000
                1692200700,           2023-08-16 15:45:00,           2023-08-16 11:45:00,      3.470000,     28.516000,          5.997039,                    87.642075,      0.932000
                1692201000,           2023-08-16 15:50:00,           2023-08-16 11:50:00,      3.470000,     28.558000,          6.124292,                    89.564642,      0.932000
                1692201300,           2023-08-16 15:55:00,           2023-08-16 11:55:00,      3.470000,     28.593000,          6.216226,                    90.962330,      0.933000
                1692201600,           2023-08-16 16:00:00,           2023-08-16 12:00:00,      3.470000,     28.627000,          6.279929,                    91.946697,      0.932000
                1692201900,           2023-08-16 16:05:00,           2023-08-16 12:05:00,      3.470000,     28.670000,          6.366623,                    93.282966,      0.932000
                1692202200,           2023-08-16 16:10:00,           2023-08-16 12:10:00,      3.470000,     28.695000,          6.458518,                    94.668899,      0.933000
                1692202500,           2023-08-16 16:15:00,           2023-08-16 12:15:00,      3.470000,     28.747000,          6.519685,                    95.648421,      0.931000
                1692202800,           2023-08-16 16:20:00,           2023-08-16 12:20:00,      3.470000,     28.789000,          6.650509,                    97.636055,      0.932000
                1692203100,           2023-08-16 16:25:00,           2023-08-16 12:25:00,      3.470000,     28.858000,          6.753260,                    99.258584,      0.932000
                1692203400,           2023-08-16 16:30:00,           2023-08-16 12:30:00,      3.470000,     28.884000,          6.868127,                   100.990604,      0.932000
                1692203700,           2023-08-16 16:35:00,           2023-08-16 12:35:00,      3.470000,     28.935000,          6.951377,                   102.301536,      0.932000
                1692204000,           2023-08-16 16:40:00,           2023-08-16 12:40:00,      3.470000,     28.978000,          7.044294,                   103.743155,      0.932000
                1692204300,           2023-08-16 16:45:00,           2023-08-16 12:45:00,      3.470000,     29.029000,          7.149622,                   105.383661,      0.932000
                1692204600,           2023-08-16 16:50:00,           2023-08-16 12:50:00,      3.470000,     29.098000,          7.222412,                   106.578670,      0.932000
                1692204900,           2023-08-16 16:55:00,           2023-08-16 12:55:00,      3.470000,     29.141000,          7.333004,                   108.287916,      0.933000
                1692205200,           2023-08-16 17:00:00,           2023-08-16 13:00:00,      3.470000,     29.210000,          7.430525,                   109.853730,      0.933000
                1692205500,           2023-08-16 17:05:00,           2023-08-16 13:05:00,      3.470000,     29.244000,          7.559615,                   111.825226,      0.933000
                1692205800,           2023-08-16 17:10:00,           2023-08-16 13:10:00,      3.470000,     29.321000,          7.665153,                   113.531169,      0.932000
                1692206100,           2023-08-16 17:15:00,           2023-08-16 13:15:00,      3.470000,     29.364000,          7.735171,                   114.649836,      0.932000
                1692206400,           2023-08-16 17:20:00,           2023-08-16 13:20:00,      3.470000,     29.433000,          7.867164,                   116.739437,      0.932000
                1692206700,           2023-08-16 17:25:00,           2023-08-16 13:25:00,      3.470000,     29.502000,          8.013298,                   119.043631,      0.932000
                1692207000,           2023-08-16 17:30:00,           2023-08-16 13:30:00,      3.470000,     29.528000,          8.143263,                   121.026344,      0.932000
                1692207300,           2023-08-16 17:35:00,           2023-08-16 13:35:00,      3.470000,     29.493000,          8.263983,                   122.749478,      0.931000
                1692207600,           2023-08-16 17:40:00,           2023-08-16 13:40:00,      3.470000,     29.519000,          8.422205,                   125.153415,      0.932000
                1692207900,           2023-08-16 17:45:00,           2023-08-16 13:45:00,      3.470000,     29.562000,          8.442816,                   125.548837,      0.932000
                1692208200,           2023-08-16 17:50:00,           2023-08-16 13:50:00,      3.470000,     29.605000,          8.489034,                   126.325785,      0.933000
                1692208500,           2023-08-16 17:55:00,           2023-08-16 13:55:00,      3.470000,     29.631000,          8.504229,                   126.606224,      0.932000
                1692208800,           2023-08-16 18:00:00,           2023-08-16 14:00:00,      3.470000,     29.502000,          7.078296,                   105.153458,      0.930000
                1692209100,           2023-08-16 18:05:00,           2023-08-16 14:05:00,      3.470000,     29.184000,          6.674793,                    98.638344,      0.931000
                1692209400,           2023-08-16 18:10:00,           2023-08-16 14:10:00,      3.470000,     29.390000,          6.669766,                    98.901075,      0.932000
                1692209700,           2023-08-16 18:15:00,           2023-08-16 14:15:00,      3.470000,     30.131000,          6.565220,                    98.546843,      0.930000
                1692210000,           2023-08-16 18:20:00,           2023-08-16 14:20:00,      3.470000,     30.607000,          6.508578,                    98.460619,      0.930000
                1692210300,           2023-08-16 18:25:00,           2023-08-16 14:25:00,      3.470000,     30.875000,          6.466689,                    98.255143,      0.930000
