MiniDOT Logger Concatenated Data File
Sensor:             7450-516531
Concatenation Date: 2023Aug21 14:34:39 EDT

DO concentration compensated for salinity: 22.6 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181440,           2023-08-16 10:24:00,           2023-08-16 06:24:00,      3.500000,     21.462000,          7.751884,                   100.105491,      0.905000
                1692181740,           2023-08-16 10:29:00,           2023-08-16 06:29:00,      3.500000,     21.462000,          7.745749,                   100.026258,      0.905000
                1692182040,           2023-08-16 10:34:00,           2023-08-16 06:34:00,      3.500000,     21.437000,          7.750818,                   100.045583,      0.905000
                1692182340,           2023-08-16 10:39:00,           2023-08-16 06:39:00,      3.500000,     21.420000,          7.746307,                    99.955996,      0.904000
                1692182640,           2023-08-16 10:44:00,           2023-08-16 06:44:00,      3.500000,     21.428000,          7.756009,                   100.095961,      0.905000
                1692182940,           2023-08-16 10:49:00,           2023-08-16 06:49:00,      3.500000,     21.478000,          7.747623,                   100.079982,      0.905000
                1692183240,           2023-08-16 10:54:00,           2023-08-16 06:54:00,      3.500000,     21.504000,          7.748696,                   100.141828,      0.905000
                1692183540,           2023-08-16 10:59:00,           2023-08-16 06:59:00,      3.500000,     21.621000,          7.742568,                   100.278418,      0.905000
                1692183840,           2023-08-16 11:04:00,           2023-08-16 07:04:00,      3.500000,     21.679000,          7.727225,                   100.186493,      0.904000
                1692184140,           2023-08-16 11:09:00,           2023-08-16 07:09:00,      3.500000,     21.805000,          7.710636,                   100.202972,      0.904000
                1692184440,           2023-08-16 11:14:00,           2023-08-16 07:14:00,      3.500000,     21.922000,          7.697481,                   100.246755,      0.905000
                1692184740,           2023-08-16 11:19:00,           2023-08-16 07:19:00,      3.500000,     22.147000,          7.657932,                   100.142768,      0.904000
                1692185040,           2023-08-16 11:24:00,           2023-08-16 07:24:00,      3.500000,     22.373000,          7.623630,                   100.105538,      0.904000
                1692185340,           2023-08-16 11:29:00,           2023-08-16 07:29:00,      3.500000,     22.515000,          7.607120,                   100.146800,      0.904000
                1692185640,           2023-08-16 11:34:00,           2023-08-16 07:34:00,      3.500000,     22.641000,          7.594874,                   100.214292,      0.904000
                1692185940,           2023-08-16 11:39:00,           2023-08-16 07:39:00,      3.500000,     22.733000,          7.593786,                   100.366961,      0.904000
                1692186240,           2023-08-16 11:44:00,           2023-08-16 07:44:00,      3.500000,     22.750000,          7.596542,                   100.434266,      0.904000
                1692186540,           2023-08-16 11:49:00,           2023-08-16 07:49:00,      3.490000,     22.875000,          7.578137,                   100.417493,      0.904000
                1692186840,           2023-08-16 11:54:00,           2023-08-16 07:54:00,      3.490000,     23.009000,          7.566812,                   100.510045,      0.904000
                1692187140,           2023-08-16 11:59:00,           2023-08-16 07:59:00,      3.490000,     23.177000,          7.553969,                   100.643260,      0.904000
                1692187440,           2023-08-16 12:04:00,           2023-08-16 08:04:00,      3.500000,     23.436000,          7.527712,                   100.760524,      0.905000
                1692187740,           2023-08-16 12:09:00,           2023-08-16 08:09:00,      3.500000,     23.687000,          7.495228,                   100.776811,      0.904000
                1692188040,           2023-08-16 12:14:00,           2023-08-16 08:14:00,      3.490000,     23.914000,          7.456403,                   100.660966,      0.904000
                1692188340,           2023-08-16 12:19:00,           2023-08-16 08:19:00,      3.490000,     24.308000,          7.421338,                   100.890019,      0.904000
                1692188640,           2023-08-16 12:24:00,           2023-08-16 08:24:00,      3.490000,     25.207000,          7.317503,                   101.062351,      0.904000
                1692188940,           2023-08-16 12:29:00,           2023-08-16 08:29:00,      3.490000,     25.628000,          7.278933,                   101.269261,      0.905000
