MiniDOT Logger Concatenated Data File
Sensor:             7450-233512
Concatenation Date: 2023Aug21 14:55:20 EDT

DO concentration compensated for salinity: 22.6 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181440,           2023-08-16 10:24:00,           2023-08-16 06:24:00,      3.530000,     21.096000,          7.639575,                    97.989711,      0.948000
                1692181740,           2023-08-16 10:29:00,           2023-08-16 06:29:00,      3.530000,     21.088000,          7.638639,                    97.963165,      0.947000
                1692182040,           2023-08-16 10:34:00,           2023-08-16 06:34:00,      3.530000,     21.071000,          7.632378,                    97.852007,      0.947000
                1692182340,           2023-08-16 10:39:00,           2023-08-16 06:39:00,      3.530000,     21.079000,          7.645580,                    98.035824,      0.948000
                1692182640,           2023-08-16 10:44:00,           2023-08-16 06:44:00,      3.530000,     21.154000,          7.637383,                    98.066961,      0.948000
                1692182940,           2023-08-16 10:49:00,           2023-08-16 06:49:00,      3.530000,     21.221000,          7.634381,                    98.150114,      0.947000
                1692183240,           2023-08-16 10:54:00,           2023-08-16 06:54:00,      3.530000,     21.330000,          7.615917,                    98.110301,      0.947000
                1692183540,           2023-08-16 10:59:00,           2023-08-16 06:59:00,      3.530000,     21.464000,          7.615163,                    98.343542,      0.948000
                1692183840,           2023-08-16 11:04:00,           2023-08-16 07:04:00,      3.530000,     21.556000,          7.593933,                    98.235766,      0.947000
                1692184140,           2023-08-16 11:09:00,           2023-08-16 07:09:00,      3.530000,     21.682000,          7.592236,                    98.441729,      0.948000
                1692184440,           2023-08-16 11:14:00,           2023-08-16 07:14:00,      3.530000,     21.824000,          7.560842,                    98.290578,      0.947000
                1692184740,           2023-08-16 11:19:00,           2023-08-16 07:19:00,      3.520000,     22.000000,          7.540207,                    98.338811,      0.947000
                1692185040,           2023-08-16 11:24:00,           2023-08-16 07:24:00,      3.530000,     22.192000,          7.518800,                    98.404092,      0.948000
                1692185340,           2023-08-16 11:29:00,           2023-08-16 07:29:00,      3.530000,     22.360000,          7.494575,                    98.387655,      0.948000
                1692185640,           2023-08-16 11:34:00,           2023-08-16 07:34:00,      3.530000,     22.443000,          7.486399,                    98.428736,      0.948000
                1692185940,           2023-08-16 11:39:00,           2023-08-16 07:39:00,      3.530000,     22.577000,          7.470688,                    98.461373,      0.948000
                1692186240,           2023-08-16 11:44:00,           2023-08-16 07:44:00,      3.530000,     22.795000,          7.445036,                    98.511315,      0.948000
                1692186540,           2023-08-16 11:49:00,           2023-08-16 07:49:00,      3.520000,     23.029000,          7.412456,                    98.495218,      0.948000
                1692186840,           2023-08-16 11:54:00,           2023-08-16 07:54:00,      3.520000,     23.172000,          7.395901,                    98.528431,      0.948000
                1692187140,           2023-08-16 11:59:00,           2023-08-16 07:59:00,      3.530000,     23.323000,          7.381150,                    98.598878,      0.948000
                1692187440,           2023-08-16 12:04:00,           2023-08-16 08:04:00,      3.530000,     23.566000,          7.345071,                    98.544722,      0.947000
                1692187740,           2023-08-16 12:09:00,           2023-08-16 08:09:00,      3.530000,     23.758000,          7.333215,                    98.723372,      0.948000
                1692188040,           2023-08-16 12:14:00,           2023-08-16 08:14:00,      3.520000,     23.926000,          7.299221,                    98.560047,      0.947000
                1692188340,           2023-08-16 12:19:00,           2023-08-16 08:19:00,      3.520000,     24.262000,          7.277770,                    98.857792,      0.948000
                1692188640,           2023-08-16 12:24:00,           2023-08-16 08:24:00,      3.520000,     25.069000,          7.187298,                    99.024941,      0.949000
                1692188940,           2023-08-16 12:29:00,           2023-08-16 08:29:00,      3.520000,     25.448000,          7.139621,                    99.020758,      0.948000
                1692189240,           2023-08-16 12:34:00,           2023-08-16 08:34:00,      3.520000,     25.684000,          7.111222,                    99.032146,      0.948000
                1692189540,           2023-08-16 12:39:00,           2023-08-16 08:39:00,      3.520000,     25.861000,          7.076267,                    98.848053,      0.948000
                1692189840,           2023-08-16 12:44:00,           2023-08-16 08:44:00,      3.520000,     25.937000,          7.063546,                    98.800153,      0.947000
                1692190140,           2023-08-16 12:49:00,           2023-08-16 08:49:00,      3.520000,     25.980000,          7.068219,                    98.939019,      0.948000
                1692190440,           2023-08-16 12:54:00,           2023-08-16 08:54:00,      3.520000,     26.368000,          7.034562,                    99.128525,      0.948000
                1692190740,           2023-08-16 12:59:00,           2023-08-16 08:59:00,      3.520000,     28.007000,          6.836540,                    99.061199,      0.948000
