datetime,spec_cond_us_cm,salinity_ppt
8/17/23 11:20,565.7,0.2743
8/17/23 11:25,560.1,0.2716
8/17/23 11:30,559.3,0.2711
8/17/23 11:35,563.7,0.2733
8/17/23 11:40,563.9,0.2734
8/17/23 11:45,564.4,0.2737
8/17/23 11:50,564.1,0.2735
8/17/23 11:55,563.9,0.2734
8/17/23 12:00,563.6,0.2733
8/17/23 12:05,563.3,0.2731
8/17/23 12:10,562.8,0.2729
8/17/23 12:15,562.8,0.2729
8/17/23 12:20,563.2,0.2731
8/17/23 12:25,563.2,0.2731
8/17/23 12:30,563.2,0.2731
8/17/23 12:35,563,0.273
8/17/23 12:40,562.8,0.2729
8/17/23 12:45,563,0.273
8/17/23 12:50,563.4,0.2732
8/17/23 12:55,563.3,0.2731
8/17/23 13:00,563,0.273
8/17/23 13:05,562.9,0.273
8/17/23 13:10,562.9,0.273
8/17/23 13:15,562.8,0.2729
8/17/23 13:20,562.9,0.273
8/17/23 13:25,562.9,0.273
8/17/23 13:30,562.9,0.273
8/17/23 13:35,563.4,0.2732
8/17/23 13:40,563.7,0.2734
8/17/23 13:45,563.7,0.2734
8/17/23 13:50,563.8,0.2734
8/17/23 13:55,3475.8,1.8216
8/17/23 14:00,3587.3,1.8836
8/17/23 14:05,3639.7,1.9127
8/17/23 14:10,3668.2,1.9286
8/17/23 14:15,3682.1,1.9364
8/17/23 14:20,3697.2,1.9447
8/17/23 14:25,3709.3,1.9515
8/17/23 14:30,3719.1,1.957
8/17/23 14:35,3731.9,1.9641
8/17/23 14:40,3738.3,1.9677
8/17/23 14:45,0,0.0123
8/17/23 14:50,0,0.0123
8/17/23 14:55,0,0.0123
8/17/23 15:00,0,0.0123
8/17/23 15:05,0,0.0123
8/17/23 15:10,0,0.0123
8/17/23 15:15,49.8,0.0298
8/17/23 15:20,90.8,0.0476
8/17/23 15:25,90.7,0.0476
8/17/23 15:30,91.7,0.048
8/17/23 15:35,91.7,0.048
8/17/23 15:40,4490,2.3901
8/17/23 15:45,4342.4,2.3067
8/17/23 15:50,4230.7,2.2437
8/17/23 15:55,4286.9,2.2754
8/17/23 16:00,4339.9,2.3053
8/17/23 16:05,4414.9,2.3476
8/17/23 16:10,4440.2,2.362
8/17/23 16:15,4498,2.3947
8/17/23 16:20,4570.3,2.4356
8/17/23 16:25,4642.7,2.4767
8/17/23 16:30,4713.4,2.5168
8/17/23 16:35,4762.6,2.5448
8/17/23 16:40,4845,2.5916
8/17/23 16:45,4863.6,2.6022
8/17/23 16:50,4880.3,2.6117
8/17/23 16:55,4893.8,2.6194
8/17/23 17:00,3959.4,2.0913
8/17/23 17:05,3957.9,2.0905
8/17/23 17:10,3958.4,2.0907
8/17/23 17:15,3965.1,2.0945
8/17/23 17:20,3965.1,2.0945
8/17/23 17:25,4497.4,2.3943
8/17/23 17:30,4476,2.3822
8/17/23 17:35,100.1,0.0518
8/17/23 17:40,79,0.0424
8/17/23 17:45,62.8,0.0354
8/17/23 17:50,51.1,0.0304
8/17/23 17:55,44.1,0.0274
8/17/23 18:00,42,0.0266
8/17/23 18:05,0,0.0123
8/17/23 18:10,0,0.0123
8/17/23 18:15,45.8,0.0281
8/17/23 18:20,43.8,0.0273
8/17/23 18:25,42.7,0.0268
8/17/23 18:30,42,0.0265
8/17/23 18:35,50.9,0.0303
8/17/23 18:40,48.5,0.0292
8/17/23 18:45,45.7,0.0281
8/17/23 18:50,42.1,0.0266
