MiniDOT Logger Concatenated Data File
Sensor:             7450-137738
Concatenation Date: 2023Aug21 14:47:49 EDT

DO concentration compensated for salinity: 0.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181740,           2023-08-16 10:29:00,           2023-08-16 06:29:00,      3.540000,     21.099000,          8.679788,                    97.725709,      0.922000
                1692182040,           2023-08-16 10:34:00,           2023-08-16 06:34:00,      3.540000,     21.149000,          8.678795,                    97.809888,      0.923000
                1692182340,           2023-08-16 10:39:00,           2023-08-16 06:39:00,      3.540000,     21.149000,          8.677797,                    97.798638,      0.923000
                1692182640,           2023-08-16 10:44:00,           2023-08-16 06:44:00,      3.540000,     21.165000,          8.688780,                    97.952964,      0.923000
                1692182940,           2023-08-16 10:49:00,           2023-08-16 06:49:00,      3.540000,     21.207000,          8.679800,                    97.931861,      0.923000
                1692183240,           2023-08-16 10:54:00,           2023-08-16 06:54:00,      3.540000,     21.274000,          8.665832,                    97.901907,      0.922000
                1692183540,           2023-08-16 10:59:00,           2023-08-16 06:59:00,      3.540000,     21.324000,          8.673824,                    98.087559,      0.923000
                1692183840,           2023-08-16 11:04:00,           2023-08-16 07:04:00,      3.540000,     21.416000,          8.650874,                    98.003093,      0.922000
                1692184140,           2023-08-16 11:09:00,           2023-08-16 07:09:00,      3.540000,     21.483000,          8.647887,                    98.096735,      0.922000
                1692184440,           2023-08-16 11:14:00,           2023-08-16 07:14:00,      3.540000,     21.567000,          8.631924,                    98.075245,      0.923000
                1692184740,           2023-08-16 11:19:00,           2023-08-16 07:19:00,      3.530000,     21.692000,          8.629942,                    98.290236,      0.924000
                1692185040,           2023-08-16 11:24:00,           2023-08-16 07:24:00,      3.530000,     21.809000,          8.601005,                    98.182341,      0.923000
                1692185340,           2023-08-16 11:29:00,           2023-08-16 07:29:00,      3.530000,     21.968000,          8.569079,                    98.118187,      0.922000
                1692185640,           2023-08-16 11:34:00,           2023-08-16 07:34:00,      3.530000,     22.077000,          8.567094,                    98.301388,      0.923000
                1692185940,           2023-08-16 11:39:00,           2023-08-16 07:39:00,      3.530000,     22.211000,          8.551137,                    98.371092,      0.923000
                1692186240,           2023-08-16 11:44:00,           2023-08-16 07:44:00,      3.540000,     22.487000,          8.500255,                    98.303781,      0.923000
                1692186540,           2023-08-16 11:49:00,           2023-08-16 07:49:00,      3.530000,     22.797000,          8.436399,                    98.143440,      0.922000
                1692186840,           2023-08-16 11:54:00,           2023-08-16 07:54:00,      3.530000,     23.031000,          8.423446,                    98.428963,      0.923000
                1692187140,           2023-08-16 11:59:00,           2023-08-16 07:59:00,      3.530000,     23.224000,          8.379542,                    98.274150,      0.922000
                1692187440,           2023-08-16 12:04:00,           2023-08-16 08:04:00,      3.530000,     23.391000,          8.354603,                    98.290916,      0.923000
                1692187740,           2023-08-16 12:09:00,           2023-08-16 08:09:00,      3.530000,     23.550000,          8.327666,                    98.267687,      0.922000
                1692188040,           2023-08-16 12:14:00,           2023-08-16 08:14:00,      3.530000,     23.701000,          8.323688,                    98.499700,      0.924000
                1692188340,           2023-08-16 12:19:00,           2023-08-16 08:19:00,      3.530000,     23.852000,          8.293755,                    98.423599,      0.923000
                1692188640,           2023-08-16 12:24:00,           2023-08-16 08:24:00,      3.530000,     24.095000,          8.259839,                    98.467192,      0.923000
                1692188940,           2023-08-16 12:29:00,           2023-08-16 08:29:00,      3.530000,     24.364000,          8.210950,                    98.375793,      0.923000
                1692189240,           2023-08-16 12:34:00,           2023-08-16 08:34:00,      3.530000,     24.607000,          8.184020,                    98.496080,      0.923000
                1692189540,           2023-08-16 12:39:00,           2023-08-16 08:39:00,      3.530000,     24.775000,          8.153090,                    98.429156,      0.923000
                1692189840,           2023-08-16 12:44:00,           2023-08-16 08:44:00,      3.530000,     24.910000,          8.133137,                    98.433184,      0.923000
                1692190140,           2023-08-16 12:49:00,           2023-08-16 08:49:00,      3.530000,     25.028000,          8.114181,                    98.417447,      0.922000
                1692190440,           2023-08-16 12:54:00,           2023-08-16 08:54:00,      3.530000,     25.137000,          8.108202,                    98.542261,      0.923000
                1692190740,           2023-08-16 12:59:00,           2023-08-16 08:59:00,      3.530000,     25.448000,          8.057319,                    98.483862,      0.922000
                1692191040,           2023-08-16 13:04:00,           2023-08-16 09:04:00,      3.530000,     25.887000,          7.999459,                    98.562729,      0.923000
                1692191340,           2023-08-16 13:09:00,           2023-08-16 09:09:00,      3.530000,     26.309000,          7.955573,                    98.774916,      0.923000
                1692191640,           2023-08-16 13:14:00,           2023-08-16 09:14:00,      3.530000,     26.673000,          7.896706,                    98.689792,      0.922000
                1692191940,           2023-08-16 13:19:00,           2023-08-16 09:19:00,      3.530000,     27.012000,          7.847820,                    98.677461,      0.922000
                1692192240,           2023-08-16 13:24:00,           2023-08-16 09:24:00,      3.520000,     27.301000,          7.817896,                    98.810335,      0.923000
                1692192540,           2023-08-16 13:29:00,           2023-08-16 09:29:00,      3.530000,     27.624000,          7.773000,                    98.809466,      0.923000
                1692192840,           2023-08-16 13:34:00,           2023-08-16 09:34:00,      3.530000,     27.896000,          7.738083,                    98.841238,      0.922000
                1692193140,           2023-08-16 13:39:00,           2023-08-16 09:39:00,      3.530000,     28.673000,          7.653292,                    99.105439,      0.923000
                1692193440,           2023-08-16 13:44:00,           2023-08-16 09:44:00,      3.520000,     31.951000,          7.197307,                    98.603856,      0.921000
                1692193740,           2023-08-16 13:49:00,           2023-08-16 09:49:00,      3.510000,     35.164000,          6.718307,                    97.086508,      0.913000
                1692194040,           2023-08-16 13:54:00,           2023-08-16 09:54:00,      3.510000,     36.470000,          6.615556,                    97.655499,      0.909000
                1692194340,           2023-08-16 13:59:00,           2023-08-16 09:59:00,      3.510000,     36.470000,          6.785288,                   100.160997,      0.911000
                1692194640,           2023-08-16 14:04:00,           2023-08-16 10:04:00,      3.510000,     36.479000,          6.925068,                   102.239256,      0.915000
                1692194940,           2023-08-16 14:09:00,           2023-08-16 10:09:00,      3.510000,     36.470000,          7.003943,                   103.388669,      0.916000
                1692195240,           2023-08-16 14:14:00,           2023-08-16 10:14:00,      3.510000,     36.470000,          7.080821,                   104.523513,      0.919000
                1692195540,           2023-08-16 14:19:00,           2023-08-16 10:19:00,      3.510000,     36.470000,          7.142724,                   105.437283,      0.919000
                1692195840,           2023-08-16 14:24:00,           2023-08-16 10:24:00,      3.510000,     36.479000,          5.343564,                    78.890499,      0.903000
                1692196140,           2023-08-16 14:29:00,           2023-08-16 10:29:00,      3.520000,     30.593000,          4.679330,                    62.644154,      0.924000
                1692196440,           2023-08-16 14:34:00,           2023-08-16 10:34:00,      3.530000,     28.682000,          4.950780,                    64.119679,      0.925000
                1692196740,           2023-08-16 14:39:00,           2023-08-16 10:39:00,      3.530000,     28.135000,          5.004660,                    64.196898,      0.925000
                1692197040,           2023-08-16 14:44:00,           2023-08-16 10:44:00,      3.530000,     27.896000,          5.003648,                    63.913338,      0.925000
                1692197340,           2023-08-16 14:49:00,           2023-08-16 10:49:00,      3.530000,     27.828000,          4.983677,                    63.581627,      0.924000
                1692197640,           2023-08-16 14:54:00,           2023-08-16 10:54:00,      3.530000,     27.743000,          4.968697,                    63.295062,      0.924000
                1692197940,           2023-08-16 14:59:00,           2023-08-16 10:59:00,      3.530000,     27.734000,          4.918780,                    62.649177,      0.924000
                1692198240,           2023-08-16 15:04:00,           2023-08-16 11:04:00,      3.530000,     27.709000,          4.904802,                    62.443437,      0.924000
                1692198540,           2023-08-16 15:09:00,           2023-08-16 11:09:00,      3.530000,     27.726000,          4.871858,                    62.042737,      0.924000
                1692198840,           2023-08-16 15:14:00,           2023-08-16 11:14:00,      3.530000,     27.734000,          4.828930,                    61.504784,      0.924000
                1692199140,           2023-08-16 15:19:00,           2023-08-16 11:19:00,      3.530000,     27.743000,          4.832924,                    61.565480,      0.924000
                1692199440,           2023-08-16 15:24:00,           2023-08-16 11:24:00,      3.530000,     27.751000,          4.819946,                    61.408871,      0.924000
                1692199740,           2023-08-16 15:29:00,           2023-08-16 11:29:00,      3.530000,     27.785000,          4.786005,                    61.013213,      0.923000
                1692200040,           2023-08-16 15:34:00,           2023-08-16 11:34:00,      3.530000,     27.802000,          4.762046,                    60.726074,      0.924000
                1692200340,           2023-08-16 15:39:00,           2023-08-16 11:39:00,      3.530000,     27.836000,          4.735093,                    60.418757,      0.924000
                1692200640,           2023-08-16 15:44:00,           2023-08-16 11:44:00,      3.530000,     27.853000,          4.686175,                    59.812591,      0.924000
                1692200940,           2023-08-16 15:49:00,           2023-08-16 11:49:00,      3.530000,     27.896000,          4.580354,                    58.506464,      0.923000
