MiniDOT Logger Concatenated Data File
Sensor:             7450-458163
Concatenation Date: 2023Aug21 14:51:42 EDT

DO concentration compensated for salinity: 0.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181560,           2023-08-16 10:26:00,           2023-08-16 06:26:00,      3.550000,     21.435000,          8.757690,                    99.249779,      0.953000
                1692181860,           2023-08-16 10:31:00,           2023-08-16 06:31:00,      3.550000,     21.410000,          8.764675,                    99.280733,      0.953000
                1692182160,           2023-08-16 10:36:00,           2023-08-16 06:36:00,      3.550000,     21.343000,          8.768660,                    99.196650,      0.953000
                1692182460,           2023-08-16 10:41:00,           2023-08-16 06:41:00,      3.550000,     21.352000,          8.781638,                    99.360852,      0.953000
                1692182760,           2023-08-16 10:46:00,           2023-08-16 06:46:00,      3.550000,     21.377000,          8.777648,                    99.363971,      0.953000
                1692183060,           2023-08-16 10:51:00,           2023-08-16 06:51:00,      3.550000,     21.444000,          8.772665,                    99.436859,      0.953000
                1692183360,           2023-08-16 10:56:00,           2023-08-16 06:56:00,      3.550000,     21.561000,          8.765690,                    99.583504,      0.954000
                1692183660,           2023-08-16 11:01:00,           2023-08-16 07:01:00,      3.550000,     21.678000,          8.749731,                    99.627594,      0.954000
                1692183960,           2023-08-16 11:06:00,           2023-08-16 07:06:00,      3.550000,     21.778000,          8.723788,                    99.524347,      0.953000
                1692184260,           2023-08-16 11:11:00,           2023-08-16 07:11:00,      3.550000,     21.879000,          8.715813,                    99.627343,      0.953000
                1692184560,           2023-08-16 11:16:00,           2023-08-16 07:16:00,      3.550000,     22.079000,          8.684889,                    99.656837,      0.954000
                1692184860,           2023-08-16 11:21:00,           2023-08-16 07:21:00,      3.550000,     22.280000,          8.653965,                    99.685815,      0.953000
                1692185160,           2023-08-16 11:26:00,           2023-08-16 07:26:00,      3.550000,     22.472000,          8.627033,                    99.741361,      0.953000
                1692185460,           2023-08-16 11:31:00,           2023-08-16 07:31:00,      3.550000,     22.648000,          8.603094,                    99.799199,      0.954000
                1692185760,           2023-08-16 11:36:00,           2023-08-16 07:36:00,      3.550000,     22.782000,          8.582145,                    99.810479,      0.954000
                1692186060,           2023-08-16 11:41:00,           2023-08-16 07:41:00,      3.550000,     23.041000,          8.539247,                    99.801018,      0.953000
                1692186360,           2023-08-16 11:46:00,           2023-08-16 07:46:00,      3.550000,     23.343000,          8.495355,                    99.856444,      0.954000
                1692186660,           2023-08-16 11:51:00,           2023-08-16 07:51:00,      3.550000,     23.619000,          8.455453,                    99.905059,      0.954000
                1692186960,           2023-08-16 11:56:00,           2023-08-16 07:56:00,      3.550000,     23.837000,          8.419538,                    99.888229,      0.953000
                1692187260,           2023-08-16 12:01:00,           2023-08-16 08:01:00,      3.540000,     24.030000,          8.392604,                    99.928631,      0.954000
                1692187560,           2023-08-16 12:06:00,           2023-08-16 08:06:00,      3.540000,     24.256000,          8.359684,                    99.956849,      0.953000
                1692187860,           2023-08-16 12:11:00,           2023-08-16 08:11:00,      3.550000,     24.449000,          8.332750,                    99.992787,      0.954000
                1692188160,           2023-08-16 12:16:00,           2023-08-16 08:16:00,      3.550000,     24.634000,          8.311804,                   100.083999,      0.954000
                1692188460,           2023-08-16 12:21:00,           2023-08-16 08:21:00,      3.540000,     25.222000,          8.247972,                   100.397552,      0.955000
                1692188760,           2023-08-16 12:26:00,           2023-08-16 08:26:00,      3.550000,     25.829000,          8.153193,                   100.350975,      0.955000
                1692189060,           2023-08-16 12:31:00,           2023-08-16 08:31:00,      3.540000,     26.082000,          8.112287,                   100.307486,      0.955000
                1692189360,           2023-08-16 12:36:00,           2023-08-16 08:36:00,      3.540000,     26.276000,          8.086349,                   100.338712,      0.954000
                1692189660,           2023-08-16 12:41:00,           2023-08-16 08:41:00,      3.540000,     26.327000,          8.073376,                   100.270157,      0.954000
                1692189960,           2023-08-16 12:46:00,           2023-08-16 08:46:00,      3.540000,     26.352000,          8.071382,                   100.290690,      0.954000
                1692190260,           2023-08-16 12:51:00,           2023-08-16 08:51:00,      3.540000,     26.377000,          8.074379,                   100.373257,      0.954000
                1692190560,           2023-08-16 12:56:00,           2023-08-16 08:56:00,      3.540000,     27.173000,          7.998581,                   100.863221,      0.955000
                1692190860,           2023-08-16 13:01:00,           2023-08-16 09:01:00,      3.540000,     27.964000,          7.878854,                   100.760529,      0.955000
                1692191160,           2023-08-16 13:06:00,           2023-08-16 09:06:00,      3.540000,     28.135000,          7.843928,                   100.617401,      0.955000
                1692191460,           2023-08-16 13:11:00,           2023-08-16 09:11:00,      3.540000,     27.990000,          7.850903,                   100.449247,      0.954000
                1692191760,           2023-08-16 13:16:00,           2023-08-16 09:16:00,      3.540000,     27.819000,          7.869856,                   100.387418,      0.953000
                1692192060,           2023-08-16 13:21:00,           2023-08-16 09:21:00,      3.540000,     27.819000,          7.879839,                   100.514764,      0.954000
                1692192360,           2023-08-16 13:26:00,           2023-08-16 09:26:00,      3.540000,     28.092000,          7.838932,                   100.477018,      0.954000
                1692192660,           2023-08-16 13:31:00,           2023-08-16 09:31:00,      3.540000,     28.177000,          7.829955,                   100.512622,      0.954000
                1692192960,           2023-08-16 13:36:00,           2023-08-16 09:36:00,      3.540000,     28.553000,          7.800038,                   100.793300,      0.954000
                1692193260,           2023-08-16 13:41:00,           2023-08-16 09:41:00,      3.530000,     30.722000,          7.580585,                   101.708825,      0.955000
                1692193560,           2023-08-16 13:46:00,           2023-08-16 09:46:00,      3.530000,     33.056000,          7.293236,                   101.787918,      0.954000
                1692193860,           2023-08-16 13:51:00,           2023-08-16 09:51:00,      3.530000,     34.930000,          7.038781,                   101.328571,      0.951000
                1692194160,           2023-08-16 13:56:00,           2023-08-16 09:56:00,      3.530000,     36.550000,          6.786292,                   100.305623,      0.944000
                1692194460,           2023-08-16 14:01:00,           2023-08-16 10:01:00,      3.530000,     36.541000,          6.871157,                   101.545197,      0.945000
                1692194760,           2023-08-16 14:06:00,           2023-08-16 10:06:00,      3.530000,     36.550000,          6.943044,                   102.622525,      0.945000
                1692195060,           2023-08-16 14:11:00,           2023-08-16 10:11:00,      3.530000,     36.541000,          6.986974,                   103.256799,      0.946000
                1692195360,           2023-08-16 14:16:00,           2023-08-16 10:16:00,      3.530000,     36.550000,          7.040890,                   104.068744,      0.946000
                1692195660,           2023-08-16 14:21:00,           2023-08-16 10:21:00,      3.530000,     36.541000,          7.036896,                   103.994558,      0.945000
                1692195960,           2023-08-16 14:26:00,           2023-08-16 10:26:00,      3.530000,     36.541000,          6.837211,                   101.043521,      0.942000
                1692196260,           2023-08-16 14:31:00,           2023-08-16 10:31:00,      3.530000,     36.469000,          6.703417,                    98.950860,      0.941000
                1692196560,           2023-08-16 14:36:00,           2023-08-16 10:36:00,      3.540000,     30.255000,          5.119589,                    68.141618,      0.950000
                1692196860,           2023-08-16 14:41:00,           2023-08-16 10:41:00,      3.540000,     28.485000,          5.490871,                    70.869197,      0.952000
                1692197160,           2023-08-16 14:46:00,           2023-08-16 10:46:00,      3.540000,     28.083000,          5.517801,                    70.714234,      0.954000
                1692197460,           2023-08-16 14:51:00,           2023-08-16 10:51:00,      3.540000,     27.930000,          5.522783,                    70.586903,      0.954000
                1692197760,           2023-08-16 14:56:00,           2023-08-16 10:56:00,      3.550000,     27.853000,          5.437920,                    69.407581,      0.954000
                1692198060,           2023-08-16 15:01:00,           2023-08-16 11:01:00,      3.550000,     27.811000,          5.363042,                    68.400952,      0.955000
                1692198360,           2023-08-16 15:06:00,           2023-08-16 11:06:00,      3.550000,     27.768000,          5.288165,                    67.394561,      0.955000
                1692198660,           2023-08-16 15:11:00,           2023-08-16 11:11:00,      3.550000,     27.760000,          5.309129,                    67.652142,      0.954000
                1692198960,           2023-08-16 15:16:00,           2023-08-16 11:16:00,      3.550000,     27.777000,          5.322109,                    67.837980,      0.954000
                1692199260,           2023-08-16 15:21:00,           2023-08-16 11:21:00,      3.550000,     27.760000,          5.225269,                    66.583549,      0.955000
                1692199560,           2023-08-16 15:26:00,           2023-08-16 11:26:00,      3.550000,     27.777000,          5.137417,                    65.483820,      0.954000
                1692199860,           2023-08-16 15:31:00,           2023-08-16 11:31:00,      3.550000,     27.802000,          5.128434,                    65.398289,      0.955000
                1692200160,           2023-08-16 15:36:00,           2023-08-16 11:36:00,      3.550000,     27.845000,          5.066540,                    64.658257,      0.955000
                1692200460,           2023-08-16 15:41:00,           2023-08-16 11:41:00,      3.550000,     27.845000,          4.990666,                    63.689976,      0.954000
                1692200760,           2023-08-16 15:46:00,           2023-08-16 11:46:00,      3.550000,     27.887000,          4.956725,                    63.303897,      0.955000
                1692201060,           2023-08-16 15:51:00,           2023-08-16 11:51:00,      3.550000,     27.896000,          4.901818,                    62.612628,      0.954000
                1692201360,           2023-08-16 15:56:00,           2023-08-16 11:56:00,      3.550000,     27.913000,          4.850903,                    61.980934,      0.954000
                1692201660,           2023-08-16 16:01:00,           2023-08-16 12:01:00,      3.550000,     27.956000,          4.832936,                    61.798360,      0.955000
                1692201960,           2023-08-16 16:06:00,           2023-08-16 12:06:00,      3.540000,     27.981000,          4.816964,                    61.621369,      0.954000
                1692202260,           2023-08-16 16:11:00,           2023-08-16 12:11:00,      3.540000,     27.990000,          4.679194,                    59.868467,      0.954000
                1692202560,           2023-08-16 16:16:00,           2023-08-16 12:16:00,      3.540000,     28.015000,          4.631275,                    59.281560,      0.954000
                1692202860,           2023-08-16 16:21:00,           2023-08-16 12:21:00,      3.540000,     28.049000,          4.618299,                    59.150988,      0.955000
                1692203160,           2023-08-16 16:26:00,           2023-08-16 12:26:00,      3.540000,     28.100000,          4.562395,                    58.487632,      0.955000
                1692203460,           2023-08-16 16:31:00,           2023-08-16 12:31:00,      3.540000,     28.118000,          4.490515,                    57.584472,      0.954000
                1692203760,           2023-08-16 16:36:00,           2023-08-16 12:36:00,      3.540000,     28.169000,          4.424628,                    56.790646,      0.954000
                1692204060,           2023-08-16 16:41:00,           2023-08-16 12:41:00,      3.540000,     28.211000,          4.347758,                    55.845364,      0.955000
                1692204360,           2023-08-16 16:46:00,           2023-08-16 12:46:00,      3.540000,     28.228000,          4.287859,                    55.092487,      0.955000
                1692204660,           2023-08-16 16:51:00,           2023-08-16 12:51:00,      3.540000,     28.263000,          4.253917,                    54.690112,      0.954000
                1692204960,           2023-08-16 16:56:00,           2023-08-16 12:56:00,      3.540000,     28.314000,          4.205999,                    54.122661,      0.954000
                1692205260,           2023-08-16 17:01:00,           2023-08-16 13:01:00,      3.540000,     28.331000,          4.168063,                    53.650557,      0.954000
                1692205560,           2023-08-16 17:06:00,           2023-08-16 13:06:00,      3.540000,     28.382000,          4.125137,                    53.145700,      0.954000
