MiniDOT Logger Concatenated Data File
Sensor:             7450-562111
Concatenation Date: 2023Aug21 14:40:50 EDT

DO concentration compensated for salinity: 0.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181500,           2023-08-16 10:25:00,           2023-08-16 06:25:00,      3.470000,     21.554000,          8.599979,                    97.687672,      0.929000
                1692181800,           2023-08-16 10:30:00,           2023-08-16 06:30:00,      3.470000,     21.562000,          8.581013,                    97.487347,      0.929000
                1692182100,           2023-08-16 10:35:00,           2023-08-16 06:35:00,      3.470000,     21.503000,          8.599973,                    97.591076,      0.929000
                1692182400,           2023-08-16 10:40:00,           2023-08-16 06:40:00,      3.470000,     21.537000,          8.592989,                    97.576123,      0.930000
                1692182700,           2023-08-16 10:45:00,           2023-08-16 06:45:00,      3.470000,     21.545000,          8.587000,                    97.523240,      0.929000
                1692183000,           2023-08-16 10:50:00,           2023-08-16 06:50:00,      3.470000,     21.562000,          8.582011,                    97.498688,      0.929000
                1692183300,           2023-08-16 10:55:00,           2023-08-16 06:55:00,      3.470000,     21.629000,          8.582018,                    97.625358,      0.930000
                1692183600,           2023-08-16 11:00:00,           2023-08-16 07:00:00,      3.470000,     21.679000,          8.573040,                    97.617608,      0.930000
                1692183900,           2023-08-16 11:05:00,           2023-08-16 07:05:00,      3.470000,     21.746000,          8.568056,                    97.687296,      0.930000
                1692184200,           2023-08-16 11:10:00,           2023-08-16 07:10:00,      3.470000,     21.821000,          8.554088,                    97.669393,      0.930000
                1692184500,           2023-08-16 11:15:00,           2023-08-16 07:15:00,      3.470000,     21.913000,          8.533135,                    97.603163,      0.929000
                1692184800,           2023-08-16 11:20:00,           2023-08-16 07:20:00,      3.470000,     22.014000,          8.524162,                    97.690336,      0.930000
                1692185100,           2023-08-16 11:25:00,           2023-08-16 07:25:00,      3.470000,     22.189000,          8.496230,                    97.698202,      0.929000
                1692185400,           2023-08-16 11:30:00,           2023-08-16 07:30:00,      3.470000,     22.323000,          8.476279,                    97.719490,      0.930000
                1692185700,           2023-08-16 11:35:00,           2023-08-16 07:35:00,      3.470000,     22.440000,          8.452333,                    97.661817,      0.929000
                1692186000,           2023-08-16 11:40:00,           2023-08-16 07:40:00,      3.470000,     22.649000,          8.439378,                    97.901894,      0.930000
                1692186300,           2023-08-16 11:45:00,           2023-08-16 07:45:00,      3.470000,     22.984000,          8.376522,                    97.793493,      0.929000
