MiniDOT Logger Concatenated Data File
Sensor:             7450-325834
Concatenation Date: 2023Aug21 14:58:55 EDT

DO concentration compensated for salinity: 0.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181380,           2023-08-16 10:23:00,           2023-08-16 06:23:00,      3.530000,     21.306000,          8.762666,                    99.057545,      0.959000
                1692181680,           2023-08-16 10:28:00,           2023-08-16 06:28:00,      3.530000,     21.264000,          8.763660,                    98.987843,      0.958000
                1692181980,           2023-08-16 10:33:00,           2023-08-16 06:33:00,      3.530000,     21.230000,          8.770644,                    99.001168,      0.958000
                1692182280,           2023-08-16 10:38:00,           2023-08-16 06:38:00,      3.530000,     21.222000,          8.773637,                    99.019532,      0.958000
                1692182580,           2023-08-16 10:43:00,           2023-08-16 06:43:00,      3.530000,     21.322000,          8.760672,                    99.065820,      0.958000
                1692182880,           2023-08-16 10:48:00,           2023-08-16 06:48:00,      3.530000,     21.431000,          8.734729,                    98.981886,      0.958000
                1692183180,           2023-08-16 10:53:00,           2023-08-16 06:53:00,      3.530000,     21.490000,          8.742722,                    99.185957,      0.959000
                1692183480,           2023-08-16 10:58:00,           2023-08-16 06:58:00,      3.530000,     21.649000,          8.703808,                    99.049114,      0.958000
                1692183780,           2023-08-16 11:03:00,           2023-08-16 07:03:00,      3.530000,     21.741000,          8.689843,                    99.066260,      0.958000
                1692184080,           2023-08-16 11:08:00,           2023-08-16 07:08:00,      3.530000,     21.824000,          8.681866,                    99.134079,      0.958000
                1692184380,           2023-08-16 11:13:00,           2023-08-16 07:13:00,      3.530000,     21.933000,          8.663910,                    99.137175,      0.958000
                1692184680,           2023-08-16 11:18:00,           2023-08-16 07:18:00,      3.530000,     22.117000,          8.634980,                    99.156526,      0.957000
                1692184980,           2023-08-16 11:23:00,           2023-08-16 07:23:00,      3.530000,     22.276000,          8.599060,                    99.045766,      0.957000
                1692185280,           2023-08-16 11:28:00,           2023-08-16 07:28:00,      3.530000,     22.427000,          8.594086,                    99.275009,      0.958000
                1692185580,           2023-08-16 11:33:00,           2023-08-16 07:33:00,      3.530000,     22.544000,          8.565149,                    99.162135,      0.957000
                1692185880,           2023-08-16 11:38:00,           2023-08-16 07:38:00,      3.530000,     22.637000,          8.560167,                    99.280416,      0.957000
                1692186180,           2023-08-16 11:43:00,           2023-08-16 07:43:00,      3.530000,     22.804000,          8.528241,                    99.225071,      0.957000
                1692186480,           2023-08-16 11:48:00,           2023-08-16 07:48:00,      3.530000,     23.013000,          8.492325,                    99.199980,      0.956000
                1692186780,           2023-08-16 11:53:00,           2023-08-16 07:53:00,      3.520000,     23.223000,          8.468389,                    99.314254,      0.957000
                1692187080,           2023-08-16 11:58:00,           2023-08-16 07:58:00,      3.530000,     23.391000,          8.448441,                    99.394912,      0.957000
                1692187380,           2023-08-16 12:03:00,           2023-08-16 08:03:00,      3.530000,     23.625000,          8.409533,                    99.373687,      0.956000
