MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023Aug21 15:02:21 EDT

DO concentration compensated for salinity: 0.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181380,           2023-08-16 10:23:00,           2023-08-16 06:23:00,      3.530000,     21.302000,          8.585975,                    97.052586,      0.952000
                1692181680,           2023-08-16 10:28:00,           2023-08-16 06:28:00,      3.530000,     21.327000,          8.588973,                    97.133689,      0.953000
                1692181980,           2023-08-16 10:33:00,           2023-08-16 06:33:00,      3.530000,     21.293000,          8.596955,                    97.159684,      0.953000
                1692182280,           2023-08-16 10:38:00,           2023-08-16 06:38:00,      3.530000,     21.293000,          8.596955,                    97.159684,      0.952000
                1692182580,           2023-08-16 10:43:00,           2023-08-16 06:43:00,      3.530000,     21.352000,          8.581988,                    97.101881,      0.952000
                1692182880,           2023-08-16 10:48:00,           2023-08-16 06:48:00,      3.530000,     21.394000,          8.601957,                    97.407297,      0.953000
                1692183180,           2023-08-16 10:53:00,           2023-08-16 06:53:00,      3.530000,     21.469000,          8.583997,                    97.345560,      0.953000
                1692183480,           2023-08-16 10:58:00,           2023-08-16 06:58:00,      3.530000,     21.586000,          8.571033,                    97.419249,      0.953000
                1692183780,           2023-08-16 11:03:00,           2023-08-16 07:03:00,      3.530000,     21.669000,          8.557066,                    97.416884,      0.952000
                1692184080,           2023-08-16 11:08:00,           2023-08-16 07:08:00,      3.530000,     21.753000,          8.553083,                    97.529771,      0.953000
                1692184380,           2023-08-16 11:13:00,           2023-08-16 07:13:00,      3.530000,     21.845000,          8.536122,                    97.509403,      0.953000
                1692184680,           2023-08-16 11:18:00,           2023-08-16 07:18:00,      3.530000,     21.995000,          8.505193,                    97.437310,      0.953000
                1692184980,           2023-08-16 11:23:00,           2023-08-16 07:23:00,      3.530000,     22.154000,          8.496226,                    97.632544,      0.953000
                1692185280,           2023-08-16 11:28:00,           2023-08-16 07:28:00,      3.530000,     22.296000,          8.472283,                    97.622921,      0.953000
                1692185580,           2023-08-16 11:33:00,           2023-08-16 07:33:00,      3.530000,     22.380000,          8.451328,                    97.538215,      0.953000
                1692185880,           2023-08-16 11:38:00,           2023-08-16 07:38:00,      3.530000,     22.514000,          8.431377,                    97.557521,      0.953000
                1692186180,           2023-08-16 11:43:00,           2023-08-16 07:43:00,      3.530000,     22.648000,          8.416418,                    97.633679,      0.953000
                1692186480,           2023-08-16 11:48:00,           2023-08-16 07:48:00,      3.530000,     22.807000,          8.389481,                    97.616188,      0.953000
                1692186780,           2023-08-16 11:53:00,           2023-08-16 07:53:00,      3.530000,     22.982000,          8.375524,                    97.778128,      0.953000
                1692187080,           2023-08-16 11:58:00,           2023-08-16 07:58:00,      3.530000,     23.116000,          8.352578,                    97.758073,      0.953000
                1692187380,           2023-08-16 12:03:00,           2023-08-16 08:03:00,      3.530000,     23.292000,          8.334627,                    97.872985,      0.953000
