MiniDOT Logger Concatenated Data File
Sensor:             7450-269898
Concatenation Date: 2023Aug21 15:06:39 EDT

DO concentration compensated for salinity: 0.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181320,           2023-08-16 10:22:00,           2023-08-16 06:22:00,      3.530000,     21.476000,          8.537080,                    96.826651,      0.966000
                1692181620,           2023-08-16 10:27:00,           2023-08-16 06:27:00,      3.530000,     21.467000,          8.533086,                    96.764453,      0.966000
                1692181920,           2023-08-16 10:32:00,           2023-08-16 06:32:00,      3.530000,     21.426000,          8.530087,                    96.653492,      0.965000
                1692182220,           2023-08-16 10:37:00,           2023-08-16 06:37:00,      3.530000,     21.375000,          8.551044,                    96.795027,      0.966000
                1692182520,           2023-08-16 10:42:00,           2023-08-16 06:42:00,      3.530000,     21.417000,          8.543063,                    96.783610,      0.965000
                1692182820,           2023-08-16 10:47:00,           2023-08-16 06:47:00,      3.530000,     21.451000,          8.533084,                    96.734392,      0.965000
                1692183120,           2023-08-16 10:52:00,           2023-08-16 06:52:00,      3.530000,     21.509000,          8.546068,                    96.990653,      0.966000
                1692183420,           2023-08-16 10:57:00,           2023-08-16 06:57:00,      3.530000,     21.609000,          8.530107,                    96.997272,      0.966000
                1692183720,           2023-08-16 11:02:00,           2023-08-16 07:02:00,      3.530000,     21.668000,          8.518134,                    96.971789,      0.965000
                1692184020,           2023-08-16 11:07:00,           2023-08-16 07:07:00,      3.530000,     21.768000,          8.502173,                    96.977350,      0.965000
                1692184320,           2023-08-16 11:12:00,           2023-08-16 07:12:00,      3.530000,     21.835000,          8.498187,                    97.057339,      0.966000
                1692184620,           2023-08-16 11:17:00,           2023-08-16 07:17:00,      3.530000,     21.969000,          8.477239,                    97.068464,      0.966000
                1692184920,           2023-08-16 11:22:00,           2023-08-16 07:22:00,      3.530000,     22.153000,          8.436330,                    96.942401,      0.965000
                1692185220,           2023-08-16 11:27:00,           2023-08-16 07:27:00,      3.530000,     22.353000,          8.414389,                    97.061730,      0.966000
                1692185520,           2023-08-16 11:32:00,           2023-08-16 07:32:00,      3.530000,     22.445000,          8.412403,                    97.209738,      0.966000
                1692185820,           2023-08-16 11:37:00,           2023-08-16 07:37:00,      3.530000,     22.529000,          8.385459,                    97.053998,      0.965000
                1692186120,           2023-08-16 11:42:00,           2023-08-16 07:42:00,      3.530000,     22.763000,          8.344554,                    97.012227,      0.965000
                1692186420,           2023-08-16 11:47:00,           2023-08-16 07:47:00,      3.530000,     23.073000,          8.294673,                    97.001373,      0.965000
                1692186720,           2023-08-16 11:52:00,           2023-08-16 07:52:00,      3.530000,     23.441000,          8.241803,                    97.055212,      0.966000
                1692187020,           2023-08-16 11:57:00,           2023-08-16 07:57:00,      3.530000,     23.692000,          8.217869,                    97.231055,      0.966000
                1692187320,           2023-08-16 12:02:00,           2023-08-16 08:02:00,      3.530000,     24.002000,          8.172978,                    97.262728,      0.966000
                1692187620,           2023-08-16 12:07:00,           2023-08-16 08:07:00,      3.530000,     24.388000,          8.108128,                    97.187202,      0.966000
                1692187920,           2023-08-16 12:12:00,           2023-08-16 08:12:00,      3.530000,     24.699000,          8.065232,                    97.231822,      0.966000
                1692188220,           2023-08-16 12:17:00,           2023-08-16 08:17:00,      3.530000,     24.984000,          8.029321,                    97.309320,      0.967000
                1692188520,           2023-08-16 12:22:00,           2023-08-16 08:22:00,      3.520000,     26.079000,          7.880678,                    97.438369,      0.967000
                1692188820,           2023-08-16 12:27:00,           2023-08-16 08:27:00,      3.520000,     27.154000,          7.730030,                    97.443656,      0.968000
                1692189120,           2023-08-16 12:32:00,           2023-08-16 08:32:00,      3.520000,     27.604000,          7.676161,                    97.543781,      0.968000
                1692189420,           2023-08-16 12:37:00,           2023-08-16 08:37:00,      3.520000,     27.919000,          7.633260,                    97.542000,      0.968000
                1692189720,           2023-08-16 12:42:00,           2023-08-16 08:42:00,      3.520000,     27.971000,          7.629271,                    97.580761,      0.967000
